symbol,min_trade_date,max_trade_date,row_count,trade_days,last_fetched_at,sources
159915.SZ,2026-07-07,2026-07-07,240,1,2026-07-07 23:40:40.637440,mootdx
159949.SZ,2026-07-07,2026-07-07,240,1,2026-07-07 23:40:40.945456,mootdx
159967.SZ,2026-07-07,2026-07-07,240,1,2026-07-07 23:40:41.265435,mootdx
159985.SZ,2026-07-07,2026-07-07,240,1,2026-07-07 23:40:41.566988,mootdx
510300.SH,2026-07-07,2026-07-07,240,1,2026-07-07 23:40:40.317429,mootdx
511880.SH,2026-05-29,2026-07-07,6400,27,2026-07-07 23:45:49.228002,mootdx
