date,symbol,name,amount,price
2021-01-08,512010,医药ETF,491800,3.143
2021-01-11,159928,消费ETF汇添富,279400,5.54
2021-01-12,159985,豆粕ETF华夏,1172900,1.321
2021-01-13,159915,创业板ETF易方达,533100,3.042
2021-01-15,159991,创业板大盘ETF招商,930100,1.678
2021-01-18,501018,南方原油,2687300,0.608
2021-01-19,159949,创业板50ETF华安,1235200,1.329
2021-01-20,501018,南方原油,2695100,0.62
2021-01-22,159991,创业板大盘ETF招商,885100,1.86
2021-01-25,159822,新经济ETF银华,1401500,1.218
2021-01-26,159995,芯片ETF华夏,1243600,1.351
2021-01-27,512770,战略新兴,700500,2.403
2021-01-29,511880,银华日利,16200,100.28
2021-02-02,513100,纳指ETF,367900,4.421
2021-02-03,501018,南方原油,2600500,0.634
2021-02-04,513100,纳指ETF,375100,4.442
2021-02-08,501018,南方原油,2601700,0.655
2021-02-09,513050,中概互联,702900,2.461
2021-02-18,159822,新经济ETF银华,1434300,1.27
2021-02-22,501018,南方原油,2612200,0.684
2021-02-23,159825,农业ETF富国,1564800,1.185
2021-02-24,501018,南方原油,2604500,0.698
2021-02-26,159980,有色ETF大成,1398200,1.326
2021-03-02,513500,标普500,752100,2.368
2021-03-04,511880,银华日利,17300,100.543
2021-03-10,501018,南方原油,2396600,0.729
2021-03-18,513030,德国ETF,1499100,1.186
2021-03-19,515210,钢铁ETF,1191400,1.492
2021-03-22,159980,有色ETF大成,1401400,1.275
2021-03-23,511880,银华日利,17600,100.635
2021-03-26,513030,德国ETF,1509100,1.178
2021-04-08,513500,标普500,732900,2.536
2021-04-09,513090,香港证券,1477200,1.262
2021-04-12,513100,纳指ETF,399000,4.627
2021-04-20,512690,酒ETF,710300,2.604
2021-04-29,159967,创业板成长ETF华夏,2722400,0.695
2021-05-06,159949,创业板50ETF华安,1449000,1.298
2021-05-07,159980,有色ETF大成,1320400,1.4
2021-05-10,161226,国投白银LOF,2048800,0.924
2021-05-12,159980,有色ETF大成,1319400,1.419
2021-05-14,518880,黄金ETF,487400,3.718
2021-05-17,516080,创新医药,1703100,1.082
2021-05-27,512690,酒ETF,1217100,1.469
2021-05-31,515700,新能车,749400,2.39
2021-06-02,515030,新汽车,952700,1.857
2021-06-03,512670,国防ETF,1014600,1.763
2021-06-04,501018,南方原油,2282200,0.781
2021-06-07,512690,酒ETF,1171400,1.531
2021-06-08,501018,南方原油,2197800,0.778
2021-06-11,159995,芯片ETF华夏,1305900,1.336
2021-06-15,513520,日经ETF,1407400,1.258
2021-06-16,501018,南方原油,2153600,0.818
2021-06-18,513520,日经ETF,1379100,1.249
2021-06-21,501018,南方原油,2050600,0.815
2021-06-25,159804,创中盘88ETF国寿,1376100,1.247
2021-06-29,516590,电动汽车,1350200,1.286
2021-06-30,515790,光伏ETF,1329900,1.35
2021-07-01,516590,电动汽车,1336700,1.323
2021-07-02,159885,碳中和ETF鹏华,1318300,1.326
2021-07-05,501018,南方原油,2042500,0.846
2021-07-07,513100,纳指ETF,348400,4.917
2021-07-09,513500,标普500,642400,2.646
2021-07-12,513100,纳指ETF,347500,4.934
2021-07-13,516960,机械ETF,1434300,1.198
2021-07-15,516800,智能制造ETF,1476900,1.171
2021-07-16,516960,机械ETF,1449600,1.204
2021-07-19,159980,有色ETF大成,1233300,1.382
2021-07-20,518880,黄金ETF,452800,3.711
2021-07-21,159985,豆粕ETF华夏,1268800,1.315
2021-07-22,510410,资源ETF,1630000,1.011
2021-07-23,159885,碳中和ETF鹏华,1118300,1.482
2021-07-26,159980,有色ETF大成,1145800,1.412
2021-08-03,512670,国防ETF,767500,2.094
2021-08-05,516660,新能汽车,1101300,1.551
2021-08-06,512710,军工龙头,1811000,0.968
2021-08-10,516800,智能制造ETF,1438300,1.279
2021-08-11,516320,装备ETF,1493000,1.23
2021-08-16,513500,标普500,651200,2.73
2021-08-19,511880,银华日利,17200,101.473
2021-08-23,513500,标普500,642100,2.733
2021-08-25,512670,国防ETF,1544500,1.141
2021-08-26,515220,煤炭ETF,840300,2.095
2021-08-27,513500,标普500,637500,2.741
2021-08-31,510170,商品ETF,450000,3.933
2021-09-01,513100,纳指ETF,336100,5.192
2021-09-02,513500,标普500,631500,2.761
2021-09-03,513100,纳指ETF,337600,5.187
2021-09-07,510880,红利ETF,537800,3.262
2021-09-09,516780,稀土ETF,1184000,1.544
2021-09-13,512400,有色ETF,1119500,1.695
2021-09-15,516950,基建ETF,1553000,1.2
2021-09-16,513520,日经ETF,1400900,1.309
2021-09-22,501018,南方原油,2145900,0.84
2021-09-28,511880,银华日利,18700,101.687
2021-09-29,501018,南方原油,2187000,0.87
2021-10-18,516670,畜牧养殖,2553600,0.828
2021-10-19,511880,银华日利,21900,101.818
2021-10-20,159865,养殖ETF国泰,2697000,0.83
2021-10-21,512600,必选消费,2324700,0.943
2021-10-22,501018,南方原油,2388400,0.942
2021-10-28,516590,电动汽车,1447200,1.523
2021-10-29,513500,标普500,794400,2.763
2021-11-01,516590,电动汽车,1440000,1.541
2021-11-03,159720,智能车ETF泰康,2006600,1.087
2021-11-05,516590,电动汽车,1441600,1.56
2021-11-09,516380,智能电车,1739300,1.316
2021-11-10,159720,智能车ETF泰康,1997400,1.11
2021-11-11,512670,国防ETF,1950100,1.149
2021-11-12,512660,军工ETF,1591500,1.448
2021-11-17,159786,VRETF银华,2039000,1.091
2021-11-19,513100,纳指ETF,409800,5.437
2021-11-22,159786,VRETF银华,1998100,1.117
2021-11-30,516150,稀土基金,1317800,1.666
2021-12-02,561800,稀金属,2035400,1.059
2021-12-03,159985,豆粕ETF华夏,1840700,1.184
2021-12-06,561800,稀金属,2042400,1.066
2021-12-07,511880,银华日利,20300,102.091
2021-12-08,159980,有色ETF大成,1434800,1.447
2021-12-09,516780,稀土ETF,1375800,1.514
2021-12-13,512690,酒ETF,1476700,1.414
2021-12-16,515170,食品饮料,2217000,0.905
2021-12-17,512690,酒ETF,1472800,1.344
2021-12-20,159985,豆粕ETF华夏,1625500,1.212
2021-12-22,159980,有色ETF大成,1354000,1.456
2021-12-23,159985,豆粕ETF华夏,1614600,1.235
2021-12-29,159855,影视ETF银华,1904800,1.05
2021-12-30,159985,豆粕ETF华夏,1695400,1.239
2021-12-31,513500,标普500,719200,2.873
2022-01-04,512980,传媒ETF,2358400,0.883
2022-01-05,501018,南方原油,2318500,0.898
2022-01-07,159980,有色ETF大成,1434600,1.493
2022-01-10,501018,南方原油,2330600,0.917
2022-01-17,159980,有色ETF大成,1477300,1.511
2022-01-18,501018,南方原油,2336600,0.964
2022-01-25,518880,黄金ETF,610100,3.672
2022-01-26,501018,南方原油,2317700,0.968
2022-02-11,159985,豆粕ETF华夏,1625300,1.45
2022-02-16,159980,有色ETF大成,1468300,1.577
2022-02-17,159766,旅游ETF富国,2168400,1.069
2022-02-18,501018,南方原油,2309400,1.012
2022-02-24,159608,稀有金属ETF广发,2576200,0.985
2022-02-25,501018,南方原油,2407000,1.084
2022-03-03,518880,黄金ETF,781300,3.819
2022-03-04,159985,豆粕ETF华夏,1983400,1.516
2022-03-08,518880,黄金ETF,790500,3.936
2022-03-09,159985,豆粕ETF华夏,1967900,1.635
2022-03-29,513100,纳指ETF,3302700,0.974
2022-04-07,511880,银华日利,30900,100.63
2022-04-15,159980,有色ETF大成,1812700,1.72
2022-04-21,518880,黄金ETF,798500,3.929
2022-04-22,159980,有色ETF大成,1807300,1.743
2022-04-25,511880,银华日利,30300,100.711
2022-04-29,518880,黄金ETF,774100,3.953
2022-05-05,511880,银华日利,30100,100.77
2022-05-09,501018,南方原油,2268300,1.341
2022-05-10,511880,银华日利,28300,100.805
2022-05-13,501018,南方原油,2161400,1.323
2022-05-23,512670,国防ETF,3392500,0.851
2022-05-24,515790,光伏ETF,2089500,1.383
2022-05-25,501018,南方原油,2143900,1.336
2022-05-31,159755,电池ETF广发,3003800,1.004
2022-06-01,516590,电动汽车,2662400,1.172
2022-06-02,515220,煤炭ETF,1319800,2.398
2022-06-07,516520,智能驾驶,3471300,0.942
2022-06-09,159886,机械ETF富国,2812600,1.134
2022-06-13,159761,新材料ETF国泰,3808300,0.858
2022-06-17,159886,机械ETF富国,2843700,1.193
2022-06-20,159790,碳中和ETF华夏,3548900,0.979
2022-06-24,159915,创业板ETF易方达,1324200,2.733
2022-06-27,159605,中概互联ETF广发,4064500,0.901
2022-06-30,512690,酒ETF,3782100,0.938
2022-07-01,159814,创业大盘ETF西部利得,6444300,0.541
2022-07-04,159967,创业板成长ETF华夏,5065700,0.697
2022-07-06,159790,碳中和ETF华夏,3430400,1.032
2022-07-07,511880,银华日利,36000,101.09
2022-07-12,513100,纳指ETF,4462000,0.817
2022-07-13,513500,标普500,3002300,1.214
2022-07-14,511880,银华日利,35800,101.113
2022-07-15,513100,纳指ETF,4410600,0.822
2022-07-20,513500,标普500,2992400,1.257
2022-07-21,513100,纳指ETF,4376700,0.862
2022-08-02,513500,标普500,2969600,1.307
2022-08-03,513100,纳指ETF,4381500,0.885
2022-08-12,588100,科创信息,3622700,1.104
2022-08-22,513500,标普500,2820000,1.355
2022-08-23,159786,VRETF银华,4591600,0.821
2022-08-24,515220,煤炭ETF,1376500,2.638
2022-08-25,159985,豆粕ETF华夏,2300600,1.654
2022-08-30,518880,黄金ETF,984500,3.794
2022-08-31,159985,豆粕ETF华夏,2269700,1.632
2022-09-01,511880,银华日利,36400,101.32
2022-09-02,159985,豆粕ETF华夏,2248000,1.643
2022-09-06,511880,银华日利,36500,101.339
2022-09-07,159985,豆粕ETF华夏,2241500,1.654
2022-09-13,159768,房地产ETF银华,4089100,0.958
2022-09-16,159985,豆粕ETF华夏,2234700,1.727
2022-09-22,159980,有色ETF大成,2724300,1.459
2022-09-23,159985,豆粕ETF华夏,2232700,1.764
2022-09-26,511880,银华日利,38000,101.411
2022-09-27,159985,豆粕ETF华夏,2202300,1.751
2022-09-29,511880,银华日利,38900,101.418
2022-10-10,518880,黄金ETF,1033500,3.821
2022-10-11,161226,国投白银LOF,6222800,0.632
2022-10-13,159985,豆粕ETF华夏,2178900,1.776
2022-10-19,511880,银华日利,37100,101.513
2022-10-24,159883,医疗器械ETF永赢,5501300,0.685
2022-10-25,513290,纳指生物,3577200,1.024
2022-10-27,513030,德国ETF,3946900,0.956
2022-10-28,513290,纳指生物,3603900,1.038
2022-10-31,513030,德国ETF,4081200,0.965
2022-11-03,515400,大数据,5288300,0.733
2022-11-04,512720,计算机,3660400,1.079
2022-11-08,588100,科创信息,3921100,0.994
2022-11-09,159892,恒生医药ETF华夏,6348400,0.62
2022-11-14,513030,德国ETF,4085100,1.041
2022-11-17,515400,大数据,5585400,0.77
2022-11-18,159856,互联网龙头ETF工银,8272700,0.538
2022-11-21,513180,恒指科技,8607200,0.492
2022-11-22,513030,德国ETF,3976800,1.056
2022-11-29,161226,国投白银LOF,6187400,0.685
2022-12-01,513090,香港证券,3984100,1.09
2022-12-05,513530,港股红利,4489900,0.975
2022-12-06,513260,恒科技,4235600,1.045
2022-12-07,512200,地产ETF,5948600,0.766
2022-12-12,513330,恒生互联,9865300,0.463
2022-12-14,161226,国投白银LOF,6280300,0.735
2022-12-16,159985,豆粕ETF华夏,2320300,1.924
2022-12-19,511880,银华日利,42900,101.737
2022-12-21,159985,豆粕ETF华夏,2284100,1.913
2022-12-22,161226,国投白银LOF,6005600,0.732
2022-12-23,159985,豆粕ETF华夏,2241100,1.929
2022-12-26,161226,国投白银LOF,6126500,0.726
2022-12-27,159985,豆粕ETF华夏,2248700,1.983
2022-12-28,512690,酒ETF,5169400,0.852
2022-12-29,159985,豆粕ETF华夏,2213100,1.978
2022-12-30,161226,国投白银LOF,6056100,0.73
2023-01-03,512690,酒ETF,5303500,0.838
2023-01-04,159981,能源化工ETF建信,2956300,1.503
2023-01-05,513120,HK创新药,4200600,1.04
2023-01-06,513360,教育ETF,7959900,0.554
2023-01-10,513120,HK创新药,4366400,1.048
2023-01-13,513330,恒生互联,9636200,0.492
2023-01-16,513060,恒生医疗,7050900,0.675
2023-01-17,512010,医药ETF,8644300,0.526
2023-01-31,159851,金融科技ETF华宝,4038900,1.102
2023-02-01,159852,软件ETF嘉实,4860500,0.928
2023-02-02,515400,大数据,5343800,0.863
2023-02-06,562500,机器人,5871700,0.798
2023-02-07,513030,德国ETF,4325100,1.113
2023-02-08,513310,中韩芯片,4543500,1.065
2023-02-14,515980,人工智能,5440000,0.896
2023-02-15,159869,游戏ETF华夏,5289100,0.944
2023-02-16,159819,人工智能ETF易方达,6172600,0.837
2023-02-17,513030,德国ETF,4276600,1.127
2023-02-22,159869,游戏ETF华夏,5137300,0.933
2023-02-23,513030,德国ETF,4155600,1.126
2023-02-27,511880,银华日利,46200,100.354
2023-03-02,512040,国信价值,2490800,1.863
2023-03-06,516950,基建ETF,4177500,1.107
2023-03-08,501018,南方原油,3970500,1.155
2023-03-09,513030,德国ETF,3980200,1.144
2023-03-13,518880,黄金ETF,1101800,4.099
2023-03-22,517090,共赢ETF,3874200,1.198
2023-03-23,588200,科创芯片,3585800,1.293
2023-03-30,588100,科创信息,3932400,1.187
2023-03-31,588260,科创技术,3931600,1.195
2023-04-03,159819,人工智能ETF易方达,5131000,0.963
2023-04-04,512480,半导体,4912400,1.061
2023-04-06,517280,网购ETF,5712800,0.95
2023-04-07,159786,VRETF银华,6567000,0.848
2023-04-10,513310,中韩芯片,4583900,1.196
2023-04-12,515000,科技ETF,3821800,1.421
2023-04-13,515400,大数据,4974900,1.073
2023-04-14,161226,国投白银LOF,6771500,0.772
2023-04-17,513310,中韩芯片,4304100,1.186
2023-04-19,512480,半导体,4740800,1.072
2023-04-20,588100,科创信息,3784800,1.345
2023-04-21,161226,国投白银LOF,6504100,0.754
2023-04-24,513030,德国ETF,4061500,1.196
2023-05-04,161226,国投白银LOF,6302400,0.773
2023-05-05,513520,日经ETF,4321000,1.136
2023-05-08,161226,国投白银LOF,6357000,0.772
2023-05-11,513520,日经ETF,4265100,1.137
2023-05-12,513100,纳指ETF,5208300,0.948
2023-05-16,513520,日经ETF,4222800,1.169
2023-05-17,513100,纳指ETF,5264100,0.955
2023-05-19,511880,银华日利,51800,100.785
2023-05-22,513100,纳指ETF,5309800,0.984
2023-06-08,513500,标普500,3820500,1.434
2023-06-09,513100,纳指ETF,5259400,1.048
2023-06-13,515880,通信ETF,4788400,1.186
2023-06-15,516510,云计算,4714600,1.249
2023-06-19,515400,大数据,5645500,1.113
2023-06-20,515980,人工智能,5669200,1.138
2023-06-21,159852,软件ETF嘉实,5740000,1.102
2023-06-26,516520,智能驾驶,6201800,0.967
2023-06-27,159985,豆粕ETF华夏,3114900,1.899
2023-06-28,513500,标普500,3966700,1.487
2023-06-29,159985,豆粕ETF华夏,3152900,1.883
2023-07-04,515880,通信ETF,4821200,1.309
2023-07-06,159985,豆粕ETF华夏,3086400,2.01
2023-08-02,512880,证券ETF,6566100,1.017
2023-08-04,159768,房地产ETF银华,8492400,0.831
2023-08-07,515630,保险证券,5746200,1.188
2023-08-08,513090,香港证券,5546000,1.241
2023-08-10,159985,豆粕ETF华夏,3110700,2.18
2023-08-11,501018,南方原油,5374900,1.273
2023-08-17,511880,银华日利,66500,101.208
2023-08-22,159985,豆粕ETF华夏,2948300,2.286
2023-08-23,511880,银华日利,66900,101.228
2023-08-25,159985,豆粕ETF华夏,2907000,2.332
2023-09-08,501018,南方原油,5047100,1.336
2023-09-11,159985,豆粕ETF华夏,2874200,2.352
2023-09-12,501018,南方原油,4969200,1.348
2023-09-20,518880,黄金ETF,1471400,4.59
2023-09-22,501018,南方原油,4878900,1.372
2023-09-26,518880,黄金ETF,1449200,4.581
2023-09-27,511880,银华日利,65200,101.349
2023-09-28,501018,南方原油,4700200,1.407
2023-10-09,511880,银华日利,61200,101.449
2023-10-13,515120,创新药,9543200,0.651
2023-10-16,511880,银华日利,60600,101.491
2023-10-31,561980,芯片设备,5807300,1.06
2023-11-02,513120,HK创新药,6849300,0.885
2023-11-16,159892,恒生医药ETF华夏,9884000,0.609
2023-11-17,513310,中韩芯片,4857500,1.243
2023-11-22,159509,纳指科技ETF景顺,5740400,1.033
2023-11-27,513030,德国ETF,4805400,1.223
2023-12-06,513520,日经ETF,4835300,1.247
2023-12-07,513030,德国ETF,4791700,1.25
2023-12-18,513290,纳指生物,5533500,1.103
2023-12-21,513520,日经ETF,4543000,1.314
2023-12-22,513290,纳指生物,5453800,1.086
2023-12-27,513100,纳指ETF,5090400,1.219
2023-12-28,513520,日经ETF,4692000,1.319
2023-12-29,513290,纳指生物,5415900,1.139
2024-01-09,159509,纳指科技ETF景顺,5972900,1.077
2024-01-10,513290,纳指生物,5486700,1.182
2024-01-15,513520,日经ETF,4278800,1.5
2024-01-16,518880,黄金ETF,1507700,4.673
2024-01-17,513500,标普500,4334200,1.618
2024-01-18,159509,纳指科技ETF景顺,6287000,1.109
2024-01-19,513520,日经ETF,4975500,1.444
2024-01-24,513100,纳指ETF,6472800,1.285
2024-01-25,159509,纳指科技ETF景顺,6952500,1.184
2024-02-01,501018,南方原油,6565800,1.227
2024-02-02,159509,纳指科技ETF景顺,6619800,1.187
2024-02-06,513100,纳指ETF,6295500,1.291
