symbol,min_trade_date,max_trade_date,row_count,trade_days,last_fetched_at,sources
159967.SZ,2026-05-29,2026-07-06,6160,26,2026-07-07 23:46:24.967976,mootdx
510300.SH,2026-05-29,2026-07-06,6160,26,2026-07-07 23:46:22.571886,mootdx
511880.SH,2026-05-29,2026-07-06,6160,26,2026-07-07 23:45:49.228002,mootdx
