symbol,status,source,start_date,end_date,rows,error
511880.SH,source_unavailable,,2020-01-02,2026-07-06,0,"pandadata: RuntimeError: Pandadata credentials are missing. Set DEFAULT_USERNAME and DEFAULT_PASSWORD, or create ~/.pandadata/pandadata.env."
510300.SH,source_unavailable,,2020-01-02,2026-07-06,0,"pandadata: RuntimeError: Pandadata credentials are missing. Set DEFAULT_USERNAME and DEFAULT_PASSWORD, or create ~/.pandadata/pandadata.env."
159967.SZ,source_unavailable,,2020-01-02,2026-07-06,0,"pandadata: RuntimeError: Pandadata credentials are missing. Set DEFAULT_USERNAME and DEFAULT_PASSWORD, or create ~/.pandadata/pandadata.env."
