date,before,weak,below,above,weak_start,weak_days,detail
2020-02-07,True,True,3,1,2020-02-07,2,000300.XSHG:2020-02-06:3899.7800:3994.2170:below|399101.XSHE:2020-02-06:9863.8800:9941.9990:below|399006.XSHE:2020-02-06:2012.2500:1936.3650:above|000510.XSHG:2020-02-06:4414.6499:4472.0216:below
2020-02-10,True,True,3,1,2020-02-10,2,000300.XSHG:2020-02-07:3899.8700:3969.3000:below|399101.XSHE:2020-02-07:9893.1100:9903.6520:below|399006.XSHE:2020-02-07:2015.8000:1944.9490:above|000510.XSHG:2020-02-07:4423.3614:4452.5668:below
2020-02-11,True,False,1,3,None,2,000300.XSHG:2020-02-10:3916.0100:3945.4160:below|399101.XSHE:2020-02-10:9993.5200:9880.3380:above|399006.XSHE:2020-02-10:2042.1800:1955.9160:above|000510.XSHG:2020-02-10:4445.8474:4434.9985:above
2020-02-12,False,False,0,4,None,0,000300.XSHG:2020-02-11:3952.4600:3922.0790:above|399101.XSHE:2020-02-11:9994.7300:9842.1730:above|399006.XSHE:2020-02-11:2028.4400:1960.5420:above|000510.XSHG:2020-02-11:4470.3581:4415.1911:above
2020-02-13,False,False,0,4,None,0,000300.XSHG:2020-02-12:3984.4300:3909.0910:above|399101.XSHE:2020-02-12:10150.0500:9831.6460:above|399006.XSHE:2020-02-12:2085.2800:1972.3670:above|000510.XSHG:2020-02-12:4523.9735:4408.1716:above
2020-02-14,False,False,0,4,None,0,000300.XSHG:2020-02-13:3959.9200:3891.8900:above|399101.XSHE:2020-02-13:10067.5300:9803.6860:above|399006.XSHE:2020-02-13:2064.6000:1979.4370:above|000510.XSHG:2020-02-13:4492.5630:4395.0587:above
2020-02-17,False,False,0,4,None,0,000300.XSHG:2020-02-14:3987.7300:3890.2730:above|399101.XSHE:2020-02-14:10100.0900:9813.0780:above|399006.XSHE:2020-02-14:2069.2200:1993.5850:above|000510.XSHG:2020-02-14:4508.8947:4398.0526:above
2020-02-18,False,False,0,4,None,0,000300.XSHG:2020-02-17:4077.4200:3929.1790:above|399101.XSHE:2020-02-17:10421.8400:9939.0830:above|399006.XSHE:2020-02-17:2146.1800:2028.6260:above|000510.XSHG:2020-02-17:4617.6989:4446.5781:above
2020-02-19,False,False,0,4,None,0,000300.XSHG:2020-02-18:4057.5100:3956.3660:above|399101.XSHE:2020-02-18:10530.4900:10058.9890:above|399006.XSHE:2020-02-18:2170.9500:2057.4520:above|000510.XSHG:2020-02-18:4619.0063:4483.3275:above
2020-02-20,False,False,0,4,None,0,000300.XSHG:2020-02-19:4051.3100:3978.6440:above|399101.XSHE:2020-02-19:10481.5200:10149.6760:above|399006.XSHE:2020-02-19:2139.4400:2077.4340:above|000510.XSHG:2020-02-19:4599.9945:4511.6348:above
2020-02-21,False,False,0,4,None,0,000300.XSHG:2020-02-20:4144.6600:4003.1320:above|399101.XSHE:2020-02-20:10704.7500:10233.7630:above|399006.XSHE:2020-02-20:2186.7400:2094.8830:above|000510.XSHG:2020-02-20:4697.7333:4539.9431:above
2020-02-24,False,False,0,4,None,0,000300.XSHG:2020-02-21:4149.4900:4028.0940:above|399101.XSHE:2020-02-21:10849.8400:10329.4360:above|399006.XSHE:2020-02-21:2226.6400:2115.9670:above|000510.XSHG:2020-02-21:4721.9512:4569.8021:above
2020-02-25,False,False,0,4,None,0,000300.XSHG:2020-02-24:4132.8400:4049.7770:above|399101.XSHE:2020-02-24:11020.4700:10432.1310:above|399006.XSHE:2020-02-24:2263.9700:2138.1460:above|000510.XSHG:2020-02-24:4723.1843:4597.5358:above
2020-02-26,False,False,0,4,None,0,000300.XSHG:2020-02-25:4123.8500:4066.9160:above|399101.XSHE:2020-02-25:11115.3700:10544.1950:above|399006.XSHE:2020-02-25:2287.3100:2164.0330:above|000510.XSHG:2020-02-25:4722.0409:4622.7041:above
2020-02-27,False,False,1,3,None,0,000300.XSHG:2020-02-26:4073.0200:4075.7750:below|399101.XSHE:2020-02-26:10790.7500:10608.2650:above|399006.XSHE:2020-02-26:2180.7000:2173.5750:above|000510.XSHG:2020-02-26:4636.1682:4633.9235:above
2020-02-28,False,False,1,3,None,0,000300.XSHG:2020-02-27:4084.8800:4088.2710:below|399101.XSHE:2020-02-27:10812.2600:10682.7380:above|399006.XSHE:2020-02-27:2196.7100:2186.7860:above|000510.XSHG:2020-02-27:4651.5153:4649.8188:above
2020-03-02,False,True,4,0,2020-03-02,0,000300.XSHG:2020-02-28:3940.0500:4083.5030:below|399101.XSHE:2020-02-28:10286.5400:10701.3830:below|399006.XSHE:2020-02-28:2071.5700:2187.0210:below|000510.XSHG:2020-02-28:4464.3055:4645.3598:below
2020-03-03,True,True,4,0,2020-03-03,2,000300.XSHG:2020-03-02:4069.6700:4082.7280:below|399101.XSHE:2020-03-02:10663.2600:10725.5250:below|399006.XSHE:2020-03-02:2135.4200:2185.9450:below|000510.XSHG:2020-03-02:4610.6689:4644.6568:below
