date,log_date,time,target,target_raw,top10_raw,top1
2024-05-10,2024-05-10,13:10:00,513330,513330.SH,"513330.SH:4.1674,159605.SZ:3.7232,513180.SH:2.9721,510900.SH:2.9176,512710.SH:1.7103,159883.SZ:1.1204,159985.SZ:0.9612,159638.SZ:0.9524,159980.SZ:0.8884,513970.SH:0.7952",513330
2024-05-13,2024-05-13,13:10:00,513180,513180.SH,"513180.SH:4.4413,510900.SH:3.7918,513090.SH:2.5870,512710.SH:2.0956,513630.SH:2.0641,512670.SH:1.9668,159892.SZ:1.5348,513120.SH:1.4676,159883.SZ:1.4246,159638.SZ:1.2947",513180
2024-05-14,2024-05-14,13:10:00,510900,510900.SH,"510900.SH:4.5555,513190.SH:4.4412,513090.SH:3.9599,513920.SH:2.9325,513630.SH:2.4857,159892.SZ:2.4064,513120.SH:2.2373,512710.SH:2.0781,512670.SH:2.0357,159883.SZ:1.9000",510900
2024-05-15,2024-05-15,13:10:00,513190,513190.SH,"513190.SH:4.8592,510900.SH:4.7602,513920.SH:3.1181,513630.SH:2.6695,159892.SZ:2.5476,513120.SH:2.2931,513970.SH:2.0047,159883.SZ:1.9616,512670.SH:1.9559,512710.SH:1.8667",513190
2024-05-16,2024-05-16,13:10:00,159985,159985.SZ,"159985.SZ:1.3154,159980.SZ:0.8829,513400.SH:0.4520,513290.SH:0.4459,513030.SH:0.3914,159502.SZ:0.3824,513500.SH:0.1953,513100.SH:0.0942,159509.SZ:0.0656,513310.SH:0.0075",159985
2024-05-17,2024-05-17,13:10:00,159985,159985.SZ,"159985.SZ:1.3926,159980.SZ:0.9553,159502.SZ:0.7108,513290.SH:0.6457,513400.SH:0.5929,513500.SH:0.3717,159529.SZ:0.2728,513100.SH:0.2075,159509.SZ:0.1704,161226.SZ:0.0105",159985
2024-05-20,2024-05-20,13:10:00,159985,159985.SZ,"159985.SZ:1.3880,159502.SZ:1.0806,513290.SH:0.9169,513400.SH:0.7986,513030.SH:0.7542,159509.SZ:0.4588,159529.SZ:0.3988,513100.SH:0.3904",159985
2024-05-21,2024-05-21,13:10:00,513630,513630.SH,"513630.SH:4.5274,513920.SH:4.3243,159865.SZ:3.9306,159825.SZ:2.7658,159502.SZ:1.6673,512070.SH:1.5276,512670.SH:1.4834,159980.SZ:1.4013,159985.SZ:1.3307,513290.SH:1.2285",513630
2024-05-22,2024-05-22,13:10:00,513630,513630.SH,"513630.SH:4.4595,513920.SH:4.2014,159865.SZ:3.7759,159825.SZ:2.4735,159502.SZ:2.0301,159509.SZ:1.8059,159980.SZ:1.5252,513290.SH:1.4270,512070.SH:1.4148,159985.SZ:1.3137",513630
2024-05-23,2024-05-23,13:10:00,513180,513180.SH,"513180.SH:4.1921,510900.SH:4.1254,513630.SH:3.6774,513920.SH:3.2905,159865.SZ:3.2374,159509.SZ:3.2160,159502.SZ:2.4641,159825.SZ:1.8765,513290.SH:1.6965,159892.SZ:1.3970",513180
2024-05-24,2024-05-24,13:10:00,159985,159985.SZ,159985.SZ:1.2583,159985
2024-05-27,2024-05-27,13:10:00,161226,161226.SZ,"161226.SZ:2.6112,513100.SH:1.3989",161226
2024-05-28,2024-05-28,13:10:00,159509,159509.SZ,"159509.SZ:4.4349,161226.SZ:4.0758,513100.SH:1.4758,159980.SZ:1.0088,159985.SZ:0.7325,513030.SH:0.6145",159509
2024-05-29,2024-05-29,13:10:00,159509,159509.SZ,"159509.SZ:4.2933,513100.SH:1.3312,159980.SZ:1.0998,513310.SH:0.1332",159509
2024-05-30,2024-05-30,13:10:00,511880,511880.SH,,
2024-05-31,2024-05-31,13:10:00,511880,511880.SH,,
2024-06-03,2024-06-03,13:10:00,159509,159509.SZ,"159509.SZ:2.9853,513500.SH:0.2455,513290.SH:0.1692,513030.SH:0.0856",159509
