date,ths_target,jq_target,target_match,ths_passed,jq_passed,top_overlap,ths_top1,jq_top1,score_delta_json
2021-07-21,,159985,False,,1,0,,159985,[]
2021-08-31,512400,516150,False,17.0,19,9,512400,516150,"[{""code"": ""159766"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 3100.0}, {""code"": ""510880"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 50900.0}, {""code"": ""512400"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 582400.0}, {""code"": ""512660"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 624100.0}, {""code"": ""512670"", ""score_diff"": -0.11580000000000013, ""price_diff"": 0.0, ""volume_diff"": 974000.0}, {""code"": ""512710"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 106200.0}, {""code"": ""512880"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 19392800.0}, {""code"": ""512890"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": NaN}, {""code"": ""515790"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1149900.0}]"
2021-09-10,512890,516150,False,18.0,18,9,512890,516150,"[{""code"": ""159766"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 87000.0}, {""code"": ""159981"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 800.0}, {""code"": ""510500"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 3365700.0}, {""code"": ""512400"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 130200.0}, {""code"": ""512880"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 4261000.0}, {""code"": ""512890"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": NaN}, {""code"": ""512980"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 66000.0}, {""code"": ""513090"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1179800.0}, {""code"": ""513520"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": NaN}]"
2021-11-30,516520,516150,False,27.0,29,9,516520,516150,"[{""code"": ""159732"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 2000.0}, {""code"": ""159851"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1200.0}, {""code"": ""512100"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 3270100.0}, {""code"": ""512660"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 982400.0}, {""code"": ""512670"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 57700.0}, {""code"": ""515050"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 56900.0}, {""code"": ""515880"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 26000.0}, {""code"": ""516520"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": NaN}, {""code"": ""562800"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1500.0}]"
2021-12-01,562800,516150,False,29.0,30,9,562800,516150,"[{""code"": ""159732"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": NaN}, {""code"": ""159851"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 123500.0}, {""code"": ""512100"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 700.0}, {""code"": ""512660"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1110600.0}, {""code"": ""512670"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 22900.0}, {""code"": ""515050"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 463500.0}, {""code"": ""515880"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 577100.0}, {""code"": ""516520"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1400.0}, {""code"": ""562800"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 35000.0}]"
2021-12-09,562800,516150,False,22.0,23,9,562800,516150,"[{""code"": ""159732"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 300.0}, {""code"": ""159851"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 12800.0}, {""code"": ""512200"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 999500.0}, {""code"": ""512400"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 49000.0}, {""code"": ""512690"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1707900.0}, {""code"": ""515210"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 219800.0}, {""code"": ""515220"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 157700.0}, {""code"": ""516520"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 3000.0}, {""code"": ""562800"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 532300.0}]"
2021-12-10,512690,516150,False,23.0,24,9,512690,516150,"[{""code"": ""159732"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1000.0}, {""code"": ""159851"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": NaN}, {""code"": ""512400"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 44500.0}, {""code"": ""512690"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1344400.0}, {""code"": ""515170"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 758700.0}, {""code"": ""515210"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 64100.0}, {""code"": ""515220"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 62600.0}, {""code"": ""516520"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": NaN}, {""code"": ""562800"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 30800.0}]"
2022-03-29,513500,513100,False,4.0,3,3,513500,513100,"[{""code"": ""159980"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 3100.0}, {""code"": ""513030"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 31000.0}, {""code"": ""513100"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 58500.0}]"
2024-11-25,159529,159518,False,4.0,5,4,159529,159518,"[{""code"": ""159529"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 957200.0}, {""code"": ""513100"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 232100.0}, {""code"": ""513400"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 2146000.0}, {""code"": ""513500"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 431000.0}]"
2025-07-22,515210,516150,False,84.0,86,9,515210,516150,"[{""code"": ""159509"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 3130800.0}, {""code"": ""159949"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 270400.0}, {""code"": ""159992"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 282200.0}, {""code"": ""515120"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 191700.0}, {""code"": ""515210"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 2106800.0}, {""code"": ""515790"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 2115300.0}, {""code"": ""516510"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 146000.0}, {""code"": ""560860"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 841500.0}, {""code"": ""562800"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 109100.0}]"
2025-09-04,515790,516160,False,37.0,38,9,515790,516160,"[{""code"": ""159870"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 3760700.0}, {""code"": ""510300"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 5837600.0}, {""code"": ""510500"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1296332.0}, {""code"": ""512050"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 24873900.0}, {""code"": ""512980"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 203600.0}, {""code"": ""515030"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 140300.0}, {""code"": ""515790"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 9736700.0}, {""code"": ""516520"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 84100.0}, {""code"": ""562500"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 5146600.0}]"
2025-09-09,562800,516150,False,45.0,46,9,562800,516150,"[{""code"": ""159667"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 800.0}, {""code"": ""159732"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1809900.0}, {""code"": ""159870"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1813300.0}, {""code"": ""159967"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 178600.0}, {""code"": ""512480"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 822400.0}, {""code"": ""516510"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 239900.0}, {""code"": ""516520"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1279300.0}, {""code"": ""562800"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 106300.0}, {""code"": ""588220"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 245600.0}]"
2025-11-14,159766,516160,False,31.0,32,9,159766,516160,"[{""code"": ""159326"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 180700.0}, {""code"": ""159566"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 351600.0}, {""code"": ""159766"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1554100.0}, {""code"": ""159870"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1491700.0}, {""code"": ""513190"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 240100.0}, {""code"": ""513290"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 461700.0}, {""code"": ""513310"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1432000.0}, {""code"": ""513920"", ""score_diff"": 0.0047000000000001485, ""price_diff"": 0.0, ""volume_diff"": 182100.0}, {""code"": ""561360"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 2900.0}]"
2026-07-02,513290,159667,False,9.0,10,9,513290,159667,"[{""code"": ""159870"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1072700.0}, {""code"": ""510500"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 269200.0}, {""code"": ""512070"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 2960600.0}, {""code"": ""512100"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 668900.0}, {""code"": ""512880"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 18948200.0}, {""code"": ""513290"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 3517700.0}, {""code"": ""513400"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 94600.0}, {""code"": ""513520"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 389100.0}, {""code"": ""562800"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 229800.0}]"
