trade_date,held_symbol,strategy_return,trade_cost,equity
2020-01-02,,0.0,0.0,100000.0
2020-01-03,512400,0.016304347826086918,20.0,101610.43478260869
2020-01-06,512400,0.03609625668449201,0.0,105278.19111834456
2020-01-07,512980,0.030939226519337115,42.11127644733783,108493.30564445375
2020-01-08,512980,-0.02893890675241162,0.0,105353.62798914801
2020-01-09,512980,0.015452538631346657,0.0,106981.60899560284
2020-01-10,510410,-0.0091324200913242,42.79264359824114,105961.81535661097
2020-01-13,510410,0.003072196620583778,0.0,106287.35088766048
2020-01-14,512580,0.007100591715976323,42.51494035506419,106999.5390305314
2020-01-15,510410,-0.015197568389057725,42.79981561221256,105330.60640290503
2020-01-16,512980,-0.010845986984815648,42.132242561162016,104146.05977419522
2020-01-17,512400,-0.0026490066225165476,41.65842390967809,103828.51774823469
2020-01-20,512400,0.005312084993359889,0.0,104380.06365924788
2020-01-21,512400,-0.023778071334214057,0.0,101898.10705968848
2020-01-22,515000,0.028954802259887114,40.7592428238754,104807.7873574347
2020-01-23,515000,-0.032258064516129115,0.0,101426.89099106584
2020-02-03,512930,-0.09947643979057585,40.57075639642634,91296.73421985135
2020-02-04,518880,-0.007954545454545436,36.51869368794054,90533.99150396005
2020-02-05,518880,-0.00658648339060719,0.0,89937.69087263384
2020-02-06,518880,-0.004900547708273195,0.0,89496.94692774057
2020-02-07,518880,0.004634994206257348,0.0,89911.76475822837
2020-02-10,518880,0.003748558246828182,0.0,90248.8042454997
2020-02-11,518880,-0.002585463947141542,0.0,90015.46921585033
2020-02-12,159966,0.025641025641025772,36.006187686340134,92287.55198241657
2020-02-13,512290,-0.012518409425625987,36.91502079296663,91095.34360101898
2020-02-14,512290,0.017151379567487135,0.0,92657.75441595071
2020-02-17,512290,0.016862170087976525,0.0,94220.16523088243
2020-02-18,512290,-0.00216294160057684,0.0,94016.37251589133
2020-02-19,159949,-0.02230483271375472,37.60654900635653,91881.74650556396
2020-02-20,159949,0.030418250950570158,0.0,94676.62852854688
2020-02-21,512930,0.0418300653594772,37.870651411418756,98599.08743649953
2020-02-24,159949,0.01690821256038655,39.43963497459981,100226.7821301614
2020-02-25,159966,0.009038089089735246,40.09071285206456,101092.55000337922
2020-02-26,159915,-0.04236902050113889,40.43702000135169,96768.92065977228
2020-02-27,512660,-0.009101251422070522,38.70756826390891,95849.49481474138
2020-02-28,512660,-0.05740528128587841,0.0,90347.2276037918
2020-03-02,518880,-0.022357162572453904,36.13889104151672,88291.18105724183
2020-03-03,511880,3.9775269726094464e-05,35.31647242289674,88259.37639035992
2020-03-04,159985,0.0,35.30375055614397,88224.07263980378
2020-03-05,159985,0.0010330578512396382,0.0,88315.21321071267
2020-03-06,159985,-0.00515995872033026,0.0,87859.51035616822
2020-03-09,515050,-0.04785077047850783,35.14380414246729,83620.22128761867
2020-03-10,512950,0.024590163934426146,33.448088515047466,85643.00814879916
2020-03-11,159985,-0.007314524555903867,34.25720325951966,84982.31305939377
2020-03-12,518880,-0.010964912280701733,33.99292522375751,84016.49652606262
2020-03-13,511880,3.9753133043829436e-05,33.60659861042505,83986.22984641648
2020-03-16,511880,0.0001788819875776504,0.0,84001.25347014055
2020-03-17,511880,7.948888645992191e-05,0.0,84007.93063624013
2020-03-18,159985,-0.002083333333333326,33.60317225449605,83799.31094182678
2020-03-19,159985,-0.009394572025052228,0.0,83012.05227953405
2020-03-20,511880,0.00018875422213393556,33.20482091181362,82994.51633397801
2020-03-23,159985,0.05322415557830085,33.197806533591205,87378.6315769499
2020-03-24,511880,-0.00010924403130330163,34.95145263077996,87334.13453035589
2020-03-25,511880,9.932360624187453e-06,0.0,87335.00196447485
2020-03-26,159985,-0.026162790697674576,34.93400078578994,85015.14058671152
2020-03-27,159985,0.011940298507462588,0.0,86030.24674297076
2020-03-30,159985,0.008849557522123908,0.0,86791.5763601652
2020-03-31,159985,-0.0029239766081872176,0.0,86537.79982110039
2020-04-01,159985,-0.029325513196480912,0.0,84000.03443045229
2020-04-02,511880,9.928711848905536e-06,33.600013772180915,83967.26842881726
2020-04-03,511880,0.00025814394503531624,0.0,83988.94407074331
2020-04-07,159985,0.0030737704918033515,33.59557762829733,84213.5112310374
2020-04-08,511880,7.94076191612536e-05,33.68540449241496,84186.51302097306
2020-04-09,511880,6.947614983010553e-05,0.0,84192.36197576538
2020-04-10,511880,0.00019848949494361,0.0,84209.07327517206
2020-04-13,511880,4.961252617063927e-05,0.0,84213.25110002373
2020-04-14,511880,1.9844025956006206e-05,0.0,84214.9222299644
2020-04-15,512290,0.006052454606590318,33.685968891985766,84690.94325506681
2020-04-16,512290,0.03208556149732633,0.0,87408.29972314383
2020-04-17,512290,-0.020077720207253957,0.0,85653.34033751076
2020-04-20,512290,0.026437541308658385,0.0,87917.80406090828
2020-04-21,159929,-0.00939226519337022,35.16712162436331,87056.8896083251
2020-04-22,159929,0.015058561070831145,0.0,88367.84109712866
2020-04-23,159929,0.001098901098901095,0.0,88464.94861481781
2020-04-24,159929,-0.01756311745334793,0.0,86911.22833179138
2020-04-27,159929,0.010055865921787754,0.0,87785.19599099376
2020-04-28,513520,0.006295907660021083,35.1140783963975,88302.76940047351
2020-04-29,513520,0.021897810218978186,0.0,90236.40668661527
2020-04-30,512290,-0.009900990099009799,36.09456267464611,89306.88235476623
2020-05-06,512290,0.01866666666666661,0.0,90973.94415872186
2020-05-07,159967,0.0033806626098713544,36.389577663488744,91245.1067925483
2020-05-08,159967,0.006064690026954311,0.0,91798.48008172144
2020-05-11,159967,-0.008037508372404578,0.0,91060.6490294906
2020-05-12,159967,0.016880486158001418,0.0,92597.79705497154
2020-05-13,159967,0.014608233731739695,0.0,93950.48731739476
2020-05-14,159967,-0.00850785340314153,0.0,93151.17034414466
2020-05-15,159995,0.03989120580235728,37.26046813765787,96829.82238293572
2020-05-18,159995,-0.04533565823888408,0.0,92439.9786480511
2020-05-19,159967,0.019078947368420973,36.97599145922044,94166.660143956
2020-05-20,513520,-0.0029970029970028955,37.6666640575824,93846.77571722923
2020-05-21,159967,-0.008558262014483176,37.53871028689169,93006.07171113987
2020-05-22,161226,-0.016009852216748777,37.20242868445595,91479.85581909973
2020-05-25,161226,0.008760951188986343,0.0,92281.30637070637
2020-05-26,161226,0.024813895781637507,0.0,94571.16508958244
2020-05-27,161226,-0.009685230024213065,0.0,93655.221602032
2020-05-28,161226,0.014669926650366705,0.0,95029.13683335765
2020-05-29,161226,0.002409638554216942,0.0,95258.12270524527
2020-06-01,161226,0.044471153846153966,0.0,99494.36133516605
2020-06-02,513520,0.013071895424836555,39.79774453406642,100755.14347736617
2020-06-03,513030,0.02202202202202197,40.30205739094647,102933.67340846577
2020-06-04,513030,0.02350636630754166,0.0,105353.27004098603
2020-06-05,161226,0.004830917874396157,42.14130801639441,105820.08172833672
2020-06-08,161226,-0.0024038461538461453,0.0,105565.70653187437
2020-06-09,513520,0.012773722627737127,42.22628261274975,106871.94730350087
2020-06-10,513520,0.008108108108108025,0.0,107738.47660596168
2020-06-11,513520,-0.02859696157283287,0.0,104657.48353054545
2020-06-12,513520,-0.013799448022078997,0.0,103213.2680264441
2020-06-15,513520,-0.028917910447761375,0.0,100228.5559846346
2020-06-16,515030,0.027056277056277,40.09142239385384,102900.27614191159
2020-06-17,513030,0.007766990291262044,41.160110456764635,103658.34147721723
2020-06-18,513030,-0.0009633911368016612,0.0,103558.47794978251
2020-06-19,513030,0.0009643201542912649,0.0,103658.34147721721
2020-06-22,512290,0.014610389610389518,41.46333659088689,105131.36689597527
2020-06-23,512290,0.01760000000000006,0.0,106981.67895334444
2020-06-24,159949,-0.0010845986984815426,42.79267158133778,106822.85409200893
2020-06-29,513050,-0.02033172819689677,42.729141636803575,104608.23171575663
2020-06-30,513050,0.007646095030038325,0.0,105408.07619637957
2020-07-01,159967,-0.018675721561969394,42.16323047855183,103397.34108447458
2020-07-02,515000,0.004822182037371725,41.358936433789836,103854.58294893033
2020-07-03,159929,0.007543611504007508,41.54183317957213,104596.47974242822
2020-07-06,159929,0.01216658867571363,0.0,105869.06208838195
2020-07-07,159929,0.018492834026814675,0.0,107826.88108215694
2020-07-08,159967,0.003252032520325132,43.13075243286278,108134.40685356848
2020-07-09,515030,0.01969561324977631,43.253762741427394,110220.9265472089
2020-07-10,159804,-0.002332814930015692,44.088370618883566,109919.71315354052
2020-07-13,515880,0.02874432677760974,43.96788526141621,113035.3134224656
2020-07-14,515900,-0.007874015748031482,45.21412536898624,112100.05745912444
2020-07-15,510880,-0.014545454545454528,44.840022983649774,110424.67114582624
2020-07-16,515150,-0.035019455252918275,44.1698684583305,106513.48944735844
2020-07-17,510880,0.0007581501137225999,42.60539577894338,106551.63726571701
2020-07-20,161226,0.011547344110854452,42.62065490628681,107739.4050318929
2020-07-21,161226,0.051369863013698724,0.0,113273.96350955863
2020-07-22,159980,0.008771929824561209,45.309585403823455,114222.28518301055
2020-07-23,161226,-0.016815034619188873,45.688914073204224,112255.94458930215
2020-07-24,513090,-0.053932584269662964,44.90237783572086,106156.78902013328
2020-07-27,161226,0.055724417426545214,42.462715608053315,112029.85152854482
2020-07-28,513030,0.006363636363636349,44.81194061141793,112697.95682493324
2020-07-29,513030,-0.0009033423667569318,0.0,112596.15198588633
2020-07-30,513030,-0.000904159132007365,0.0,112494.3471468394
2020-07-31,159967,0.0205580029368575,44.99773885873576,114762.00852700527
2020-08-03,159967,0.019664268585131595,0.0,117018.71948604946
2020-08-04,159967,-0.015051740357478804,0.0,115257.3841033808
2020-08-05,159967,0.010983763132760282,0.0,116523.3439096739
2020-08-06,159929,-0.01917057902973396,46.609337563869566,114242.91459888076
2020-08-07,159929,-0.01196649381731163,0.0,112875.82746766158
2020-08-10,159992,-0.004551365409622976,45.150330987064635,112316.93799995564
2020-08-11,159992,-0.014369693011103912,0.0,110702.97808094909
2020-08-12,512290,-0.042369217466493914,44.28119123237964,105968.29833721647
2020-08-13,513030,0.008992805755395628,42.38731933488659,106878.863341058
2020-08-14,511880,-6.909622142381444e-05,42.7515453364232,106828.72687011464
2020-08-17,513030,-0.00536193029490617,42.73149074804586,106213.18719239546
2020-08-18,513030,0.0008984725965859308,0.0,106308.61683048388
2020-08-19,159996,-0.012588512981903999,42.523446732193555,104927.82598069287
2020-08-20,512660,-0.03728251864125942,41.971130392277146,100973.88122218857
2020-08-21,159980,-0.0009319664492076773,40.38955248887543,100839.38740015433
2020-08-24,159980,-0.005597014925373123,0.0,100274.98784381019
2020-08-25,159980,-0.0018761726078799779,0.0,100086.85465836214
2020-08-26,159996,-0.026232114467408474,40.034741863344856,97421.33008841776
2020-08-27,159996,0.00897959183673458,0.0,98296.13386880355
2020-08-28,159980,0.008395522388059629,39.31845354752142,99082.06280781128
2020-08-31,159980,0.0009250693802036469,0.0,99173.7205902422
2020-09-01,159928,-0.001844640295142419,39.66948823609688,98951.11126078616
2020-09-02,159928,0.005133470225872516,0.0,99459.0738442604
2020-09-03,159928,-0.007150153217568733,0.0,98747.92622739646
2020-09-04,159928,-0.022839506172839696,0.0,96492.57235677072
2020-09-07,159928,-0.03263845020004197,0.0,93343.20433923032
2020-09-08,159980,0.0027700831024932704,37.33728173569213,93564.43549056731
2020-09-09,159980,-0.019337016574585753,0.0,91755.17845069445
2020-09-10,159985,0.006730769230769207,36.702071380277786,92336.05931119385
2020-09-11,159985,0.021012416427889313,0.0,94276.26304075094
2020-09-14,159985,0.016838166510757757,0.0,95863.7024558431
2020-09-15,159985,0.002759889604415866,0.0,96128.2756916918
2020-09-16,159985,-0.01834862385321101,0.0,94364.45411936718
2020-09-17,159985,0.0018691588785046953,0.0,94540.83627659964
2020-09-18,159985,0.029850746268656803,0.0,97362.95079231904
2020-09-21,159985,-0.009057971014492794,0.0,96481.04000615672
2020-09-22,159985,-0.01188299817184657,0.0,95334.5559841457
2020-09-23,159985,-0.0046253469010174575,0.0,94893.60059106456
2020-09-24,511880,-3.9399550845198306e-05,37.957440236425825,94851.90438558676
2020-09-25,159985,-0.004642525533890329,37.94076175423471,94373.61123578432
2020-09-28,511880,8.864025843569046e-05,37.74944449431373,94344.22709257946
2020-09-29,511880,0.00015756871473149303,0.0,94359.09279118477
2020-09-30,513520,-0.010762331838565009,37.743637116473906,93305.82528546361
2020-10-09,513520,0.0036264732547597323,0.0,93644.19636537462
2020-10-12,513520,0.0,0.0,93644.19636537462
2020-10-13,159985,-0.0174064403829417,37.45767854614985,91976.72656558608
2020-10-14,511880,0.00019682133543286184,36.790690626234436,91958.03885711123
2020-10-15,159985,0.0,36.783215542844495,91921.25564156838
2020-10-16,515030,-0.024752475247524774,36.76850225662735,89609.20853432243
2020-10-19,515030,-0.009306260575296044,0.0,88775.28188975599
2020-10-20,515030,0.03586678052946213,0.0,91959.365441737
2020-10-21,515030,-0.022258862324814666,0.0,89912.45458689205
2020-10-22,515030,0.010118043844856706,0.0,90822.19274460092
2020-10-23,515030,-0.015859766277128484,0.0,89381.77399489524
2020-10-26,159980,-0.005612722170252549,35.752709597958095,88844.34622077963
2020-10-27,159985,-0.0035118525021948788,35.53773848831185,88496.80024271
2020-10-28,159980,0.009380863039399667,35.398720097084,89291.57788511488
2020-10-29,159980,-0.0074349442379182396,0.0,88627.69998262332
2020-10-30,159980,-0.010299625468164875,0.0,87714.86786669742
2020-11-02,515030,0.03781174577634738,35.08594714667897,90996.4342041322
2020-11-03,511880,-0.00010809429753455557,36.39857368165288,90950.1994348171
2020-11-04,159980,-0.0037278657968312645,36.380079773926845,90574.76921735513
2020-11-05,515030,0.060121765601217625,36.229907686942056,95984.0543539384
2020-11-06,159996,0.013571428571428568,38.39362174157536,97248.30146985741
2020-11-09,513050,0.03134938664243525,38.89932058794297,100258.07675236814
2020-11-10,159996,-0.014778325123152802,40.10323070094726,98736.3270671987
2020-11-11,159996,-0.008571428571428563,0.0,97890.015692337
2020-11-12,159996,0.015850144092218965,0.0,99441.58654625011
2020-11-13,159996,-0.005673758865248235,0.0,98877.37896300897
2020-11-16,159996,-0.0014265335235378318,0.0,98736.32706719868
2020-11-17,513520,-0.0016652789342215257,39.494530826879476,98532.40901086439
2020-11-18,513520,-0.012510425354462118,0.0,97299.72666293864
2020-11-19,513520,0.0016891891891892552,0.0,97464.08430932875
2020-11-20,513520,-0.002529510961214121,0.0,97217.54783974361
2020-11-23,513520,0.01183431952662728,0.0,98368.0513644743
2020-11-24,510410,0.006720430107526987,39.347220545789725,98989.77975793708
2020-11-25,510410,-0.01735647530040052,0.0,97271.66609057636
2020-11-26,510410,-0.0040760869565217295,0.0,96875.17832118542
2020-11-27,513520,0.004874086108854536,38.75007132847417,97308.60621080505
2020-11-30,513520,0.0,0.0,97308.60621080505
2020-12-01,513520,0.01212611156022625,0.0,98488.5812254874
2020-12-02,513520,-0.00559105431309892,0.0,97937.92621863565
2020-12-03,510410,-0.028112449799196804,39.17517048745426,95145.47601388936
2020-12-04,510410,0.012396694214876103,0.0,96324.96538596238
2020-12-07,510410,-0.01224489795918371,0.0,95145.47601388936
2020-12-08,510410,-0.0027548209366391463,0.0,94883.3672645398
2020-12-09,159981,0.013402061855670055,37.95334690581592,96117.0466747876
2020-12-10,501018,0.0018214936247722413,38.44681866991505,96253.67644386776
2020-12-11,159980,0.008620689655172376,38.50147057754711,97044.94804608217
2020-12-14,501018,0.0053475935828875,38.81797921843287,97525.0870082866
2020-12-15,159980,-0.0008517887563883608,39.010034803314646,97403.00620090384
2020-12-16,159980,0.004262574595055302,0.0,97818.19378061782
2020-12-17,159980,0.011035653650254718,0.0,98897.68148787422
2020-12-18,159980,0.011754827875734675,0.0,100060.2067110734
2020-12-21,159981,0.0029041626331076653,40.02408268442937,100310.77374178031
2020-12-22,159981,-0.025096525096525157,0.0,97793.32189111787
2020-12-23,159981,-0.007920792079207928,0.0,97018.72132168328
2020-12-24,159967,0.0016207455429497752,38.80748852867331,97137.1564933194
2020-12-25,159967,0.009708737864077666,0.0,98080.23568257493
2020-12-28,159967,0.0016025641025640969,0.0,98237.41554745084
2020-12-29,159967,-0.02080000000000004,0.0,96194.07730406386
2020-12-30,159967,0.03758169934640532,0.0,99809.21419621006
2020-12-31,159967,0.03622047244094495,0.0,103424.35108835626
2021-01-04,159967,0.03039513677811545,0.0,106567.94838587468
2021-01-05,159967,0.004424778761061843,0.0,107039.48798050244
2021-01-06,512770,0.00842945874001777,42.81579519220098,107898.95713279452
2021-01-07,159949,0.01984732824427482,43.15958285311781,109997.30356937091
2021-01-08,512400,-0.0026385224274407815,43.998921427748364,109663.07429551736
2021-01-11,159928,-0.03081282096688509,43.86522971820695,106240.18039085316
2021-01-12,159985,0.00302571860816947,42.49607215634126,106519.1372094407
2021-01-13,159915,-0.016579973992197683,42.607654883776284,104710.44502995306
2021-01-14,159915,-0.01256198347107429,0.0,103395.07415023795
2021-01-15,159915,0.001004352192835567,0.0,103498.91921968914
2021-01-18,512400,0.016901408450704203,41.39956768787566,105206.79715993967
2021-01-19,501018,0.0,42.08271886397587,105164.71444107569
2021-01-20,513090,-0.003479471120389821,42.06588577643028,104756.73096851748
2021-01-21,501018,-0.006430868167202619,41.902692387406994,104041.15154964443
2021-01-22,501018,-0.01132686084142398,0.0,102862.69190426011
2021-01-25,159814,0.0029090909090909722,41.14507676170405,103120.78374940171
2021-01-26,159822,-0.018837018837018937,41.24831349976069,101137.04728992631
2021-01-27,512770,0.009216589861751112,40.45481891597053,102028.73115571012
2021-01-28,512770,-0.03860523038605235,0.0,98089.88848344733
2021-01-29,510900,-0.010560519902518384,39.23595539337893,97014.7723084887
2021-02-01,511880,8.972633467907443e-05,38.80590892339548,96984.67117949427
2021-02-02,511880,0.0001295930777358567,0.0,96997.23972152562
2021-02-03,511880,0.00021928294477069343,0.0,97018.50956188639
2021-02-04,501018,0.015772870662460692,38.80740382475456,98509.96256124596
2021-02-05,511880,0.0002790178571427937,39.40398502449839,98498.04461488251
2021-02-08,501018,0.012364760432766575,39.39921784595301,99676.55012179553
2021-02-09,501018,0.01984732824427482,0.0,101654.86333031971
2021-02-10,512800,-0.010054137664346263,40.661945332127885,100592.14939481425
2021-02-18,159822,0.00797448165869219,40.2368597579257,101354.0827854137
2021-02-19,159822,-0.011867088607594889,0.0,100151.30490425769
2021-02-22,159822,-0.016813450760608584,0.0,98467.41587063926
2021-02-23,159825,-0.023178807947019875,39.386966348255704,96145.67158278612
2021-02-24,159825,-0.01610169491525415,0.0,94597.56331153787
2021-02-25,501018,0.021428571428571352,37.83902532461515,96586.81492860334
2021-02-26,501018,-0.006993006993006978,0.0,95911.38265637535
2021-03-01,159980,-0.00987091875474555,38.364553062550144,94926.28463745641
2021-03-02,159980,-0.014570552147239346,0.0,93543.15625700267
2021-03-03,513030,0.007929515418502175,37.41726250280107,94247.49089433513
2021-03-04,513030,-0.00874125874125875,0.0,93423.64919071332
2021-03-05,511880,0.00022880791078483398,37.36945967628533,93407.65580102625
2021-03-08,511880,5.9675366008926645e-05,0.0,93413.22993707421
2021-03-09,511880,9.945300845304317e-06,0.0,93414.15895974886
2021-03-10,511880,9.945201937333614e-05,0.0,93423.44918649548
2021-03-11,501018,0.024725274725274637,37.36937967459819,95696.00025373972
2021-03-12,501018,0.008042895442359255,0.0,96465.67317803254
2021-03-15,501018,0.010638297872340496,0.0,97491.9037437563
2021-03-16,501018,-0.015789473684210575,0.0,95952.55789517067
2021-03-17,501018,0.005347593582887722,0.0,96465.67317803255
2021-03-18,501018,-0.0066489361702127825,0.0,95824.2790744552
2021-03-19,501018,-0.06559571619812588,0.0,89538.61685939723
2021-03-22,515210,0.00671591672263272,35.81544674375889,90104.1353069409
2021-03-23,159980,0.003142183817753441,36.04165412277636,90351.21740869226
2021-03-24,511880,5.9621404083998186e-05,36.1404869634769,90320.4637881714
2021-03-25,511880,1.9872616527916165e-05,0.0,90322.25869211288
2021-03-26,511880,7.948888645992191e-05,0.0,90329.43830787887
2021-03-29,513030,0.004237288135593209,36.13177532315155,90676.05838979248
2021-03-30,513030,0.005907172995780474,0.0,91211.69755327648
2021-03-31,513030,0.008389261744966348,0.0,91976.89635825362
2021-04-01,513030,0.004991680532445919,0.0,92436.01564123991
2021-04-02,513030,0.005794701986755024,0.0,92971.65480472392
2021-04-06,513030,0.012345679012345512,0.0,94119.45301218962
2021-04-07,513030,-0.001626016260162566,0.0,93966.4132511942
2021-04-08,513090,0.0015797788309637184,37.58656530047768,94077.27283636955
2021-04-09,513090,-0.007886435331230346,0.0,93335.33850800701
2021-04-12,513090,-0.013513513513513487,0.0,92074.05014979071
2021-04-13,513030,-0.01825396825396819,36.82962005991629,90356.50374128224
2021-04-14,513520,0.0,36.142601496512896,90320.36113978573
2021-04-15,513030,-0.0032206119162641045,36.128144455914295,89993.34616396175
2021-04-16,513030,0.003231017770597644,0.0,90284.11626465306
2021-04-19,513030,0.010466988727858118,0.0,91229.11909189982
2021-04-20,513030,-0.007171314741035828,0.0,90574.88636534437
2021-04-21,159837,0.01857923497267766,36.22995454613775,92221.46850720354
2021-04-22,515210,0.022034996759559222,36.88858740288141,94216.67967951868
2021-04-23,515210,0.01775523145212432,0.0,95889.5186338792
2021-04-26,515210,-0.011838006230529552,0.0,94754.37791484885
2021-04-27,515210,-0.006305170239596425,0.0,94156.93543114868
2021-04-28,159967,0.02481751824817513,37.66277417245947,96456.01412023099
2021-04-29,159967,0.0,0.0,96456.01412023099
2021-04-30,159967,0.015669515669515688,0.0,97967.43314490697
2021-05-06,159967,-0.030855539971949564,0.0,94944.59509555499
2021-05-07,159949,-0.036209553158705776,37.977838038221996,91468.71589427248
2021-05-10,159980,0.030626780626780814,36.58748635770899,94233.520703822
2021-05-11,159980,-0.02349689011748446,0.0,92019.32602246059
2021-05-12,161226,0.005476451259583737,36.80773040898424,92486.45764595336
2021-05-13,159980,-0.020393811533051975,36.994583058381345,90563.31167630381
2021-05-14,159980,-0.012921751615218913,0.0,89393.07505737097
2021-05-17,161226,0.022050716648291058,35.75723002294839,91328.49919575751
2021-05-18,159992,-0.01571338780641096,36.531399678303,89856.88767043878
2021-05-19,159837,-0.0019286403085824189,35.942755068175515,89647.64329980564
2021-05-20,159837,0.0019323671497584183,0.0,89820.87546077145
2021-05-21,515120,-0.018119068162208873,35.928350184308584,88157.47654572416
2021-05-24,515120,-0.008787346221441172,0.0,87382.80627730831
2021-05-25,515120,0.025709219858156107,0.0,89629.35005571428
2021-05-26,515120,-0.0017286084701815252,0.0,89474.41600203111
2021-05-27,159967,0.00952380952380949,35.78976640081245,90290.76353088772
2021-05-28,159967,0.0,0.0,90290.76353088772
2021-05-31,515170,0.0010050251256281673,36.11630541235509,90345.39171143605
2021-06-01,515030,-0.008985200845665897,36.138156684574426,89497.48206474386
2021-06-02,515030,-0.0074666666666666215,0.0,88829.23419866044
2021-06-03,515030,-0.004298764105319708,0.0,88447.37827518421
2021-06-04,515170,0.012072434607645954,35.37895131007369,89479.77451431901
2021-06-07,501018,-0.0025510204081632404,35.791909805727606,89215.7178736094
2021-06-08,515170,-0.04162537165510405,35.686287149443764,85466.39417249407
2021-06-09,501018,0.023076923076922995,34.18655766899763,87404.5090188057
2021-06-10,501018,-0.00877192982456143,0.0,86637.80279934248
2021-06-11,501018,0.005056890012642201,0.0,87075.92063903574
2021-06-15,159995,0.014242878560719596,34.830368255614296,88281.30203400477
2021-06-16,501018,0.018656716417910335,35.31252081360191,89893.02873024347
2021-06-17,513030,-0.01031746031746028,35.95721149209739,88929.60376201077
2021-06-18,501018,-0.01835985312117494,35.57184150480431,87261.29745731116
2021-06-21,513520,-0.0248397435897435,34.904518982924465,85058.8446841803
2021-06-22,501018,0.014723926380368013,34.02353787367212,86277.22131343566
2021-06-23,501018,0.006045949214026569,0.0,86798.84901182402
2021-06-24,501018,0.0012019230769231282,0.0,86903.1745515017
2021-06-25,516110,-0.003314001657000798,34.76126982060068,86580.41601721878
2021-06-28,516110,0.013300083125519446,0.0,87731.94274728985
2021-06-29,516110,-0.01968826907301069,0.0,86004.65265218324
2021-06-30,516110,0.0008368200836819106,0.0,86076.62307281267
2021-07-01,515790,-0.03325942350332589,34.430649229125066,83179.33356306872
2021-07-02,159885,-0.01720269259536278,33.27173342522749,81715.15332407088
2021-07-05,159885,0.011415525114155223,0.0,82647.97470904885
2021-07-06,501018,0.016470588235294237,33.059189883619545,83976.176279079
2021-07-07,501018,-0.01851851851851849,0.0,82421.0619035405
2021-07-08,501018,-0.034198113207547176,0.0,79602.41709787697
2021-07-09,511880,0.00012840140253822518,31.840966839150788,79580.79719303861
2021-07-12,159985,0.0007782101167315147,31.832318877215446,79610.89545563457
2021-07-13,159980,0.0036737692872887973,31.84435818225383,79871.5231601108
2021-07-14,516960,-0.019071310116086204,31.948609264044318,78316.31996321611
2021-07-15,516960,0.030431107354184306,0.0,80699.5723036014
2021-07-16,516960,-0.033634126333059955,0.0,77985.31269371817
2021-07-19,159870,-0.014018691588785215,31.194125077487268,76860.86652153247
2021-07-20,159985,-0.003007518796992459,30.74434660861299,76598.96167410722
2021-07-21,518880,-0.003774602318684317,30.63958466964289,76279.19147109368
2021-07-22,159985,-0.014426727410781992,30.511676588437474,75148.22069203694
2021-07-23,159885,0.0,30.059288276814776,75118.16140376012
2021-07-26,159885,-0.016118200134318417,0.0,73907.39184453229
2021-07-27,159980,0.0042613636363635354,29.562956737812918,74192.77515985923
2021-07-28,159980,-0.0021216407355020284,0.0,74035.36474580014
2021-07-29,159980,0.00425230333097093,0.0,74350.18557391835
2021-07-30,159980,0.004234297812279575,0.0,74665.00640203657
2021-08-02,159980,-0.0014054813773717312,0.0,74560.06612599717
2021-08-03,159980,-0.018296973961998586,0.0,73195.8425374849
2021-08-04,512660,0.027977617905675656,29.278337014993962,75214.40951526766
2021-08-05,512660,0.03499222395023316,0.0,77846.32897731045
2021-08-06,512660,0.00826446280991755,0.0,78489.68706803204
2021-08-09,512660,-0.006706408345752646,0.0,77963.30317562349
