date,time,value,weak,pool,target
2020-07-13,15:30:00,1181360.25,False,44,512890
2020-07-14,15:30:00,1171903.82,False,44,510880
2020-07-15,15:30:00,1154891.82,False,44,510880
2020-07-16,15:30:00,1124270.22,False,44,510880
2020-07-17,15:30:00,1127381.86,True,9,161226
2020-07-20,15:30:00,1140370.86,True,9,161226
2020-07-21,15:30:00,1198821.36,True,9,161226
2020-07-22,15:30:00,1315714.05,True,9,161226
2020-07-23,15:30:00,1296786.79,False,44,513090
2020-07-24,15:30:00,1243358.43,False,44,161226
2020-07-27,15:30:00,1315939.86,True,9,513030
2020-07-28,15:30:00,1324295.06,True,9,513030
2020-07-29,15:30:00,1318063.03,True,9,159980
2020-07-30,15:30:00,1317101.56,False,44,512010
2020-07-31,15:30:00,1334821.56,False,43,512010
2020-08-03,15:30:00,1368489.56,False,44,512010
2020-08-04,15:30:00,1355642.56,False,44,512010
2020-08-05,15:30:00,1376906.56,False,44,512010
2020-08-06,15:30:00,1343238.56,False,44,512010
2020-08-07,15:30:00,1294419.25,False,43,518880
2020-08-10,15:30:00,1284749.41,False,43,159992
2020-08-11,15:30:00,1266324.17,False,43,159992
2020-08-12,15:30:00,1214569.09,True,9,513500
2020-08-13,15:30:00,1228421.59,True,9,513500
2020-08-14,15:30:00,1228421.59,True,9,513500
2020-08-17,15:30:00,1228421.59,True,9,513500
2020-08-18,15:30:00,1226759.29,False,44,513500
2020-08-19,15:30:00,1224030.4,False,44,512890
2020-08-20,15:30:00,1213775.85,True,9,513100
2020-08-21,15:30:00,1230428.94,True,9,513100
2020-08-24,15:30:00,1273534.91,True,9,513100
2020-08-25,15:30:00,1331374.91,False,44,513100
2020-08-26,15:30:00,1305925.31,False,44,513100
2020-08-27,15:30:00,1362030.11,True,9,513100
2020-08-28,15:30:00,1403514.44,True,9,513500
2020-08-31,15:30:00,1407475.52,False,44,512690
2020-09-01,15:30:00,1375419.78,False,44,159928
2020-09-02,15:30:00,1379652.82,False,44,512690
2020-09-03,15:30:00,1402200.0,False,44,512690
2020-09-04,15:30:00,1347390.91,False,44,159980
2020-09-07,15:30:00,1356136.71,True,9,159980
2020-09-08,15:30:00,1359884.91,True,9,159980
2020-09-09,15:30:00,1340705.36,True,9,159985
2020-09-10,15:30:00,1349708.76,True,9,159985
2020-09-11,15:30:00,1378005.16,True,9,159985
2020-09-14,15:30:00,1401156.76,True,9,159985
2020-09-15,15:30:00,1411389.63,True,9,513100
2020-09-16,15:30:00,1408755.33,True,9,513100
2020-09-17,15:30:00,1365712.99,True,9,159985
2020-09-18,15:30:00,1406388.19,True,9,159985
2020-09-21,15:30:00,1393677.19,False,45,159985
2020-09-22,15:30:00,1377152.89,False,45,159985
2020-09-23,15:30:00,1370797.39,True,9,159985
2020-09-24,15:30:00,1372068.49,False,44,159985
2020-09-25,15:30:00,1366670.06,True,9,511880
2020-09-28,15:30:00,1373096.6,True,9,513520
2020-09-29,15:30:00,1375133.31,True,9,513520
2020-09-30,15:30:00,1360367.31,True,9,513520
2020-10-09,15:30:00,1365058.15,True,9,159985
2020-10-12,15:30:00,1370985.75,False,46,159985
2020-10-13,15:30:00,1352444.05,False,45,159985
2020-10-14,15:30:00,1350053.65,False,46,159985
2020-10-15,15:30:00,1345394.31,False,46,515030
2020-10-16,15:30:00,1312169.31,False,46,515030
2020-10-19,15:30:00,1299986.81,False,46,515030
2020-10-20,15:30:00,1346501.81,False,46,515030
2020-10-21,15:30:00,1316599.31,False,46,515030
2020-10-22,15:30:00,1310323.13,True,9,159985
2020-10-23,15:30:00,1294337.93,True,9,159985
2020-10-26,15:30:00,1303472.33,True,9,159985
2020-10-27,15:30:00,1299036.69,True,9,513520
2020-10-28,15:30:00,1307819.1,True,9,159980
2020-10-29,15:30:00,1296308.02,True,9,511880
2020-10-30,15:30:00,1260669.64,False,45,515030
2020-11-02,15:30:00,1297875.11,True,9,511880
2020-11-03,15:30:00,1300903.55,True,9,159980
2020-11-04,15:30:00,1314429.53,False,45,515030
2020-11-05,15:30:00,1370880.72,False,45,512690
2020-11-06,15:30:00,1353502.69,False,45,512690
2020-11-09,15:30:00,1378614.79,False,45,512690
2020-11-10,15:30:00,1414029.29,False,45,512690
2020-11-11,15:30:00,1414673.19,False,45,512690
2020-11-12,15:30:00,1429872.19,True,9,513520
2020-11-13,15:30:00,1423820.13,True,9,513520
2020-11-16,15:30:00,1456490.13,True,9,513520
2020-11-17,15:30:00,1454070.13,True,9,513520
2020-11-18,15:30:00,1435920.13,True,9,513520
2020-11-19,15:30:00,1438340.13,True,9,513520
2020-11-20,15:30:00,1434710.13,True,9,513520
2020-11-23,15:30:00,1451343.61,False,47,512690
2020-11-24,15:30:00,1454527.61,False,47,512690
2020-11-25,15:30:00,1386454.45,False,47,515220
2020-11-26,15:30:00,1389477.92,True,9,513520
2020-11-27,15:30:00,1396156.22,True,9,513520
2020-11-30,15:30:00,1396156.22,True,9,513520
2020-12-01,15:30:00,1413046.22,True,9,513520
2020-12-02,15:30:00,1411072.81,False,46,515220
2020-12-03,15:30:00,1386405.84,False,46,515220
2020-12-04,15:30:00,1372713.91,False,46,513520
2020-12-07,15:30:00,1369448.6,False,46,513520
2020-12-08,15:30:00,1361310.71,False,46,159981
2020-12-09,15:30:00,1378838.17,False,46,159981
2020-12-10,15:30:00,1407699.05,True,9,159980
2020-12-11,15:30:00,1419807.05,True,9,159980
2020-12-14,15:30:00,1430504.33,True,9,501018
2020-12-15,15:30:00,1418610.31,True,9,159980
2020-12-16,15:30:00,1424643.81,True,9,159980
2020-12-17,15:30:00,1440330.91,True,9,159980
2020-12-18,15:30:00,1457224.71,True,9,159980
