date,weak,pool,passed,target,top,top_raw
2021-07-21,True,9,1,159985,"[{'code': '159985', 'score': 1.0389, 'annualized': 1.4082, 'r2': 0.7378, 'price': 1.315, 'today_volume': 0.0}]",159985.XSHE:1.0389:1.4082:0.7378:1.3150:0
2021-08-31,False,69,19,516150,"[{'code': '516150', 'score': 2.429, 'annualized': 4.0551, 'r2': 0.599, 'price': 1.627, 'today_volume': 0.0}, {'code': '512400', 'score': 2.2635, 'annualized': 3.6485, 'r2': 0.6204, 'price': 1.63, 'today_volume': 0.0}, {'code': '515790', 'score': 2.2473, 'annualized': 4.1181, 'r2': 0.5457, 'price': 1.858, 'today_volume': 0.0}, {'code': '510880', 'score': 1.7747, 'annualized': 2.055, 'r2': 0.8636, 'price': 3.078, 'today_volume': 0.0}, {'code': '512670', 'score': 1.7579, 'annualized': 2.7174, 'r2': 0.6469, 'price': 1.149, 'today_volume': 0.0}, {'code': '512660', 'score': 1.5002, 'annualized': 2.3062, 'r2': 0.6505, 'price': 1.388, 'today_volume': 0.0}, {'code': '512890', 'score': 1.4826, 'annualized': 1.7003, 'r2': 0.8719, 'price': 1.558, 'today_volume': 0.0}, {'code': '159766', 'score': 1.0206, 'annualized': 1.5229, 'r2': 0.6702, 'price': 0.917, 'today_volume': 0.0}, {'code': '512880', 'score': 0.8836, 'annualized': 1.352, 'r2': 0.6536, 'price': 1.104, 'today_volume': 0.0}, {'code': '512710', 'score': 0.8529, 'annualized': 1.56, 'r2': 0.5467, 'price': 0.991, 'today_volume': 0.0}]",516150.XSHG:2.4290:4.0551:0.5990:1.6270:0|512400.XSHG:2.2635:3.6485:0.6204:1.6300:0|515790.XSHG:2.2473:4.1181:0.5457:1.8580:0|510880.XSHG:1.7747:2.0550:0.8636:3.0780:0|512670.XSHG:1.7579:2.7174:0.6469:1.1490:0|512660.XSHG:1.5002:2.3062:0.6505:1.3880:0|512890.XSHG:1.4826:1.7003:0.8719:1.5580:0|159766.XSHE:1.0206:1.5229:0.6702:0.9170:0|512880.XSHG:0.8836:1.3520:0.6536:1.1040:0|512710.XSHG:0.8529:1.5600:0.5467:0.9910:0
2021-09-10,False,69,18,516150,"[{'code': '516150', 'score': 4.982, 'annualized': 6.7001, 'r2': 0.7436, 'price': 1.698, 'today_volume': 0.0}, {'code': '512890', 'score': 4.825, 'annualized': 5.5205, 'r2': 0.874, 'price': 1.733, 'today_volume': 0.0}, {'code': '159766', 'score': 3.8612, 'annualized': 4.1321, 'r2': 0.9344, 'price': 1.012, 'today_volume': 0.0}, {'code': '512880', 'score': 3.2298, 'annualized': 3.9311, 'r2': 0.8216, 'price': 1.254, 'today_volume': 0.0}, {'code': '512400', 'score': 2.7499, 'annualized': 3.8962, 'r2': 0.7058, 'price': 1.664, 'today_volume': 0.0}, {'code': '513090', 'score': 1.7348, 'annualized': 2.3125, 'r2': 0.7502, 'price': 1.399, 'today_volume': 0.0}, {'code': '510500', 'score': 1.3325, 'annualized': 1.6967, 'r2': 0.7854, 'price': 8.553, 'today_volume': 0.0}, {'code': '159981', 'score': 1.2251, 'annualized': 1.6873, 'r2': 0.7261, 'price': 1.447, 'today_volume': 0.0}, {'code': '513520', 'score': 1.0993, 'annualized': 1.7145, 'r2': 0.6412, 'price': 1.305, 'today_volume': 0.0}, {'code': '512980', 'score': 0.9874, 'annualized': 1.7291, 'r2': 0.571, 'price': 0.739, 'today_volume': 0.0}]",516150.XSHG:4.9820:6.7001:0.7436:1.6980:0|512890.XSHG:4.8250:5.5205:0.8740:1.7330:0|159766.XSHE:3.8612:4.1321:0.9344:1.0120:0|512880.XSHG:3.2298:3.9311:0.8216:1.2540:0|512400.XSHG:2.7499:3.8962:0.7058:1.6640:0|513090.XSHG:1.7348:2.3125:0.7502:1.3990:0|510500.XSHG:1.3325:1.6967:0.7854:8.5530:0|159981.XSHE:1.2251:1.6873:0.7261:1.4470:0|513520.XSHG:1.0993:1.7145:0.6412:1.3050:0|512980.XSHG:0.9874:1.7291:0.5710:0.7390:0
2021-11-30,False,72,29,516150,"[{'code': '516150', 'score': 3.3315, 'annualized': 5.4582, 'r2': 0.6104, 'price': 1.666, 'today_volume': 0.0}, {'code': '516520', 'score': 2.2729, 'annualized': 2.4696, 'r2': 0.9204, 'price': 1.237, 'today_volume': 0.0}, {'code': '515880', 'score': 2.12, 'annualized': 2.452, 'r2': 0.8646, 'price': 1.108, 'today_volume': 0.0}, {'code': '512670', 'score': 2.0207, 'annualized': 2.5863, 'r2': 0.7813, 'price': 1.227, 'today_volume': 0.0}, {'code': '562800', 'score': 1.7258, 'annualized': 3.5803, 'r2': 0.482, 'price': 1.007, 'today_volume': 0.0}, {'code': '512660', 'score': 1.6034, 'annualized': 2.0934, 'r2': 0.7659, 'price': 1.485, 'today_volume': 0.0}, {'code': '512100', 'score': 1.5905, 'annualized': 1.7821, 'r2': 0.8925, 'price': 1.174, 'today_volume': 0.0}, {'code': '159732', 'score': 1.2273, 'annualized': 1.459, 'r2': 0.8412, 'price': 1.035, 'today_volume': 0.0}, {'code': '515050', 'score': 1.1561, 'annualized': 1.4657, 'r2': 0.7888, 'price': 1.208, 'today_volume': 0.0}, {'code': '159851', 'score': 1.1263, 'annualized': 1.4662, 'r2': 0.7682, 'price': 1.199, 'today_volume': 0.0}]",516150.XSHG:3.3315:5.4582:0.6104:1.6660:0|516520.XSHG:2.2729:2.4696:0.9204:1.2370:0|515880.XSHG:2.1200:2.4520:0.8646:1.1080:0|512670.XSHG:2.0207:2.5863:0.7813:1.2270:0|562800.XSHG:1.7258:3.5803:0.4820:1.0070:0|512660.XSHG:1.6034:2.0934:0.7659:1.4850:0|512100.XSHG:1.5905:1.7821:0.8925:1.1740:0|159732.XSHE:1.2273:1.4590:0.8412:1.0350:0|515050.XSHG:1.1561:1.4657:0.7888:1.2080:0|159851.XSHE:1.1263:1.4662:0.7682:1.1990:0
2021-12-01,False,72,30,516150,"[{'code': '516150', 'score': 4.4279, 'annualized': 6.2722, 'r2': 0.706, 'price': 1.632, 'today_volume': 0.0}, {'code': '562800', 'score': 2.6308, 'annualized': 4.2578, 'r2': 0.6179, 'price': 0.988, 'today_volume': 0.0}, {'code': '516520', 'score': 1.9672, 'annualized': 2.1955, 'r2': 0.896, 'price': 1.22, 'today_volume': 0.0}, {'code': '515880', 'score': 1.8475, 'annualized': 2.1958, 'r2': 0.8414, 'price': 1.112, 'today_volume': 0.0}, {'code': '512670', 'score': 1.7536, 'annualized': 2.2798, 'r2': 0.7692, 'price': 1.198, 'today_volume': 0.0}, {'code': '512100', 'score': 1.7064, 'annualized': 1.8348, 'r2': 0.93, 'price': 1.166, 'today_volume': 0.0}, {'code': '159851', 'score': 1.4902, 'annualized': 1.7744, 'r2': 0.8399, 'price': 1.199, 'today_volume': 0.0}, {'code': '512660', 'score': 1.3304, 'annualized': 1.7931, 'r2': 0.7419, 'price': 1.452, 'today_volume': 0.0}, {'code': '159732', 'score': 0.9851, 'annualized': 1.2479, 'r2': 0.7894, 'price': 1.029, 'today_volume': 0.0}, {'code': '515050', 'score': 0.8968, 'annualized': 1.2252, 'r2': 0.732, 'price': 1.207, 'today_volume': 0.0}]",516150.XSHG:4.4279:6.2722:0.7060:1.6320:0|562800.XSHG:2.6308:4.2578:0.6179:0.9880:0|516520.XSHG:1.9672:2.1955:0.8960:1.2200:0|515880.XSHG:1.8475:2.1958:0.8414:1.1120:0|512670.XSHG:1.7536:2.2798:0.7692:1.1980:0|512100.XSHG:1.7064:1.8348:0.9300:1.1660:0|159851.XSHE:1.4902:1.7744:0.8399:1.1990:0|512660.XSHG:1.3304:1.7931:0.7419:1.4520:0|159732.XSHE:0.9851:1.2479:0.7894:1.0290:0|515050.XSHG:0.8968:1.2252:0.7320:1.2070:0
2021-12-09,False,72,23,516150,"[{'code': '516150', 'score': 3.6604, 'annualized': 4.8577, 'r2': 0.7535, 'price': 1.619, 'today_volume': 0.0}, {'code': '562800', 'score': 2.2495, 'annualized': 3.2608, 'r2': 0.6899, 'price': 0.966, 'today_volume': 0.0}, {'code': '515210', 'score': 1.8461, 'annualized': 2.1706, 'r2': 0.8505, 'price': 1.737, 'today_volume': 0.0}, {'code': '512690', 'score': 1.6664, 'annualized': 2.2804, 'r2': 0.7308, 'price': 1.409, 'today_volume': 0.0}, {'code': '159851', 'score': 1.4071, 'annualized': 1.6689, 'r2': 0.8431, 'price': 1.21, 'today_volume': 0.0}, {'code': '512400', 'score': 0.7901, 'annualized': 1.2245, 'r2': 0.6453, 'price': 1.447, 'today_volume': 0.0}, {'code': '515220', 'score': 0.7495, 'annualized': 1.7415, 'r2': 0.4304, 'price': 1.987, 'today_volume': 0.0}, {'code': '516520', 'score': 0.7217, 'annualized': 1.0173, 'r2': 0.7094, 'price': 1.243, 'today_volume': 0.0}, {'code': '159732', 'score': 0.6862, 'annualized': 0.9534, 'r2': 0.7197, 'price': 1.084, 'today_volume': 0.0}, {'code': '512200', 'score': 0.5774, 'annualized': 1.0061, 'r2': 0.5739, 'price': 0.795, 'today_volume': 0.0}]",516150.XSHG:3.6604:4.8577:0.7535:1.6190:0|562800.XSHG:2.2495:3.2608:0.6899:0.9660:0|515210.XSHG:1.8461:2.1706:0.8505:1.7370:0|512690.XSHG:1.6664:2.2804:0.7308:1.4090:0|159851.XSHE:1.4071:1.6689:0.8431:1.2100:0|512400.XSHG:0.7901:1.2245:0.6453:1.4470:0|515220.XSHG:0.7495:1.7415:0.4304:1.9870:0|516520.XSHG:0.7217:1.0173:0.7094:1.2430:0|159732.XSHE:0.6862:0.9534:0.7197:1.0840:0|512200.XSHG:0.5774:1.0061:0.5739:0.7950:0
2021-12-10,False,72,24,516150,"[{'code': '516150', 'score': 3.0195, 'annualized': 4.1822, 'r2': 0.722, 'price': 1.625, 'today_volume': 0.0}, {'code': '512690', 'score': 2.1219, 'annualized': 2.6759, 'r2': 0.793, 'price': 1.392, 'today_volume': 0.0}, {'code': '562800', 'score': 1.8819, 'annualized': 2.8522, 'r2': 0.6598, 'price': 0.981, 'today_volume': 0.0}, {'code': '515210', 'score': 1.7942, 'annualized': 2.0928, 'r2': 0.8573, 'price': 1.723, 'today_volume': 0.0}, {'code': '159851', 'score': 1.2505, 'annualized': 1.5034, 'r2': 0.8318, 'price': 1.189, 'today_volume': 0.0}, {'code': '515220', 'score': 1.1883, 'annualized': 2.0158, 'r2': 0.5895, 'price': 1.968, 'today_volume': 0.0}, {'code': '515170', 'score': 0.8732, 'annualized': 1.3543, 'r2': 0.6447, 'price': 0.926, 'today_volume': 0.0}, {'code': '159732', 'score': 0.7776, 'annualized': 1.0577, 'r2': 0.7352, 'price': 1.08, 'today_volume': 0.0}, {'code': '512400', 'score': 0.7169, 'annualized': 1.1407, 'r2': 0.6285, 'price': 1.456, 'today_volume': 0.0}, {'code': '516520', 'score': 0.63, 'annualized': 0.9212, 'r2': 0.6839, 'price': 1.237, 'today_volume': 0.0}]",516150.XSHG:3.0195:4.1822:0.7220:1.6250:0|512690.XSHG:2.1219:2.6759:0.7930:1.3920:0|562800.XSHG:1.8819:2.8522:0.6598:0.9810:0|515210.XSHG:1.7942:2.0928:0.8573:1.7230:0|159851.XSHE:1.2505:1.5034:0.8318:1.1890:0|515220.XSHG:1.1883:2.0158:0.5895:1.9680:0|515170.XSHG:0.8732:1.3543:0.6447:0.9260:0|159732.XSHE:0.7776:1.0577:0.7352:1.0800:0|512400.XSHG:0.7169:1.1407:0.6285:1.4560:0|516520.XSHG:0.6300:0.9212:0.6839:1.2370:0
2022-03-29,True,9,3,513100,"[{'code': '513100', 'score': 0.7007, 'annualized': 1.7337, 'r2': 0.4041, 'price': 0.974, 'today_volume': 0.0}, {'code': '159980', 'score': 0.3885, 'annualized': 1.0175, 'r2': 0.3818, 'price': 1.72, 'today_volume': 0.0}, {'code': '513030', 'score': 0.0047, 'annualized': 0.4967, 'r2': 0.0095, 'price': 1.037, 'today_volume': 0.0}]",513100.XSHG:0.7007:1.7337:0.4041:0.9740:0|159980.XSHE:0.3885:1.0175:0.3818:1.7200:0|513030.XSHG:0.0047:0.4967:0.0095:1.0370:0
2024-11-25,True,17,5,159518,"[{'code': '159518', 'score': 2.5625, 'annualized': 3.2292, 'r2': 0.7936, 'price': 1.051, 'today_volume': 0.0}, {'code': '159529', 'score': 2.2954, 'annualized': 2.7286, 'r2': 0.8413, 'price': 1.305, 'today_volume': 0.0}, {'code': '513500', 'score': 1.0848, 'annualized': 1.4397, 'r2': 0.7535, 'price': 2.169, 'today_volume': 0.0}, {'code': '513400', 'score': 0.6879, 'annualized': 1.0862, 'r2': 0.6333, 'price': 1.171, 'today_volume': 0.0}, {'code': '513100', 'score': 0.4349, 'annualized': 0.7389, 'r2': 0.5887, 'price': 1.534, 'today_volume': 0.0}]",159518.XSHE:2.5625:3.2292:0.7936:1.0510:0|159529.XSHE:2.2954:2.7286:0.8413:1.3050:0|513500.XSHG:1.0848:1.4397:0.7535:2.1690:0|513400.XSHG:0.6879:1.0862:0.6333:1.1710:0|513100.XSHG:0.4349:0.7389:0.5887:1.5340:0
2025-07-22,False,111,86,516150,"[{'code': '516150', 'score': 4.3918, 'annualized': 5.4768, 'r2': 0.8019, 'price': 1.36, 'today_volume': 0.0}, {'code': '515210', 'score': 3.9306, 'annualized': 4.3425, 'r2': 0.9051, 'price': 1.407, 'today_volume': 0.0}, {'code': '562800', 'score': 3.3494, 'annualized': 3.8981, 'r2': 0.8592, 'price': 0.615, 'today_volume': 0.0}, {'code': '515790', 'score': 3.3237, 'annualized': 3.6565, 'r2': 0.909, 'price': 0.743, 'today_volume': 0.0}, {'code': '159949', 'score': 2.9899, 'annualized': 3.1944, 'r2': 0.936, 'price': 1.044, 'today_volume': 0.0}, {'code': '159509', 'score': 2.7419, 'annualized': 2.9037, 'r2': 0.9443, 'price': 1.759, 'today_volume': 0.0}, {'code': '516510', 'score': 2.6727, 'annualized': 3.2596, 'r2': 0.82, 'price': 1.266, 'today_volume': 0.0}, {'code': '560860', 'score': 2.4976, 'annualized': 3.0064, 'r2': 0.8308, 'price': 1.0, 'today_volume': 0.0}, {'code': '515120', 'score': 2.4832, 'annualized': 2.9219, 'r2': 0.8499, 'price': 0.66, 'today_volume': 0.0}, {'code': '159992', 'score': 2.4328, 'annualized': 2.8619, 'r2': 0.8501, 'price': 0.881, 'today_volume': 0.0}]",516150.XSHG:4.3918:5.4768:0.8019:1.3600:0|515210.XSHG:3.9306:4.3425:0.9051:1.4070:0|562800.XSHG:3.3494:3.8981:0.8592:0.6150:0|515790.XSHG:3.3237:3.6565:0.9090:0.7430:0|159949.XSHE:2.9899:3.1944:0.9360:1.0440:0|159509.XSHE:2.7419:2.9037:0.9443:1.7590:0|516510.XSHG:2.6727:3.2596:0.8200:1.2660:0|560860.XSHG:2.4976:3.0064:0.8308:1.0000:0|515120.XSHG:2.4832:2.9219:0.8499:0.6600:0|159992.XSHE:2.4328:2.8619:0.8501:0.8810:0
2025-09-04,False,113,38,516160,"[{'code': '516160', 'score': 4.8895, 'annualized': 5.1061, 'r2': 0.9576, 'price': 2.374, 'today_volume': 0.0}, {'code': '515790', 'score': 4.8425, 'annualized': 5.1055, 'r2': 0.9485, 'price': 0.864, 'today_volume': 0.0}, {'code': '515030', 'score': 4.4418, 'annualized': 4.6599, 'r2': 0.9532, 'price': 1.505, 'today_volume': 0.0}, {'code': '516520', 'score': 3.891, 'annualized': 4.6844, 'r2': 0.8306, 'price': 1.209, 'today_volume': 0.0}, {'code': '512980', 'score': 2.4569, 'annualized': 2.8553, 'r2': 0.8605, 'price': 0.972, 'today_volume': 0.0}, {'code': '512050', 'score': 2.2712, 'annualized': 2.5696, 'r2': 0.8839, 'price': 1.091, 'today_volume': 0.0}, {'code': '159870', 'score': 2.1288, 'annualized': 2.5466, 'r2': 0.836, 'price': 0.662, 'today_volume': 0.0}, {'code': '510500', 'score': 2.0927, 'annualized': 2.4856, 'r2': 0.8419, 'price': 6.831, 'today_volume': 0.0}, {'code': '510300', 'score': 1.94, 'annualized': 2.2029, 'r2': 0.8807, 'price': 4.463, 'today_volume': 0.0}, {'code': '562500', 'score': 1.8101, 'annualized': 2.3063, 'r2': 0.7848, 'price': 0.98, 'today_volume': 0.0}]",516160.XSHG:4.8895:5.1061:0.9576:2.3740:0|515790.XSHG:4.8425:5.1055:0.9485:0.8640:0|515030.XSHG:4.4418:4.6599:0.9532:1.5050:0|516520.XSHG:3.8910:4.6844:0.8306:1.2090:0|512980.XSHG:2.4569:2.8553:0.8605:0.9720:0|512050.XSHG:2.2712:2.5696:0.8839:1.0910:0|159870.XSHE:2.1288:2.5466:0.8360:0.6620:0|510500.XSHG:2.0927:2.4856:0.8419:6.8310:0|510300.XSHG:1.9400:2.2029:0.8807:4.4630:0|562500.XSHG:1.8101:2.3063:0.7848:0.9800:0
2025-09-09,False,113,46,516150,"[{'code': '516150', 'score': 4.9237, 'annualized': 6.871, 'r2': 0.7166, 'price': 1.691, 'today_volume': 0.0}, {'code': '562800', 'score': 4.6751, 'annualized': 5.5655, 'r2': 0.84, 'price': 0.762, 'today_volume': 0.0}, {'code': '512480', 'score': 4.0629, 'annualized': 6.6052, 'r2': 0.6151, 'price': 1.259, 'today_volume': 0.0}, {'code': '159732', 'score': 3.9763, 'annualized': 5.1962, 'r2': 0.7652, 'price': 1.015, 'today_volume': 0.0}, {'code': '159967', 'score': 3.8535, 'annualized': 4.7992, 'r2': 0.8029, 'price': 0.566, 'today_volume': 0.0}, {'code': '516510', 'score': 3.3042, 'annualized': 5.3389, 'r2': 0.6189, 'price': 1.506, 'today_volume': 0.0}, {'code': '159870', 'score': 2.3995, 'annualized': 2.812, 'r2': 0.8533, 'price': 0.706, 'today_volume': 0.0}, {'code': '588220', 'score': 2.3791, 'annualized': 3.2305, 'r2': 0.7364, 'price': 1.277, 'today_volume': 0.0}, {'code': '516520', 'score': 2.3071, 'annualized': 3.1167, 'r2': 0.7402, 'price': 1.259, 'today_volume': 0.0}, {'code': '159667', 'score': 2.2732, 'annualized': 2.8982, 'r2': 0.7843, 'price': 1.427, 'today_volume': 0.0}]",516150.XSHG:4.9237:6.8710:0.7166:1.6910:0|562800.XSHG:4.6751:5.5655:0.8400:0.7620:0|512480.XSHG:4.0629:6.6052:0.6151:1.2590:0|159732.XSHE:3.9763:5.1962:0.7652:1.0150:0|159967.XSHE:3.8535:4.7992:0.8029:0.5660:0|516510.XSHG:3.3042:5.3389:0.6189:1.5060:0|159870.XSHE:2.3995:2.8120:0.8533:0.7060:0|588220.XSHG:2.3791:3.2305:0.7364:1.2770:0|516520.XSHG:2.3071:3.1167:0.7402:1.2590:0|159667.XSHE:2.2732:2.8982:0.7843:1.4270:0
2025-11-14,False,114,32,516160,"[{'code': '516160', 'score': 2.9452, 'annualized': 3.77, 'r2': 0.7812, 'price': 3.096, 'today_volume': 0.0}, {'code': '159766', 'score': 2.9445, 'annualized': 3.4986, 'r2': 0.8416, 'price': 0.801, 'today_volume': 0.0}, {'code': '159326', 'score': 2.5051, 'annualized': 3.5758, 'r2': 0.7006, 'price': 1.504, 'today_volume': 0.0}, {'code': '513310', 'score': 2.0516, 'annualized': 3.1589, 'r2': 0.6495, 'price': 2.595, 'today_volume': 0.0}, {'code': '513290', 'score': 1.884, 'annualized': 2.1805, 'r2': 0.864, 'price': 1.475, 'today_volume': 0.0}, {'code': '159566', 'score': 1.6194, 'annualized': 2.3318, 'r2': 0.6945, 'price': 2.216, 'today_volume': 0.0}, {'code': '159870', 'score': 1.5716, 'annualized': 2.6416, 'r2': 0.595, 'price': 0.784, 'today_volume': 0.0}, {'code': '513190', 'score': 1.5454, 'annualized': 1.7516, 'r2': 0.8823, 'price': 1.845, 'today_volume': 0.0}, {'code': '561360', 'score': 1.3303, 'annualized': 1.512, 'r2': 0.8798, 'price': 1.213, 'today_volume': 0.0}, {'code': '513920', 'score': 1.1638, 'annualized': 1.2933, 'r2': 0.8998, 'price': 1.713, 'today_volume': 0.0}]",516160.XSHG:2.9452:3.7700:0.7812:3.0960:0|159766.XSHE:2.9445:3.4986:0.8416:0.8010:0|159326.XSHE:2.5051:3.5758:0.7006:1.5040:0|513310.XSHG:2.0516:3.1589:0.6495:2.5950:0|513290.XSHG:1.8840:2.1805:0.8640:1.4750:0|159566.XSHE:1.6194:2.3318:0.6945:2.2160:0|159870.XSHE:1.5716:2.6416:0.5950:0.7840:0|513190.XSHG:1.5454:1.7516:0.8823:1.8450:0|561360.XSHG:1.3303:1.5120:0.8798:1.2130:0|513920.XSHG:1.1638:1.2933:0.8998:1.7130:0
2026-07-02,False,114,10,159667,"[{'code': '159667', 'score': 4.9832, 'annualized': 6.3388, 'r2': 0.7862, 'price': 0.9, 'today_volume': 0.0}, {'code': '513290', 'score': 3.0654, 'annualized': 4.5367, 'r2': 0.6757, 'price': 1.644, 'today_volume': 0.0}, {'code': '512880', 'score': 2.8015, 'annualized': 3.7138, 'r2': 0.7543, 'price': 1.155, 'today_volume': 0.0}, {'code': '513520', 'score': 1.5339, 'annualized': 2.4893, 'r2': 0.6162, 'price': 2.427, 'today_volume': 0.0}, {'code': '510500', 'score': 1.2811, 'annualized': 2.1016, 'r2': 0.6096, 'price': 9.01, 'today_volume': 0.0}, {'code': '562800', 'score': 1.233, 'annualized': 2.4821, 'r2': 0.4968, 'price': 1.155, 'today_volume': 0.0}, {'code': '159870', 'score': 0.9209, 'annualized': 1.606, 'r2': 0.5734, 'price': 0.891, 'today_volume': 0.0}, {'code': '512070', 'score': 0.7621, 'annualized': 1.2186, 'r2': 0.6253, 'price': 0.807, 'today_volume': 0.0}, {'code': '512100', 'score': 0.6026, 'annualized': 1.1598, 'r2': 0.5195, 'price': 3.563, 'today_volume': 0.0}, {'code': '513400', 'score': 0.2303, 'annualized': 0.4613, 'r2': 0.4992, 'price': 1.301, 'today_volume': 0.0}]",159667.XSHE:4.9832:6.3388:0.7862:0.9000:0|513290.XSHG:3.0654:4.5367:0.6757:1.6440:0|512880.XSHG:2.8015:3.7138:0.7543:1.1550:0|513520.XSHG:1.5339:2.4893:0.6162:2.4270:0|510500.XSHG:1.2811:2.1016:0.6096:9.0100:0|562800.XSHG:1.2330:2.4821:0.4968:1.1550:0|159870.XSHE:0.9209:1.6060:0.5734:0.8910:0|512070.XSHG:0.7621:1.2186:0.6253:0.8070:0|512100.XSHG:0.6026:1.1598:0.5195:3.5630:0|513400.XSHG:0.2303:0.4613:0.4992:1.3010:0
