thr_bin,days,target_match,top10_overlap
"(-0.001, 0.25]",62,0.5483870967741935,5.870967741935484
"(0.25, 0.35]",489,0.5685071574642127,4.613496932515337
"(0.35, 0.45]",542,0.5885608856088561,4.380073800738008
"(0.45, 0.6]",481,0.6112266112266113,4.488565488565489
"(0.6, 1.5]",0,,
