date,value4,target4,weak4,pool4,top10_4,value5,target5,weak5,pool5,top10_5,target_match,value_ratio_5_to_4,ret4,ret5,ret_gap
2020-01-16,1044902.14,512400.SH,False,34,"512400.SH:3.9388,512980.SH:3.8521,512480.SH:2.5640,512100.SH:1.9152,159949.SZ:1.8727,159915.SZ:1.8727,513100.SH:1.7113,510500.SH:1.4682,159928.SZ:1.1784,515050.SH:1.0363",1009478.16,512400.SH,False,34,"512400.SH:3.9105,512980.SH:3.6600,512480.SH:2.6391,159949.SZ:1.9184,159915.SZ:1.9014,512100.SH:1.9006,513100.SH:1.7625,510500.SH:1.4747,159928.SZ:1.1914,515050.SH:1.0363",True,0.9660982797872344,-0.0053362188963302915,-0.005269868092481977,6.635080384831404e-05
2020-01-17,1037943.2,512480.SH,False,34,"512480.SH:3.3635,512400.SH:3.0483,512980.SH:3.0367,513100.SH:2.0676,159915.SZ:1.8708,159949.SZ:1.8288,512100.SH:1.7131,510500.SH:1.3125,515050.SH:1.2072,159967.SZ:1.1450",1006006.97,512480.SH,False,34,"512480.SH:3.2340,512400.SH:2.9543,512980.SH:2.9438,513100.SH:2.0291,159915.SZ:1.8316,159949.SZ:1.7994,512100.SH:1.6284,510500.SH:1.2341,159967.SZ:1.1832,515050.SH:1.1731",True,0.969231235389374,-0.006659896399484944,-0.0034385984140559156,0.003221297985429028
2020-01-20,1046991.5,512980.SH,False,34,"512980.SH:2.3934,512400.SH:2.2465,513100.SH:2.0343,159915.SZ:2.0161,159949.SZ:1.9764,159967.SZ:1.6227,512100.SH:1.5658,515880.SH:1.2366,510500.SH:1.2108,512690.SH:1.1382",1010726.84,512980.SH,False,34,"512980.SH:2.4758,512400.SH:2.3866,159915.SZ:2.2601,159949.SZ:2.2446,513100.SH:1.8741,515050.SH:1.8339,159967.SZ:1.7994,512100.SH:1.7205,515880.SH:1.4743,510500.SH:1.3493",True,0.9653629852773399,0.008717529051686101,0.004691687175885084,-0.004025841875801017
2020-01-21,1027498.49,159915.SZ,False,34,"159915.SZ:2.3648,159967.SZ:2.3293,159949.SZ:2.3039,515050.SH:2.2399,513100.SH:1.7913,515880.SH:1.6670,512170.SH:1.6226,512100.SH:1.5878,512400.SH:1.5060,510500.SH:1.2092",1004941.99,159967.SZ,False,34,"159967.SZ:2.3148,159915.SZ:2.3101,515050.SH:2.2590,159949.SZ:2.2271,513100.SH:1.6833,515880.SH:1.6081,512170.SH:1.6015,512100.SH:1.4794,512400.SH:1.2834,510500.SH:1.1325",False,0.9780471696848917,-0.0186181167659909,-0.005723455409574307,0.012894661356416592
2020-01-22,1041615.36,159915.SZ,False,35,"159915.SZ:2.4616,159949.SZ:2.4231,512170.SH:2.0629,515880.SH:1.8453,513100.SH:1.7051,512100.SH:1.3653,512010.SH:1.3175,510500.SH:1.0431,512670.SH:1.0274,512980.SH:1.0043",1023612.05,159949.SZ,False,35,"159949.SZ:2.7761,159915.SZ:2.7503,515880.SH:2.1643,512170.SH:1.9701,513100.SH:1.8174,512100.SH:1.4937,512010.SH:1.2469,512980.SH:1.2317,510500.SH:1.1916,512670.SH:1.1139",False,0.9827159710855263,0.013739066419455215,0.018578246491620876,0.004839180072165661
2020-01-23,1000988.19,512170.SH,False,35,"512170.SH:2.0165,513100.SH:1.7103,512010.SH:1.0962,512670.SH:0.8763,512660.SH:0.6627,512980.SH:0.6293,512710.SH:0.2654,513500.SH:0.1218",1033135.18,513100.SH,False,35,"513100.SH:1.9589,512170.SH:1.7466,512010.SH:0.8768,512670.SH:0.7186,512660.SH:0.6240,512980.SH:0.5599,513500.SH:0.1306",False,1.032115254027123,-0.03900400431883033,0.009303456324102566,0.0483074606429329
2020-02-03,1001256.78,518880.SH,True,9,518880.SH:0.1728,982766.22,518880.SH,True,9,518880.SH:0.1756,True,0.9815326493968909,0.00026832484407246504,-0.04875350387352029,-0.04902182871759275
2020-02-04,993293.58,518880.SH,True,9,518880.SH:0.1693,974951.42,518880.SH,True,9,518880.SH:0.1558,True,0.9815339992432047,-0.00795320457155868,-0.0079518402657347,1.3643058239809491e-06
2020-02-05,1000715.6,513100.SH,True,9,"513100.SH:1.4225,518880.SH:0.1103,513500.SH:0.0391",984757.51,513100.SH,True,9,"513100.SH:1.5561,518880.SH:0.1177,513500.SH:0.0326",True,0.9840533214431753,0.007472131250460645,0.010058029352888243,0.0025858981024275973
2020-02-06,1032109.2,513100.SH,True,9,"513100.SH:1.9015,513500.SH:0.0909,518880.SH:0.0771",1015647.11,513100.SH,True,9,"513100.SH:2.1303,513500.SH:0.0971,518880.SH:0.0778",True,0.9840500501303544,0.03137115080448427,0.031367722191831815,-3.4286126524563088e-06
2020-02-07,1039677.3,513100.SH,True,9,"513100.SH:2.5378,513500.SH:0.1251,518880.SH:0.0857",1023093.71,513100.SH,True,9,"513100.SH:2.5535,513500.SH:0.1335,518880.SH:0.0788",True,0.984049291063679,0.007332654335413524,0.007331877309235901,-7.770261776229859e-07
2020-02-10,1046124.2,513100.SH,True,9,"513100.SH:2.6747,513500.SH:0.1622,518880.SH:0.0913",1029437.11,513100.SH,True,9,"513100.SH:3.0068,513500.SH:0.1822,518880.SH:0.0820",True,0.9840486531140376,0.006200866364976854,0.006200214054683295,-6.523102935585001e-07
2020-02-11,1085085.9,513100.SH,True,8,"513100.SH:4.1536,513500.SH:0.2802,518880.SH:0.0698",1067773.31,513100.SH,True,8,"513100.SH:4.2561,513500.SH:0.3060,518880.SH:0.0648",True,0.9840449590212168,0.03724385689576826,0.03723996310954836,-3.893786219899553e-06
2020-02-12,1096814.39,512170.SH,False,35,"512170.SH:3.0431,159967.SZ:0.8127,513500.SH:0.4344",1091632.31,512170.SH,False,35,"512170.SH:3.2990,159949.SZ:2.1175,159915.SZ:1.1524,159967.SZ:1.0130,513500.SH:0.4820",True,0.9952753355105053,0.010808812463603212,0.022344630434712798,0.011535817971109585
2020-02-13,1093055.89,512170.SH,False,37,"512170.SH:3.4370,159949.SZ:2.2010,159915.SZ:1.1748,159967.SZ:1.0266,513500.SH:0.7305",1087891.31,512170.SH,False,37,"512170.SH:3.2635,159949.SZ:2.1200,159915.SZ:1.1261,159967.SZ:0.9567,513500.SH:0.8188",True,0.9952750997938451,-0.0034267420579702224,-0.0034269780820247453,-2.3602405452294306e-07
2020-02-14,1088545.69,512170.SH,False,37,"512170.SH:3.1484,159949.SZ:2.2367,159915.SZ:1.1685,159967.SZ:0.9868",1083402.11,512170.SH,False,37,"512170.SH:3.0428,159949.SZ:2.1922,159915.SZ:1.1648,159967.SZ:1.0733",True,0.9952748147852206,-0.0041262299954304416,-0.004126515175491119,-2.85180060677348e-07
2020-02-17,1124627.29,512170.SH,False,37,"512170.SH:3.2588,159949.SZ:2.7308",1119315.71,512170.SH,False,37,"512170.SH:3.6526,159949.SZ:3.0510",True,0.9952770308463704,0.03314661050194423,0.03314891088775873,2.3003858145020928e-06
2020-02-18,1129889.19,512170.SH,False,36,"512170.SH:3.7003,159949.SZ:3.4967,159915.SZ:2.0941,159967.SZ:1.7898,513500.SH:0.8850,518880.SH:0.1612",1124553.11,512170.SH,False,36,"512170.SH:3.7210,159949.SZ:3.6239,159915.SZ:2.1925,159967.SZ:1.8510,513500.SH:0.8212,518880.SH:0.1666",True,0.9952773421967159,0.004678794518671037,0.004679108810149879,3.142914788423212e-07
2020-02-19,1104588.33,159949.SZ,False,36,"159949.SZ:3.6401,512170.SH:3.3164,159915.SZ:2.3883,159967.SZ:2.0992,515050.SH:0.9803,513500.SH:0.7289,518880.SH:0.3022",1093700.62,159949.SZ,False,36,"159949.SZ:3.3782,512170.SH:3.0324,159915.SZ:2.2610,159967.SZ:2.0394,515050.SH:1.0160,513500.SH:0.7289,518880.SH:0.2996",True,0.9901431966061057,-0.022392337429124276,-0.027435333845637566,-0.00504299641651329
2020-02-20,1092105.86,513100.SH,False,36,"513100.SH:4.6646,159949.SZ:3.7323,512170.SH:2.8435,159915.SZ:2.6413,159967.SZ:2.3674,515050.SH:1.4192,513500.SH:0.6805,518880.SH:0.5310",1082855.49,513100.SH,False,36,"513100.SH:4.2635,159949.SZ:4.1230,512170.SH:3.0081,159915.SZ:2.8510,159967.SZ:2.5017,515050.SH:1.6311,513500.SH:0.6996,518880.SH:0.5343",True,0.9915297863157697,-0.01130056298892812,-0.00991599511025254,0.00138456787867558
2020-02-21,1095227.25,159949.SZ,False,36,"159949.SZ:4.7199,159915.SZ:3.4530,512170.SH:3.0560,159967.SZ:3.0516,513100.SH:2.6314,518880.SH:0.6866,513500.SH:0.5395",1084312.92,159915.SZ,False,36,"159915.SZ:3.7500,159967.SZ:3.2917,512170.SH:3.2828,515050.SH:2.7595,513100.SH:2.4594,512670.SH:1.7052,518880.SH:0.7173,513500.SH:0.5156",False,0.9900346434952197,0.002858138678973665,0.0013459136638813707,-0.0015122250150922945
2020-02-24,1113424.63,159915.SZ,False,36,"159915.SZ:4.3611,159967.SZ:3.8461,512670.SH:2.5591,512660.SH:1.9152,518880.SH:0.9901",1100994.42,159915.SZ,False,36,"159915.SZ:4.7378,159967.SZ:4.2248,512670.SH:2.7598,512660.SH:2.0487,518880.SH:0.9939",True,0.9888360561953798,0.016615163656674703,0.01538439660019919,-0.0012307670564755124
2020-02-25,1123363.41,159967.SZ,False,36,"159967.SZ:4.8342,512660.SH:2.6601,161226.SZ:0.5072",1110000.69,512670.SH,False,36,"512670.SH:4.0976,512660.SH:3.0082,512980.SH:0.8930,161226.SZ:0.4738",False,0.9881047220507209,0.008926315919560723,0.00818012320171424,-0.0007461927178464833
2020-02-26,1097116.17,512670.SH,False,36,"512670.SH:4.3870,512660.SH:3.4088,512710.SH:1.2881,518880.SH:1.1145,161226.SZ:0.4350",1081386.39,512670.SH,False,36,"512670.SH:4.2578,512660.SH:3.3141,512710.SH:1.2315,518880.SH:1.1073,161226.SZ:0.4235",True,0.9856626121917427,-0.023364869966701174,-0.0257786326240933,-0.0024137626573921267
2020-02-27,1096236.37,512670.SH,False,36,"512670.SH:4.8761,512660.SH:3.7109,512710.SH:1.6501,518880.SH:1.1644,510500.SH:0.9503,161226.SZ:0.4420",1080519.29,512670.SH,False,36,"512670.SH:4.5780,512660.SH:3.3656,512710.SH:1.5226,518880.SH:1.1664,510500.SH:0.8928,161226.SZ:0.5049",True,0.9856626906111497,-0.0008019205477572955,-0.0008018410514671892,7.949629010628456e-08
2020-02-28,1048099.11,512170.SH,False,36,"512170.SH:2.3914,518880.SH:1.0479",1051537.85,512170.SH,False,36,"512170.SH:2.2122,518880.SH:0.9947",True,1.0032809301784447,-0.04391138746837975,-0.026821770113886534,0.017089617354493214
2020-03-02,1063978.6,511880.SH,True,8,,1063930.25,511880.SH,True,8,,True,0.9999545573566986,0.01515075229860674,0.011785025141985983,-0.003365727156620757
2020-03-03,1056983.31,159985.SZ,True,8,"159985.SZ:0.0201,513100.SH:0.0034",1057979.87,159985.SZ,True,8,159985.SZ:0.0152,True,1.0009428341872304,-0.0065746529112521435,-0.005592829041189407,0.0009818238700627369
2020-03-04,1056983.31,159985.SZ,True,8,159985.SZ:0.0614,1057979.87,159985.SZ,True,8,159985.SZ:0.0580,True,1.0009428341872304,0.0,0.0,0.0
2020-03-05,1058075.21,159985.SZ,True,8,159985.SZ:0.1128,1059072.77,159985.SZ,True,8,159985.SZ:0.1080,True,1.0009428063247037,0.0010330342869839804,0.0010330064219463697,-2.786503761065262e-08
2020-03-06,1059334.47,515050.SH,False,39,"515050.SH:3.2235,512100.SH:2.9910,512170.SH:2.9543,512670.SH:2.8786,512200.SH:2.3653,512660.SH:2.2232,159967.SZ:1.6508,512710.SH:1.5984,510500.SH:1.1639,159915.SZ:1.1131",1061270.42,515050.SH,False,39,"515050.SH:3.4328,512170.SH:3.1696,512100.SH:3.0947,512670.SH:2.9622,512660.SH:2.3558,512200.SH:2.2535,159967.SZ:1.7312,512710.SH:1.6292,510500.SH:1.2028,159915.SZ:1.1894",True,1.0018275153455547,0.0011901422395106387,0.002075069874565738,0.0008849276350550994
2020-03-09,1029169.38,515880.SH,False,40,"515880.SH:3.2133,512170.SH:2.4041,518880.SH:0.5354,512890.SH:0.3847,510880.SH:0.2476",1028594.7,515880.SH,False,40,"515880.SH:3.0449,512170.SH:2.2033,518880.SH:0.4599,512890.SH:0.3361,510880.SH:0.2114",True,0.9994416079498983,-0.02847551066661691,-0.030789249737121605,-0.0023137390705046945
2020-03-10,1034157.64,518880.SH,True,9,518880.SH:0.3699,1032324.08,511880.SH,True,9,,False,0.9982270014463172,0.004846879529198489,0.0036257040795564244,-0.0012211754496420646
2020-03-11,1044464.44,518880.SH,True,9,518880.SH:0.3025,1039751.18,518880.SH,True,9,518880.SH:0.3351,True,0.9954873906477851,0.009966372244757604,0.007194543015987875,-0.002771829228769729
2020-03-12,1033012.44,518880.SH,True,9,518880.SH:0.2047,1032134.4,511880.SH,True,9,,False,0.9991500199165075,-0.010964470939766935,-0.007325579567988627,0.003638891371778308
2020-03-13,991043.46,511880.SH,True,9,,1032175.2,511880.SH,True,9,,True,1.0415034674665025,-0.04062775855826095,3.9529735662346965e-05,0.0406672882939233
2020-03-16,991219.86,511880.SH,True,9,,1032358.8,511880.SH,True,9,,True,1.041503345181159,0.00017799421228215095,0.00017787677905856114,-1.1743322358981345e-07
2020-03-17,983672.71,159985.SZ,True,9,159985.SZ:0.0191,1024508.95,159985.SZ,True,9,159985.SZ:0.0122,True,1.041514051965516,-0.0076140020035514455,-0.00760380015165274,1.0201851898705705e-05
2020-03-18,981623.51,159985.SZ,True,9,159985.SZ:0.0119,1022374.75,159985.SZ,True,9,159985.SZ:0.0080,True,1.0415141238823833,-0.002083213226480529,-0.0020831443200178823,6.890646264690048e-08
2020-03-19,972402.11,159985.SZ,True,9,159985.SZ:0.0082,1025310.13,511880.SH,True,9,,False,1.0544096104439757,-0.009394029285219596,0.0028711389830391454,0.012265168268258742
2020-03-20,1001090.91,159985.SZ,True,9,159985.SZ:0.0474,1033465.49,159985.SZ,True,9,159985.SZ:0.0489,True,1.032339300733437,0.02950302113186498,0.007954042158931918,-0.021548978972933064
2020-03-23,1028569.17,511880.SH,True,9,,1058679.91,511880.SH,True,9,,True,1.0292743948372474,0.027448316357202796,0.0243979312748992,-0.003050385082303597
2020-03-24,1028456.97,511880.SH,True,9,,1058564.41,511880.SH,True,9,,True,1.0292743798508166,-0.00010908357286276704,-0.00010909813146453562,-1.4558601768577262e-08
2020-03-25,1033092.53,159985.SZ,True,9,159985.SZ:0.6348,1069637.02,159985.SZ,True,9,159985.SZ:0.6577,True,1.035373878852846,0.004507296012588702,0.010460024817951386,0.005952728805362684
2020-03-26,1006065.53,159985.SZ,False,40,159985.SZ:0.7137,1041654.22,159985.SZ,False,40,159985.SZ:0.6452,True,1.035374127170424,-0.026161257791690762,-0.026161024232313923,2.335593768387767e-07
2020-03-27,1018077.53,159985.SZ,False,40,159985.SZ:0.8779,1054091.02,159985.SZ,False,40,159985.SZ:0.8602,True,1.0353740151793744,0.011939580118603299,0.011939470662347018,-1.0945625628089317e-07
2020-03-30,1027086.53,159985.SZ,False,40,159985.SZ:1.1171,1063418.62,159985.SZ,False,40,159985.SZ:1.0282,True,1.0353739329051468,0.008849031369938976,0.008848951203473954,-8.016646502184699e-08
2020-03-31,1024083.53,159985.SZ,False,41,159985.SZ:1.0733,1060309.42,159985.SZ,False,41,159985.SZ:1.0879,True,1.0353739601690497,-0.0029238042874537573,-0.002923778032022928,2.625543082945825e-08
2020-04-01,1024808.49,511880.SH,False,41,,1058987.01,511880.SH,False,41,,True,1.033351128853353,0.0007079110040955072,-0.001247192541211195,-0.0019551035453067023
2020-04-02,1027659.63,159985.SZ,False,41,159985.SZ:0.4834,1061911.67,159985.SZ,False,41,159985.SZ:0.5030,True,1.0333301406419944,0.002782119808550698,0.0027617524789089742,-2.036732964172394e-05
2020-04-03,1017075.95,511880.SH,False,41,,1056373.16,511880.SH,False,41,,True,1.0386374390231132,-0.010298818491099038,-0.005215603290243509,0.005083215200855529
2020-04-07,1017085.95,511880.SH,False,41,,1056383.56,511880.SH,False,41,,True,1.0386374524198276,9.832107425111758e-06,9.845005906949922e-06,1.2898481838163889e-08
2020-04-08,1017165.95,511880.SH,False,41,,1056466.76,511880.SH,False,41,,True,1.038637559584058,7.865608604662455e-05,7.87592718689556e-05,1.0318582233104223e-07
2020-04-09,1017235.95,511880.SH,False,41,,1056539.56,511880.SH,False,41,,True,1.038637653338933,6.881866228414246e-05,6.890893566779965e-05,9.027338365719118e-08
2020-04-10,1017435.95,511880.SH,False,42,,1056747.56,511880.SH,False,42,,True,1.038637921138918,0.00019661121886227484,0.00019686910729599383,2.5788843371898906e-07
2020-04-13,1017485.95,511880.SH,False,42,,1056799.56,511880.SH,False,42,,True,1.0386379880724643,4.9143142622387614e-05,4.920758936988179e-05,6.444674749417345e-08
2020-04-14,1027525.31,512010.SH,False,42,"512010.SH:1.4356,159928.SZ:0.8385,518880.SH:0.5708",1066176.67,512010.SH,False,42,"512010.SH:1.5272,159928.SZ:0.9241,518880.SH:0.6001",True,1.0376159687978876,0.009866829119360432,0.008873120651185618,-0.0009937084681748143
2020-04-15,1022123.21,512010.SH,False,42,"512010.SH:2.3319,159928.SZ:1.4630,512170.SH:1.0692,518880.SH:0.8653",1060571.07,512010.SH,False,42,"512010.SH:2.3143,159928.SZ:1.3537,512170.SH:1.0923,518880.SH:0.8455",True,1.0376156804031484,-0.005257388745003366,-0.005257665223531771,-2.764785284048443e-07
2020-04-16,1024087.61,512010.SH,False,44,"512010.SH:2.9454,512170.SH:1.9647,159928.SZ:1.8666,513520.SH:1.7224,518880.SH:1.2395,512690.SH:1.0787,159967.SZ:0.7213,510900.SH:0.6597,501018.SH:0.5093",1062609.47,512010.SH,False,44,"512010.SH:3.0965,512170.SH:2.2207,159928.SZ:1.8328,513520.SH:1.7566,518880.SH:1.3084,512690.SH:1.0858,159967.SZ:0.8413,510900.SH:0.6719,501018.SH:0.5165",True,1.0376157856259973,0.0019218818052277875,0.0019219834084291954,1.0160320140784052e-07
2020-04-17,1017212.21,512010.SH,False,44,"512010.SH:3.3799,512170.SH:3.0696,513520.SH:2.8976,159928.SZ:2.2529,513030.SH:2.1009,512690.SH:1.7173,159967.SZ:1.4851,518880.SH:1.3963,513500.SH:1.2552,510900.SH:1.0339",1055475.07,512010.SH,False,44,"512010.SH:3.2253,513520.SH:2.9124,512170.SH:2.8697,159928.SZ:2.2869,513030.SH:2.0469,512690.SH:1.7459,159967.SZ:1.4492,518880.SH:1.3402,513500.SH:1.2446,510900.SH:1.0199",True,1.0376154155680064,-0.0067136834123010525,-0.006714037660515038,-3.5424821398510886e-07
2020-04-20,1042167.28,512170.SH,False,44,"512170.SH:3.8870,513520.SH:3.4021,513030.SH:3.3349,512010.SH:3.2826,159928.SZ:2.5350,512690.SH:2.3170,159967.SZ:2.1428,513500.SH:1.8471,518880.SH:1.1614,510900.SH:1.1413",1084399.56,512170.SH,False,44,"512170.SH:4.2919,513520.SH:3.4021,513030.SH:3.3154,512010.SH:3.3077,159928.SZ:2.5807,512690.SH:2.4339,159967.SZ:2.2609,513500.SH:1.8471,518880.SH:1.2010,161226.SZ:1.1711",True,1.0405235136532016,0.024532806188002798,0.027404237979775203,0.0028714317917724053
