rank,grid_id,initial_entry_label,initial_entry_minute,stop_loss_profile,stop_loss_windows,trend_check_label,trend_check_minutes,force_buy_minute,total_return,annualized_return,max_drawdown,trade_count,buy_count,sell_count,stop_loss_count,win_rate,final_equity,daily_volatility,score_return_drawdown,entry_mode_breakdown,execution_mode_breakdown
42,58,1320,1320.0,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1440,0.6197236633351026,2.2358520563607382,-0.583082214183076,117,59,46,12,0.43103448275862066,1619723.6633351026,0.18005423796701256,1.062840965237403,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 38, ""stop_real"": 11, ""daily_close"": 8, ""stop_proxy"": 1}"
43,59,1320,1320.0,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1450,0.6197236633351026,2.2358520563607382,-0.583082214183076,117,59,46,12,0.43103448275862066,1619723.6633351026,0.18005423796701256,1.062840965237403,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 38, ""stop_real"": 11, ""daily_close"": 8, ""stop_proxy"": 1}"
44,60,1320,1320.0,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1455,0.6197236633351026,2.2358520563607382,-0.583082214183076,117,59,46,12,0.43103448275862066,1619723.6633351026,0.18005423796701256,1.062840965237403,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 38, ""stop_real"": 11, ""daily_close"": 8, ""stop_proxy"": 1}"
45,61,1320,1320.0,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1440,0.6197236633351026,2.2358520563607382,-0.583082214183076,117,59,46,12,0.43103448275862066,1619723.6633351026,0.18005423796701256,1.062840965237403,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 38, ""stop_real"": 11, ""daily_close"": 8, ""stop_proxy"": 1}"
46,62,1320,1320.0,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1450,0.6197236633351026,2.2358520563607382,-0.583082214183076,117,59,46,12,0.43103448275862066,1619723.6633351026,0.18005423796701256,1.062840965237403,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 38, ""stop_real"": 11, ""daily_close"": 8, ""stop_proxy"": 1}"
47,63,1320,1320.0,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1455,0.6197236633351026,2.2358520563607382,-0.583082214183076,117,59,46,12,0.43103448275862066,1619723.6633351026,0.18005423796701256,1.062840965237403,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 38, ""stop_real"": 11, ""daily_close"": 8, ""stop_proxy"": 1}"
48,24,none,,post_entry,"[[1312, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1455,0.6110606426849077,2.193871564231618,-0.582455203224686,117,59,54,4,0.39655172413793105,1611060.6426849077,0.1795806933762114,1.0491118274879363,"{""trend_real"": 32, ""force_real"": 17, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 8, ""stop_real"": 3, ""stop_proxy"": 1}"
49,8,none,,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1450,0.5840543273616661,2.0650680841813998,-0.5713565768307933,117,59,47,11,0.41379310344827586,1584054.3273616661,0.17833658942005995,1.022223863425717,"{""trend_real"": 29, ""force_real"": 20, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
50,37,1311,1311.0,afternoon,"[[1301, 1456]]",1340_1410,"[1340, 1410]",1440,0.5860665501848381,2.0745575292369303,-0.5822961858299934,117,59,48,10,0.39655172413793105,1586066.550184838,0.17963091986323246,1.00647499407792,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
51,38,1311,1311.0,afternoon,"[[1301, 1456]]",1340_1410,"[1340, 1410]",1450,0.5860665501848381,2.0745575292369303,-0.5822961858299934,117,59,48,10,0.39655172413793105,1586066.550184838,0.17963091986323246,1.00647499407792,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
52,39,1311,1311.0,afternoon,"[[1301, 1456]]",1340_1410,"[1340, 1410]",1455,0.5860665501848381,2.0745575292369303,-0.5822961858299934,117,59,48,10,0.39655172413793105,1586066.550184838,0.17963091986323246,1.00647499407792,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
53,40,1311,1311.0,afternoon,"[[1301, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1440,0.5860665501848381,2.0745575292369303,-0.5822961858299934,117,59,48,10,0.39655172413793105,1586066.550184838,0.17963091986323246,1.00647499407792,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
54,41,1311,1311.0,afternoon,"[[1301, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1450,0.5860665501848381,2.0745575292369303,-0.5822961858299934,117,59,48,10,0.39655172413793105,1586066.550184838,0.17963091986323246,1.00647499407792,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
55,42,1311,1311.0,afternoon,"[[1301, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1455,0.5860665501848381,2.0745575292369303,-0.5822961858299934,117,59,48,10,0.39655172413793105,1586066.550184838,0.17963091986323246,1.00647499407792,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
56,43,1311,1311.0,afternoon,"[[1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1440,0.5860665501848381,2.0745575292369303,-0.5822961858299934,117,59,48,10,0.39655172413793105,1586066.550184838,0.17963091986323246,1.00647499407792,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
57,44,1311,1311.0,afternoon,"[[1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1450,0.5860665501848381,2.0745575292369303,-0.5822961858299934,117,59,48,10,0.39655172413793105,1586066.550184838,0.17963091986323246,1.00647499407792,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
58,45,1311,1311.0,afternoon,"[[1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1455,0.5860665501848381,2.0745575292369303,-0.5822961858299934,117,59,48,10,0.39655172413793105,1586066.550184838,0.17963091986323246,1.00647499407792,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
59,2,none,,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1340_1410,"[1340, 1410]",1450,0.574678648900466,2.02108101191834,-0.5713565768307933,117,59,47,11,0.41379310344827586,1574678.648900466,0.17834422339054445,1.005814358676152,"{""trend_real"": 26, ""force_real"": 23, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
60,9,none,,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1455,0.5727774385664777,2.0122069338550843,-0.5717514190141959,117,59,47,11,0.41379310344827586,1572777.4385664777,0.17818503476764685,1.0017945203425132,"{""trend_real"": 29, ""force_real"": 20, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
61,5,none,,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1450,0.5817031612542101,2.054002109381363,-0.5810349133794462,119,60,48,11,0.3898305084745763,1581703.1612542102,0.17958837556446153,1.0011500993475195,"{""trend_real"": 33, ""force_real"": 17, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
62,6,none,,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1455,0.5681686107121713,1.990758613377714,-0.5824587753541264,119,60,48,11,0.3898305084745763,1568168.6107121713,0.17963849209608004,0.9754657921785677,"{""trend_real"": 33, ""force_real"": 17, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
