date,before,weak,below,above,weak_start,weak_days,detail
2020-02-11,True,False,1,3,None,2,000300.XSHG:2020-02-10:3916.0100:3945.4160:below|399101.XSHE:2020-02-10:9993.5200:9880.3380:above|399006.XSHE:2020-02-10:2042.1800:1955.9160:above|000510.XSHG:2020-02-10:4445.8474:4434.9985:above
2020-03-31,False,True,3,1,2020-03-31,0,000300.XSHG:2020-03-30:3674.1100:3654.8410:above|399101.XSHE:2020-03-30:9362.6100:9545.2350:below|399006.XSHE:2020-03-30:1860.4800:1894.8180:below|000510.XSHG:2020-03-30:4129.1092:4138.3858:below
2020-04-01,True,True,2,2,2020-03-31,2,000300.XSHG:2020-03-31:3686.1600:3652.4890:above|399101.XSHE:2020-03-31:9430.2700:9522.2640:below|399006.XSHE:2020-03-31:1871.9200:1890.2400:below|000510.XSHG:2020-03-31:4142.1316:4132.4593:above
2020-04-02,True,True,3,1,2020-04-02,3,000300.XSHG:2020-04-01:3675.0800:3656.3710:above|399101.XSHE:2020-04-01:9399.1600:9508.8360:below|399006.XSHE:2020-04-01:1864.8000:1888.0160:below|000510.XSHG:2020-04-01:4131.4771:4133.1940:below
2020-04-29,True,False,1,3,None,3,000300.XSHG:2020-04-28:3849.1500:3823.8760:above|399101.XSHE:2020-04-28:9819.2300:9916.2490:below|399006.XSHE:2020-04-28:2030.7200:2019.9880:above|000510.XSHG:2020-04-28:4340.1281:4331.8057:above
2020-04-30,False,False,1,3,None,0,000300.XSHG:2020-04-29:3867.0300:3830.8430:above|399101.XSHE:2020-04-29:9807.4100:9913.3760:below|399006.XSHE:2020-04-29:2030.4800:2025.2850:above|000510.XSHG:2020-04-29:4354.0355:4338.1742:above
2020-05-19,False,True,3,1,2020-05-19,0,000300.XSHG:2020-05-18:3922.9100:3938.6960:below|399101.XSHE:2020-05-18:10131.8000:10177.3880:below|399006.XSHE:2020-05-18:2114.8600:2113.6260:above|000510.XSHG:2020-05-18:4464.6841:4476.3717:below
2020-07-23,True,False,1,3,None,2,000300.XSHG:2020-07-22:4714.4500:4714.4760:below|399101.XSHE:2020-07-22:12696.6500:12636.4480:above|399006.XSHE:2020-07-22:2769.0300:2760.8770:above|000510.XSHG:2020-07-22:5389.1776:5372.6853:above
2020-08-18,True,False,1,3,None,2,000300.XSHG:2020-08-17:4815.2300:4723.3460:above|399101.XSHE:2020-08-17:13047.4700:12903.8200:above|399006.XSHE:2020-08-17:2696.3900:2730.4600:below|000510.XSHG:2020-08-17:5465.0469:5395.8412:above
2020-08-19,False,False,1,3,None,0,000300.XSHG:2020-08-18:4812.7600:4727.0420:above|399101.XSHE:2020-08-18:13120.1400:12916.1800:above|399006.XSHE:2020-08-18:2701.0600:2717.2820:below|000510.XSHG:2020-08-18:5470.7073:5396.8687:above
2021-02-09,True,False,1,3,None,2,000300.XSHG:2021-02-08:5564.5600:5469.5930:above|399101.XSHE:2021-02-08:12987.0600:13103.6230:below|399006.XSHE:2021-02-08:3278.0600:3211.4890:above|000510.XSHG:2021-02-08:6305.5309:6212.3125:above
2021-02-24,False,True,3,1,2021-02-24,0,000300.XSHG:2021-02-23:5579.6700:5622.5310:below|399101.XSHE:2021-02-23:13343.8500:13280.0840:above|399006.XSHE:2021-02-23:3112.3600:3250.0840:below|000510.XSHG:2021-02-23:6350.4441:6378.8707:below
2021-05-07,False,True,3,1,2021-05-07,0,000300.XSHG:2021-05-06:5061.1200:5104.2580:below|399101.XSHE:2021-05-06:12463.1300:12505.9170:below|399006.XSHE:2021-05-06:3014.8100:2991.0600:above|000510.XSHG:2021-05-06:5833.7850:5858.5006:below
2021-06-04,False,True,3,1,2021-06-04,0,000300.XSHG:2021-06-03:5255.2900:5280.6640:below|399101.XSHE:2021-06-03:12966.9300:12895.1690:above|399006.XSHE:2021-06-03:3201.7800:3218.9590:below|000510.XSHG:2021-06-03:6053.7327:6066.3718:below
