date,weak,pool,passed,target,target_raw,top10_raw,top10
2020-07-17,True,9,4,159980,159980.XSHE,159980.XSHE:1.3497:1.5514:0.8700:1.0130:0|161226.XSHE:0.8788:1.1323:0.7761:0.8630:0|513030.XSHG:0.2601:0.6358:0.4091:1.0810:0|513500.XSHG:0.0286:0.2528:0.1132:2.1030:0,"['159980', '161226', '513030', '513500']"
2020-12-14,True,9,3,159980,159980.XSHE,159980.XSHE:1.0651:1.2373:0.8608:1.1750:0|501018.XSHG:0.9149:1.2818:0.7137:0.5620:0|513500.XSHG:0.2968:0.3824:0.7761:2.2750:0,"['159980', '501018', '513500']"
2021-04-20,False,62,31,512690,512690.XSHG,512690.XSHG:1.7775:2.4134:0.7365:2.6040:0|513100.XSHG:1.4911:1.8392:0.8108:4.6370:0|512480.XSHG:1.2130:1.8824:0.6444:0.9580:0|513500.XSHG:1.1555:1.3270:0.8708:2.5650:0|513030.XSHG:1.0913:1.2382:0.8814:1.2490:0|159995.XSHE:1.0393:1.6752:0.6204:1.1860:0|515210.XSHG:0.9658:2.1159:0.4565:1.5820:0|159967.XSHE:0.8639:1.3883:0.6223:0.6490:0|515170.XSHG:0.8636:1.3145:0.6570:0.9040:0|159981.XSHE:0.7817:1.1434:0.6836:1.1520:0,"['512690', '513100', '512480', '513500', '513030', '159995', '515210', '159967', '515170', '159981']"
2021-05-26,False,63,22,512010,512010.XSHG,512010.XSHG:1.7689:2.3320:0.7585:3.2860:0|512170.XSHG:1.7209:2.3105:0.7448:0.8910:0|159967.XSHE:1.6939:2.4718:0.6853:0.7330:0|159949.XSHE:1.6612:2.3130:0.7182:1.3850:0|515120.XSHG:1.5569:2.1720:0.7168:1.1520:0|159992.XSHE:1.4438:2.0788:0.6945:1.5530:0|512690.XSHG:1.2869:2.0805:0.6186:1.4600:0|515170.XSHG:1.2482:2.0377:0.6126:0.9920:0|515030.XSHG:1.1926:2.0665:0.5771:1.7190:0|159915.XSHE:1.1902:1.7622:0.6754:3.0900:0,"['512010', '512170', '159967', '159949', '515120', '159992', '512690', '515170', '515030', '159915']"
2021-05-27,False,64,24,512170,512170.XSHG,512170.XSHG:1.6789:2.2321:0.7522:0.8990:0|159967.XSHE:1.6527:2.3901:0.6915:0.7390:0|159949.XSHE:1.6205:2.2404:0.7233:1.3910:0|512010.XSHG:1.5317:2.0405:0.7507:3.2890:0|515170.XSHG:1.5287:2.3915:0.6392:0.9980:0|512690.XSHG:1.5062:2.3652:0.6368:1.4690:0|515120.XSHG:1.2212:1.7790:0.6865:1.1490:0|159915.XSHE:1.2065:1.7714:0.6811:3.1080:0|515030.XSHG:1.1875:2.0560:0.5776:1.7220:0|159992.XSHE:1.1397:1.7108:0.6662:1.5500:0,"['512170', '159967', '159949', '512010', '515170', '512690', '515120', '159915', '515030', '159992']"
2021-05-28,False,64,30,159949,159949.XSHE,159949.XSHE:1.9221:2.5990:0.7396:1.4270:0|515030.XSHG:1.8749:2.9181:0.6425:1.8250:0|515170.XSHG:1.8635:2.7609:0.6750:1.0010:0|159967.XSHE:1.8631:2.6438:0.7047:0.7540:0|512690.XSHG:1.8008:2.7258:0.6606:1.4830:0|512170.XSHG:1.7767:2.3414:0.7588:0.9050:0|512880.XSHG:1.4575:2.4296:0.5999:1.1530:0|159915.XSHE:1.4451:2.0546:0.7033:3.1690:0|512010.XSHG:1.4284:1.9154:0.7458:3.2990:0|516160.XSHG:1.1358:1.6262:0.6984:0.9680:0,"['159949', '515030', '515170', '159967', '512690', '512170', '512880', '159915', '512010', '516160']"
2021-05-31,False,64,34,515030,515030.XSHG,515030.XSHG:2.6894:3.9681:0.6778:1.8780:0|159949.XSHE:2.0081:2.6839:0.7482:1.4340:0|515170.XSHG:1.9830:2.8254:0.7019:0.9900:0|512690.XSHG:1.9502:2.8592:0.6821:1.4720:0|512880.XSHG:1.8598:2.7473:0.6769:1.1360:0|159967.XSHE:1.8244:2.5764:0.7081:0.7520:0|512670.XSHG:1.7512:2.9254:0.5986:1.7980:0|159915.XSHE:1.5224:2.1259:0.7161:3.1790:0|512170.XSHG:1.4759:2.0049:0.7362:0.8930:0|516160.XSHG:1.4339:2.0304:0.7062:0.9900:0,"['515030', '159949', '515170', '512690', '512880', '159967', '512670', '159915', '512170', '516160']"
2021-06-03,False,64,43,512670,512670.XSHG,512670.XSHG:3.2271:4.2021:0.7680:1.7630:0|512690.XSHG:2.9866:3.7467:0.7971:1.5100:0|515170.XSHG:2.6549:3.3117:0.8017:1.0050:0|516160.XSHG:2.4878:3.1823:0.7818:0.9800:0|512710.XSHG:2.2823:3.0388:0.7510:0.7980:0|512660.XSHG:2.2710:2.9678:0.7652:1.1060:0|512880.XSHG:2.2650:2.9039:0.7800:1.1120:0|159949.XSHE:2.2041:2.8553:0.7719:1.4080:0|588080.XSHG:1.7893:2.7186:0.6582:1.4610:0|159915.XSHE:1.7698:2.3265:0.7607:3.1360:0,"['512670', '512690', '515170', '516160', '512710', '512660', '512880', '159949', '588080', '159915']"
2021-07-01,False,66,20,516160,516160.XSHG,516160.XSHG:3.9691:4.9575:0.8006:1.1090:0|515030.XSHG:3.0710:3.9967:0.7684:2.0970:0|588080.XSHG:2.7978:3.2442:0.8624:1.6200:0|515050.XSHG:2.3563:2.7007:0.8725:1.2050:0|516520.XSHG:2.3291:2.6710:0.8720:1.0940:0|501018.XSHG:1.8201:1.9456:0.9355:0.8350:0|159967.XSHE:1.5898:2.5334:0.6275:0.8320:0|513100.XSHG:1.4113:1.5572:0.9063:4.8290:0|159851.XSHE:1.2879:1.7970:0.7167:1.2080:0|515880.XSHG:1.0622:1.2628:0.8411:1.0180:0,"['516160', '515030', '588080', '515050', '516520', '501018', '159967', '513100', '159851', '515880']"
2021-07-02,False,66,16,516160,516160.XSHG,516160.XSHG:3.8479:4.7951:0.8025:1.1030:0|515030.XSHG:3.0622:3.9663:0.7721:2.1000:0|588080.XSHG:2.4260:2.8718:0.8448:1.5810:0|516520.XSHG:2.0813:2.4104:0.8635:1.0660:0|501018.XSHG:1.8692:1.9862:0.9411:0.8490:0|515050.XSHG:1.8631:2.2281:0.8362:1.1660:0|159967.XSHE:1.6588:2.5360:0.6541:0.8070:0|513100.XSHG:1.5181:1.6232:0.9353:4.8240:0|159949.XSHE:0.8476:1.5341:0.5525:1.4910:0|515980.XSHG:0.7789:1.0379:0.7505:1.1710:0,"['516160', '515030', '588080', '516520', '501018', '515050', '159967', '513100', '159949', '515980']"
2021-07-21,True,9,1,159985,159985.XSHE,159985.XSHE:1.0389:1.4082:0.7378:1.3150:0,['159985']
2021-08-31,False,69,19,516150,516150.XSHG,516150.XSHG:2.4290:4.0551:0.5990:1.6270:0|512400.XSHG:2.2635:3.6485:0.6204:1.6300:0|515790.XSHG:2.2473:4.1181:0.5457:1.8580:0|510880.XSHG:1.7747:2.0550:0.8636:3.0780:0|512670.XSHG:1.7579:2.7174:0.6469:1.1490:0|512660.XSHG:1.5002:2.3062:0.6505:1.3880:0|512890.XSHG:1.4826:1.7003:0.8719:1.5580:0|159766.XSHE:1.0206:1.5229:0.6702:0.9170:0|512880.XSHG:0.8836:1.3520:0.6536:1.1040:0|512710.XSHG:0.8529:1.5600:0.5467:0.9910:0,"['516150', '512400', '515790', '510880', '512670', '512660', '512890', '159766', '512880', '512710']"
2021-09-10,False,69,18,516150,516150.XSHG,516150.XSHG:4.9820:6.7001:0.7436:1.6980:0|512890.XSHG:4.8250:5.5205:0.8740:1.7330:0|159766.XSHE:3.8612:4.1321:0.9344:1.0120:0|512880.XSHG:3.2298:3.9311:0.8216:1.2540:0|512400.XSHG:2.7499:3.8962:0.7058:1.6640:0|513090.XSHG:1.7348:2.3125:0.7502:1.3990:0|510500.XSHG:1.3325:1.6967:0.7854:8.5530:0|159981.XSHE:1.2251:1.6873:0.7261:1.4470:0|513520.XSHG:1.0993:1.7145:0.6412:1.3050:0|512980.XSHG:0.9874:1.7291:0.5710:0.7390:0,"['516150', '512890', '159766', '512880', '512400', '513090', '510500', '159981', '513520', '512980']"
