date,value,action,line
2020-03-18,907871.6558000011,close,2020-03-18 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395732 security=159985.XSHE mode=OrderTargetValue: _value=907871.6558000011 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-03-18 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-03-23,925340.6967700011,close,2020-03-23 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395737 security=159985.XSHE mode=OrderTargetValue: _value=925340.6967700011 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-03-23 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-03-24,927164.0967700011,close,2020-03-24 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395738 security=159985.XSHE mode=OrderTargetValue: _value=927164.0967700011 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-03-24 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-03-25,944486.3967700013,close,2020-03-25 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395739 security=159985.XSHE mode=OrderTargetValue: _value=944486.3967700013 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-03-25 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-03-26,926252.3967700013,close,2020-03-26 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395740 security=159985.XSHE mode=OrderTargetValue: _value=926252.3967700013 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-03-26 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-03-27,924428.9967700012,close,2020-03-27 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395741 security=159985.XSHE mode=OrderTargetValue: _value=924428.9967700012 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-03-27 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-03-30,945398.0967700011,close,2020-03-30 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395742 security=159985.XSHE mode=OrderTargetValue: _value=945398.0967700011 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-03-30 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-03-31,936281.0967700011,close,2020-03-31 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395743 security=159985.XSHE mode=OrderTargetValue: _value=936281.0967700011 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-03-31 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-04-02,914236.203460001,open,2020-04-02 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395746 security=511880.XSHG mode=OrderTargetValue: _value=914236.203460001 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-04-02 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-04-08,912132.6274200012,open,2020-04-08 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395751 security=511880.XSHG mode=OrderTargetValue: _value=912132.6274200012 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-04-08 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-04-09,912168.6274200012,open,2020-04-09 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395752 security=511880.XSHG mode=OrderTargetValue: _value=912168.6274200012 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-04-09 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-04-10,912348.6274200012,open,2020-04-10 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395753 security=511880.XSHG mode=OrderTargetValue: _value=912348.6274200012 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-04-10 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-04-13,912429.6274200012,open,2020-04-13 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395754 security=511880.XSHG mode=OrderTargetValue: _value=912429.6274200012 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-04-13 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-04-15,913573.6958200013,open,2020-04-15 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395757 security=512010.XSHG mode=OrderTargetValue: _value=913573.6958200013 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-04-15 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-04-16,915768.6958200012,open,2020-04-16 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395758 security=512010.XSHG mode=OrderTargetValue: _value=915768.6958200012 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-04-16 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-04-17,916646.6958200013,open,2020-04-17 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395759 security=512010.XSHG mode=OrderTargetValue: _value=916646.6958200013 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-04-17 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-04-20,918402.6958200013,open,2020-04-20 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395760 security=512010.XSHG mode=OrderTargetValue: _value=918402.6958200013 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-04-20 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-04-22,908925.6677500013,close,2020-04-22 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395763 security=512170.XSHG mode=OrderTargetValue: _value=908925.6677500013 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-04-22 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-04-23,924832.4677500012,close,2020-04-23 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395764 security=512170.XSHG mode=OrderTargetValue: _value=924832.4677500012 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-04-23 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-04-24,903244.6677500013,close,2020-04-24 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395765 security=512170.XSHG mode=OrderTargetValue: _value=903244.6677500013 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-04-24 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-04-28,937012.7932300013,open,2020-04-28 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395768 security=513100.XSHG mode=OrderTargetValue: _value=937012.7932300013 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-04-28 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-04-29,963257.3932300013,open,2020-04-29 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395769 security=513100.XSHG mode=OrderTargetValue: _value=963257.3932300013 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-04-29 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-05-06,998296.6525600015,open,2020-05-06 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395772 security=512690.XSHG mode=OrderTargetValue: _value=998296.6525600015 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-05-06 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-05-07,1012569.8525600014,open,2020-05-07 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395773 security=512690.XSHG mode=OrderTargetValue: _value=1012569.8525600014 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-05-07 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-05-08,1029361.8525600014,open,2020-05-08 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395774 security=512690.XSHG mode=OrderTargetValue: _value=1029361.8525600014 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-05-08 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-05-11,1030201.4525600015,open,2020-05-11 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395775 security=512690.XSHG mode=OrderTargetValue: _value=1030201.4525600015 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-05-11 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-05-12,1024324.2525600014,open,2020-05-12 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395776 security=512690.XSHG mode=OrderTargetValue: _value=1024324.2525600014 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-05-12 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-05-13,1063785.4525600013,open,2020-05-13 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395777 security=512690.XSHG mode=OrderTargetValue: _value=1063785.4525600013 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-05-13 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-05-14,1070502.2525600013,open,2020-05-14 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395778 security=512690.XSHG mode=OrderTargetValue: _value=1070502.2525600013 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-05-14 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
