date,ths_time,ths_target,ths_top10,jq_time,jq_target,jq_top10,target_match,top10_overlap,top1_match
2020-01-02,13:10:00,512400,"['512400', '512880', '512980', '159949', '512480', '512200', '512100', '510900', '512070', '510500']",13:10:00,512400,"['512400', '512880', '512980', '159949', '512480', '512200', '512100', '510900', '512070', '510500']",True,10,True
2020-01-03,13:10:00,512400,"['512400', '512880', '512980', '159949', '512100', '512200', '510900', '512070', '512480', '510500']",13:10:00,512400,"['512400', '512880', '512980', '159949', '512100', '512200', '510900', '512070', '512480', '510500']",True,10,True
2020-01-06,13:10:00,512880,"['512880', '512980', '159949', '512100', '512200', '512070', '510900', '510500', '501018', '512480']",13:10:00,512880,"['512880', '512980', '159949', '512100', '512200', '512070', '510900', '510500', '501018', '512480']",True,10,True
2020-01-07,13:10:00,512980,"['512980', '512880', '512100', '159949', '510500', '512070', '512200', '159915', '510900', '161226']",13:10:00,512980,"['512980', '512880', '512100', '159949', '510500', '512070', '512200', '159915', '510900', '161226']",True,10,True
2020-01-08,13:10:00,512880,"['512880', '512100', '159949', '510500', '161226', '159915', '512070', '512200', '512710', '510300']",13:10:00,512880,"['512880', '512100', '159949', '510500', '161226', '159915', '512070', '512200', '512710', '510300']",True,10,True
2020-01-09,13:10:00,512980,"['512980', '512100', '159949', '510500', '159915', '161226', '512710', '512200', '510300', '512070']",13:10:00,512980,"['512980', '512100', '159949', '510500', '159915', '161226', '512710', '512200', '510300', '512070']",True,10,True
2020-01-10,13:10:00,512100,"['512100', '159949', '510500', '159915', '512710', '513100', '510300', '512670', '512660', '512070']",13:10:00,512100,"['512100', '159949', '510500', '159915', '512710', '513100', '510300', '512670', '512660', '512070']",True,10,True
2020-01-13,13:10:00,512100,"['512100', '512880', '159949', '159915', '510500', '512710', '513100', '512670', '512660', '510300']",13:10:00,512100,"['512100', '512880', '159949', '159915', '510500', '512710', '513100', '512670', '512660', '510300']",True,10,True
2020-01-14,13:10:00,512100,"['512100', '159949', '159915', '512880', '510500', '513100', '512710', '512670', '512660', '512480']",13:10:00,512100,"['512100', '159949', '159915', '512880', '510500', '513100', '512710', '512670', '512660', '512480']",True,10,True
2020-01-15,13:10:00,512980,"['512980', '512100', '159949', '159915', '510500', '513100', '512880', '512480', '512710', '159928']",13:10:00,512980,"['512980', '512100', '159949', '159915', '510500', '513100', '512880', '512480', '512710', '159928']",True,10,True
