trade_date,target_symbol,rank,momentum_score,annualized_return,r_squared,close,is_weak,candidates_json
2026-02-06,159518,1,1.1827466505221065,1.9828775015623785,0.5964799386700282,0.981,True,"[{""symbol"": ""159518"", ""rank"": 1, ""momentum_score"": 1.1827466505221065, ""annualized_return"": 1.9828775015623785, ""r_squared"": 0.5964799386700282, ""close"": 0.981}]"
2026-02-09,501018,1,3.522003188334089,6.724168090799394,0.5237827402252492,1.314,False,"[{""symbol"": ""501018"", ""rank"": 1, ""momentum_score"": 3.522003188334089, ""annualized_return"": 6.724168090799394, ""r_squared"": 0.5237827402252492, ""close"": 1.314}, {""symbol"": ""561360"", ""rank"": 2, ""momentum_score"": 3.2230207369983077, ""annualized_return"": 3.921656062146118, ""r_squared"": 0.8218519640487076, ""close"": 1.452}]"
2026-02-10,513310,1,4.545382168994864,6.347387717952463,0.7161028081109737,3.489,False,"[{""symbol"": ""513310"", ""rank"": 1, ""momentum_score"": 4.545382168994864, ""annualized_return"": 6.347387717952463, ""r_squared"": 0.7161028081109737, ""close"": 3.489}, {""symbol"": ""501018"", ""rank"": 2, ""momentum_score"": 4.262138833050544, ""annualized_return"": 7.709711024512419, ""r_squared"": 0.5528273134361859, ""close"": 1.395}]"
2026-02-11,513310,1,3.255401352113688,4.9543751179704065,0.6570760740957551,3.422,False,"[{""symbol"": ""513310"", ""rank"": 1, ""momentum_score"": 3.255401352113688, ""annualized_return"": 4.9543751179704065, ""r_squared"": 0.6570760740957551, ""close"": 3.422}]"
2026-02-12,513310,1,3.126523819337381,4.7263715410557765,0.661506145291104,3.539,False,"[{""symbol"": ""513310"", ""rank"": 1, ""momentum_score"": 3.126523819337381, ""annualized_return"": 4.7263715410557765, ""r_squared"": 0.661506145291104, ""close"": 3.539}]"
2026-02-13,513310,1,2.9087280157142574,4.444271333680395,0.6544892958426727,3.603,True,"[{""symbol"": ""513310"", ""rank"": 1, ""momentum_score"": 2.9087280157142574, ""annualized_return"": 4.444271333680395, ""r_squared"": 0.6544892958426727, ""close"": 3.603}]"
2026-02-24,513310,1,3.4428275542562736,5.1456009613879345,0.6690817224442589,3.851,False,"[{""symbol"": ""513310"", ""rank"": 1, ""momentum_score"": 3.4428275542562736, ""annualized_return"": 5.1456009613879345, ""r_squared"": 0.6690817224442589, ""close"": 3.851}]"
2026-02-25,513310,1,4.390809283098047,6.359665270804506,0.6904151549068249,3.941,False,"[{""symbol"": ""513310"", ""rank"": 1, ""momentum_score"": 4.390809283098047, ""annualized_return"": 6.359665270804506, ""r_squared"": 0.6904151549068249, ""close"": 3.941}]"
2026-02-26,513350,1,4.405196404437841,5.8563535451261375,0.7522080711988435,1.134,False,"[{""symbol"": ""513350"", ""rank"": 1, ""momentum_score"": 4.405196404437841, ""annualized_return"": 5.8563535451261375, ""r_squared"": 0.7522080711988435, ""close"": 1.134}, {""symbol"": ""159518"", ""rank"": 2, ""momentum_score"": 3.9838251367503346, ""annualized_return"": 5.065422241980667, ""r_squared"": 0.786474443084648, ""close"": 1.042}]"
2026-02-27,513350,1,4.94813749717708,6.410986636111331,0.7718215273302205,1.146,False,"[{""symbol"": ""513350"", ""rank"": 1, ""momentum_score"": 4.94813749717708, ""annualized_return"": 6.410986636111331, ""r_squared"": 0.7718215273302205, ""close"": 1.146}]"
2026-03-02,513520,1,3.74148429075733,4.8137176738346605,0.7772546177966483,2.117,False,"[{""symbol"": ""513520"", ""rank"": 1, ""momentum_score"": 3.74148429075733, ""annualized_return"": 4.8137176738346605, ""r_squared"": 0.7772546177966483, ""close"": 2.117}]"
2026-03-03,518880,1,0.15112538750038915,0.7906747652443196,0.19113470436063706,11.259,True,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.15112538750038915, ""annualized_return"": 0.7906747652443196, ""r_squared"": 0.19113470436063706, ""close"": 11.259}]"
2026-03-04,518880,1,0.0973611948906739,0.6537434758829714,0.14892874419767488,10.98,True,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.0973611948906739, ""annualized_return"": 0.6537434758829714, ""r_squared"": 0.14892874419767488, ""close"": 10.98}]"
2026-03-05,159985,1,0.47796486002545324,0.7049719619296153,0.677991304387753,2.061,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.47796486002545324, ""annualized_return"": 0.7049719619296153, ""r_squared"": 0.677991304387753, ""close"": 2.061}]"
2026-03-06,159985,1,0.6144471190119285,0.9229754331755151,0.665724240241055,2.126,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.6144471190119285, ""annualized_return"": 0.9229754331755151, ""r_squared"": 0.665724240241055, ""close"": 2.126}]"
2026-03-09,511880,999,,,,100.245,True,[]
2026-03-10,159985,1,1.198546464654541,1.8560595080266609,0.6457478650179813,2.179,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 1.198546464654541, ""annualized_return"": 1.8560595080266609, ""r_squared"": 0.6457478650179813, ""close"": 2.179}]"
