date,ths_weak,jq_weak,ths_target,jq_target,target_match,ths_pool,jq_pool,threshold_ratio,top10_overlap
2023-02-08,False,True,515400,513310,False,79,11,0.9940708685937962,0
2023-02-22,True,False,511880,159869,False,11,82,0.9912569259685684,0
2023-03-02,True,False,511880,515880,False,11,82,0.9947574414312936,0
2023-03-03,True,False,511880,515880,False,11,82,0.9934502059621212,0
2023-03-06,True,False,513030,515880,False,11,82,0.9935906200180792,0
2023-03-07,True,False,513030,512890,False,11,82,0.9883672788628312,0
2023-03-22,True,False,518880,588200,False,11,83,0.9915767885912888,1
2023-04-18,True,False,513030,513310,False,11,83,0.9864851595837184,0
2023-04-19,True,False,513310,512480,False,11,83,0.9852984179767132,1
2023-04-20,True,False,161226,512980,False,11,83,0.983584428230739,1
2023-06-13,True,False,513100,515880,False,11,84,0.9935275929720015,3
2023-06-14,True,False,513100,515880,False,11,84,0.9965992215996106,3
2023-06-15,True,False,513100,516510,False,11,84,0.9925968902464986,3
2023-07-07,False,True,159985,159985,True,82,11,0.9871754574479404,3
2023-07-18,False,True,159985,159985,True,82,11,0.9868434364115484,3
2023-08-10,False,True,513090,501018,False,83,12,0.9908350902523756,1
2023-08-11,False,True,512070,501018,False,84,12,0.9928581628535064,2
2023-10-16,False,True,515120,511880,False,87,12,0.990486068202548,0
2023-11-17,False,True,159869,513310,False,91,13,0.9876096365609895,1
2023-11-20,False,True,159869,513310,False,92,13,0.9906982975897516,1
2023-11-21,False,True,159869,159509,False,92,13,0.9926300232626252,1
2023-11-22,False,True,512980,159509,False,92,13,0.9925447241424998,1
2024-01-26,True,False,159509,159509,True,14,98,0.9991127564802538,3
2024-01-29,True,False,159509,159509,True,14,98,0.9948775348959704,3
2024-01-30,True,False,159509,159509,True,14,98,0.9904984411505012,4
2024-02-07,True,False,159509,159509,True,16,100,1.002559341007015,3
2024-02-08,True,False,159509,159509,True,16,98,1.0042289561814537,3
2024-03-25,False,True,561330,159518,False,100,16,0.9940313218705508,0
2024-05-20,True,False,159985,513920,False,16,101,0.99620145118285,0
2024-08-01,True,False,513400,159502,False,17,102,1.002183673913866,0
2024-09-03,False,True,513030,513030,True,100,17,0.9967660421061936,2
2024-09-04,False,True,513030,511880,False,100,17,0.9955821385386076,0
2024-09-05,False,True,513030,159529,False,100,17,0.9932165876153092,1
2024-09-06,False,True,513030,159529,False,99,17,0.995869547686769,2
2024-09-24,True,False,159985,159851,False,17,104,0.9982797733244128,3
2024-10-22,True,False,161226,513970,False,17,102,1.0012784416422706,0
2024-10-31,False,True,588220,518880,False,103,17,0.9938751104493604,0
2024-11-01,False,True,512710,518880,False,102,17,0.9920897543312056,0
2024-11-04,False,True,512660,159502,False,102,17,0.9919258832468916,0
2024-11-15,False,True,513090,159529,False,103,17,0.9888222995978896,0
2024-12-16,False,True,516190,159529,False,103,17,0.9972752356643504,4
2024-12-27,True,False,159529,159529,True,17,107,0.999871735521594,3
2024-12-30,True,False,513310,515050,False,17,106,0.996356136669334,0
2024-12-31,True,False,501018,515050,False,17,106,0.9961226998613129,0
2025-02-05,False,True,159985,159985,True,107,17,0.9913629405737676,3
2025-02-06,False,True,159985,159985,True,106,17,0.9965905048685936,3
2025-03-14,False,True,159323,513030,False,106,17,0.9969173300686291,0
2025-06-16,False,True,515120,161226,False,108,17,0.994307664386249,2
2025-06-17,False,True,159869,161226,False,108,17,0.9951793528505392,1
2025-06-18,False,True,159869,161226,False,108,17,0.9921084372701768,2
2025-06-19,False,True,501018,501018,True,108,17,0.994376200964193,1
2025-08-11,False,True,159892,159509,False,110,17,0.9938713306281264,0
2025-09-08,True,False,161226,516520,False,17,113,0.9928300406121096,1
2025-09-10,False,True,588080,513310,False,111,17,0.9993638222693246,0
2025-09-11,False,True,512400,513310,False,111,17,0.994750569150555,1
2025-10-14,False,True,159326,159509,False,111,17,0.98999098194765,6
2025-10-24,True,False,159509,159502,False,17,113,0.999624265836309,4
