rank,grid_id,initial_entry_label,initial_entry_minute,stop_loss_profile,stop_loss_windows,trend_check_label,trend_check_minutes,force_buy_minute,total_return,annualized_return,max_drawdown,trade_count,buy_count,sell_count,stop_loss_count,win_rate,final_equity,daily_volatility,score_return_drawdown,entry_mode_breakdown,execution_mode_breakdown
15,262,1320,1320.0,afternoon,"[[1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1340,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
16,263,1320,1320.0,afternoon,"[[1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1440,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
17,264,1320,1320.0,afternoon,"[[1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1455,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
18,11,none,,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1440,0.6448423309604976,2.3594068843093905,-0.5741417276648436,115,58,47,10,0.42105263157894735,1644842.3309604975,0.17818313676710382,1.1231413776232715,"{""trend_real"": 29, ""force_real"": 19, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
19,5,none,,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1030_1100_1340,"[1030, 1100, 1340]",1440,0.645836209532876,2.3643517999512045,-0.5781401250251277,117,59,45,13,0.43103448275862066,1645836.209532876,0.1289158144016112,1.1170928665516964,"{""trend_real"": 34, ""force_real"": 15, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 37, ""stop_real"": 12, ""daily_close"": 8, ""stop_proxy"": 1}"
20,277,1320,1320.0,post_1030,"[[1031, 1129], [1301, 1456]]",1000_1030_1100,"[1000, 1030, 1100]",1340,0.6386361488537928,2.3286257132738903,-0.583082214183076,117,59,47,11,0.43103448275862066,1638636.1488537928,0.18003514317717254,1.0952763320838903,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
21,278,1320,1320.0,post_1030,"[[1031, 1129], [1301, 1456]]",1000_1030_1100,"[1000, 1030, 1100]",1440,0.6386361488537928,2.3286257132738903,-0.583082214183076,117,59,47,11,0.43103448275862066,1638636.1488537928,0.18003514317717254,1.0952763320838903,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
22,279,1320,1320.0,post_1030,"[[1031, 1129], [1301, 1456]]",1000_1030_1100,"[1000, 1030, 1100]",1455,0.6386361488537928,2.3286257132738903,-0.583082214183076,117,59,47,11,0.43103448275862066,1638636.1488537928,0.18003514317717254,1.0952763320838903,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
23,280,1320,1320.0,post_1030,"[[1031, 1129], [1301, 1456]]",1030_1100_1340,"[1030, 1100, 1340]",1340,0.6386361488537928,2.3286257132738903,-0.583082214183076,117,59,47,11,0.43103448275862066,1638636.1488537928,0.18003514317717254,1.0952763320838903,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
24,281,1320,1320.0,post_1030,"[[1031, 1129], [1301, 1456]]",1030_1100_1340,"[1030, 1100, 1340]",1440,0.6386361488537928,2.3286257132738903,-0.583082214183076,117,59,47,11,0.43103448275862066,1638636.1488537928,0.18003514317717254,1.0952763320838903,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
25,282,1320,1320.0,post_1030,"[[1031, 1129], [1301, 1456]]",1030_1100_1340,"[1030, 1100, 1340]",1455,0.6386361488537928,2.3286257132738903,-0.583082214183076,117,59,47,11,0.43103448275862066,1638636.1488537928,0.18003514317717254,1.0952763320838903,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
26,283,1320,1320.0,post_1030,"[[1031, 1129], [1301, 1456]]",1100_1340_1410,"[1100, 1340, 1410]",1340,0.6386361488537928,2.3286257132738903,-0.583082214183076,117,59,47,11,0.43103448275862066,1638636.1488537928,0.18003514317717254,1.0952763320838903,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
27,284,1320,1320.0,post_1030,"[[1031, 1129], [1301, 1456]]",1100_1340_1410,"[1100, 1340, 1410]",1440,0.6386361488537928,2.3286257132738903,-0.583082214183076,117,59,47,11,0.43103448275862066,1638636.1488537928,0.18003514317717254,1.0952763320838903,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
28,285,1320,1320.0,post_1030,"[[1031, 1129], [1301, 1456]]",1100_1340_1410,"[1100, 1340, 1410]",1455,0.6386361488537928,2.3286257132738903,-0.583082214183076,117,59,47,11,0.43103448275862066,1638636.1488537928,0.18003514317717254,1.0952763320838903,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
29,286,1320,1320.0,post_1030,"[[1031, 1129], [1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1340,0.6386361488537928,2.3286257132738903,-0.583082214183076,117,59,47,11,0.43103448275862066,1638636.1488537928,0.18003514317717254,1.0952763320838903,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
30,287,1320,1320.0,post_1030,"[[1031, 1129], [1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1440,0.6386361488537928,2.3286257132738903,-0.583082214183076,117,59,47,11,0.43103448275862066,1638636.1488537928,0.18003514317717254,1.0952763320838903,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
31,288,1320,1320.0,post_1030,"[[1031, 1129], [1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1455,0.6386361488537928,2.3286257132738903,-0.583082214183076,117,59,47,11,0.43103448275862066,1638636.1488537928,0.18003514317717254,1.0952763320838903,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
32,47,none,,post_1030,"[[1031, 1129], [1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1440,0.6220574016306746,2.2472164869546543,-0.5714251630649989,117,59,49,9,0.41379310344827586,1622057.4016306745,0.17821255374561487,1.0886069459981347,"{""trend_real"": 30, ""force_real"": 19, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
33,8,none,,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1100_1340_1410,"[1100, 1340, 1410]",1440,0.6309187514866754,2.2905819714216884,-0.5800140039319799,117,59,47,11,0.41379310344827586,1630918.7514866753,0.17823039798424656,1.0877646870758404,"{""trend_real"": 31, ""force_real"": 18, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
34,16,none,,afternoon,"[[1301, 1456]]",1030_1100_1340,"[1030, 1100, 1340]",1340,0.6248566345429796,2.2608786849720848,-0.5858365474787905,117,59,48,10,0.43103448275862066,1624856.6345429795,0.12935938609254463,1.0666057575822405,"{""trend_real"": 34, ""force_real"": 15, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
35,21,none,,afternoon,"[[1301, 1456]]",1100_1340_1410,"[1100, 1340, 1410]",1455,0.6222348021814186,2.248081321507022,-0.5836456446926055,117,59,49,9,0.39655172413793105,1622234.8021814185,0.17805396955683703,1.0661174427321174,"{""trend_real"": 31, ""force_real"": 18, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
36,41,none,,post_1030,"[[1031, 1129], [1301, 1456]]",1030_1100_1340,"[1030, 1100, 1340]",1440,0.6151972872757121,2.2138772015932284,-0.5781401250251277,119,60,46,13,0.423728813559322,1615197.287275712,0.1289664451586787,1.0640971983201717,"{""trend_real"": 35, ""force_real"": 15, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 38, ""stop_real"": 12, ""daily_close"": 8, ""stop_proxy"": 1}"
37,241,1320,1320.0,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1000_1030_1100,"[1000, 1030, 1100]",1340,0.6197236633351026,2.2358520563607382,-0.583082214183076,117,59,46,12,0.43103448275862066,1619723.6633351026,0.18005423796701256,1.062840965237403,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 38, ""stop_real"": 11, ""daily_close"": 8, ""stop_proxy"": 1}"
38,242,1320,1320.0,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1000_1030_1100,"[1000, 1030, 1100]",1440,0.6197236633351026,2.2358520563607382,-0.583082214183076,117,59,46,12,0.43103448275862066,1619723.6633351026,0.18005423796701256,1.062840965237403,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 38, ""stop_real"": 11, ""daily_close"": 8, ""stop_proxy"": 1}"
39,243,1320,1320.0,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1000_1030_1100,"[1000, 1030, 1100]",1455,0.6197236633351026,2.2358520563607382,-0.583082214183076,117,59,46,12,0.43103448275862066,1619723.6633351026,0.18005423796701256,1.062840965237403,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 38, ""stop_real"": 11, ""daily_close"": 8, ""stop_proxy"": 1}"
