trade_date,target_symbol,rank,momentum_score,annualized_return,r_squared,close,is_weak,candidates_json
2020-01-02,512400,1,3.7045799863462943,4.196134514339369,0.8828553931449779,0.736,False,"[{""symbol"": ""512400"", ""rank"": 1, ""momentum_score"": 3.7045799863462943, ""annualized_return"": 4.196134514339369, ""r_squared"": 0.8828553931449779, ""close"": 0.736}, {""symbol"": ""512880"", ""rank"": 2, ""momentum_score"": 3.6088434951890513, ""annualized_return"": 4.039437419688577, ""r_squared"": 0.8934025014471638, ""close"": 1.049}]"
2020-01-03,512400,1,4.535504499467588,5.03374373034738,0.901020143739934,0.748,False,"[{""symbol"": ""512400"", ""rank"": 1, ""momentum_score"": 4.535504499467588, ""annualized_return"": 5.03374373034738, ""r_squared"": 0.901020143739934, ""close"": 0.748}]"
2020-01-06,512980,1,3.748391962901532,4.247813598260681,0.882428542635759,0.905,False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 3.748391962901532, ""annualized_return"": 4.247813598260681, ""r_squared"": 0.882428542635759, ""close"": 0.905}, {""symbol"": ""512880"", ""rank"": 2, ""momentum_score"": 3.6714665275454386, ""annualized_return"": 4.071603655768866, ""r_squared"": 0.9017249314882375, ""close"": 1.045}]"
2020-01-07,512980,1,4.526429972586227,5.21642831498327,0.8677259034855047,0.933,False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 4.526429972586227, ""annualized_return"": 5.21642831498327, ""r_squared"": 0.8677259034855047, ""close"": 0.933}]"
2020-01-08,512980,1,4.757904644620897,5.437607944338256,0.8749995757923151,0.906,False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 4.757904644620897, ""annualized_return"": 5.437607944338256, ""r_squared"": 0.8749995757923151, ""close"": 0.906}]"
2020-01-09,513050,1,2.086953304585188,2.291014882156644,0.9109296150100245,1.49,False,"[{""symbol"": ""513050"", ""rank"": 1, ""momentum_score"": 2.086953304585188, ""annualized_return"": 2.291014882156644, ""r_squared"": 0.9109296150100245, ""close"": 1.49}]"
2020-01-10,513050,1,2.2326194283193024,2.453582379267988,0.9099427217868231,1.528,False,"[{""symbol"": ""513050"", ""rank"": 1, ""momentum_score"": 2.2326194283193024, ""annualized_return"": 2.453582379267988, ""r_squared"": 0.9099427217868231, ""close"": 1.528}]"
2020-01-13,513050,1,2.394027038532592,2.6359702081265284,0.9082147556721085,1.542,False,"[{""symbol"": ""513050"", ""rank"": 1, ""momentum_score"": 2.394027038532592, ""annualized_return"": 2.6359702081265284, ""r_squared"": 0.9082147556721085, ""close"": 1.542}]"
2020-01-14,513050,1,2.4074972251266233,2.6437881929648013,0.9106240929334071,1.524,False,"[{""symbol"": ""513050"", ""rank"": 1, ""momentum_score"": 2.4074972251266233, ""annualized_return"": 2.6437881929648013, ""r_squared"": 0.9106240929334071, ""close"": 1.524}]"
2020-01-15,512980,1,4.987458313767517,5.605333248747871,0.889770169308243,0.922,False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 4.987458313767517, ""annualized_return"": 5.605333248747871, ""r_squared"": 0.889770169308243, ""close"": 0.922}]"
