date,input,output,threshold,selected
2021-11-30,114,72,827397.0,"['159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516190', '516510', '516520', '518880', '562800', '588080']"
2021-12-01,114,72,881546.0,"['159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516190', '516510', '516520', '518880', '562800', '588080']"
2021-12-09,114,72,1037596.0,"['159605', '159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '562800', '588080']"
2021-12-10,114,72,1033144.0,"['159605', '159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '562800', '588080']"
2022-03-29,17,9,1132417.0,"['159980', '159985', '161226', '501018', '513030', '513100', '513500', '513520', '518880']"
2024-11-25,17,17,3516000.0,"['159502', '159509', '159518', '159529', '159980', '159985', '161226', '501018', '513030', '513100', '513290', '513310', '513400', '513500', '513520', '518880', '520830']"
2025-07-22,114,111,4194188.0,"['159206', '159218', '159227', '159323', '159326', '159363', '159502', '159509', '159516', '159518', '159529', '159566', '159583', '159605', '159611', '159638', '159667', '159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512050', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513120', '513180', '513190', '513290', '513310', '513330', '513350', '513360', '513400', '513500', '513520', '513630', '513750', '513920', '513970', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '517520', '518880', '520830', '560860', '561360', '561980', '562500', '562590', '562800', '563300', '588080', '588170', '588200', '588220', '588790']"
2025-09-04,114,113,7589501.0,"['159206', '159218', '159227', '159256', '159323', '159326', '159363', '159502', '159509', '159516', '159518', '159529', '159566', '159583', '159605', '159611', '159638', '159667', '159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512050', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513120', '513180', '513190', '513290', '513310', '513330', '513350', '513360', '513400', '513500', '513520', '513630', '513750', '513920', '513970', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '517520', '518880', '520830', '560860', '561330', '561360', '561980', '562500', '562590', '562800', '563300', '588080', '588170', '588200', '588220', '588790']"
2025-09-09,114,113,7361206.0,"['159206', '159218', '159227', '159256', '159323', '159326', '159363', '159502', '159509', '159516', '159518', '159529', '159566', '159583', '159605', '159611', '159638', '159667', '159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512050', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513120', '513180', '513190', '513290', '513310', '513330', '513350', '513360', '513400', '513500', '513520', '513630', '513750', '513920', '513970', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '517520', '518880', '520830', '560860', '561330', '561360', '561980', '562500', '562590', '562800', '563300', '588080', '588170', '588200', '588220', '588790']"
2025-11-14,114,114,5033440.0,"['159206', '159218', '159227', '159256', '159323', '159326', '159363', '159502', '159509', '159516', '159518', '159529', '159566', '159583', '159605', '159611', '159638', '159667', '159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512050', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513120', '513180', '513190', '513290', '513310', '513330', '513350', '513360', '513400', '513500', '513520', '513630', '513750', '513920', '513970', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516190', '516510', '516520', '517520', '518880', '520830', '560860', '561330', '561360', '561980', '562500', '562590', '562800', '563300', '588080', '588170', '588200', '588220', '588790']"
2026-07-02,114,114,7649119.0,"['159206', '159218', '159227', '159256', '159323', '159326', '159363', '159502', '159509', '159516', '159518', '159529', '159566', '159583', '159605', '159611', '159638', '159667', '159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512050', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513120', '513180', '513190', '513290', '513310', '513330', '513350', '513360', '513400', '513500', '513520', '513630', '513750', '513920', '513970', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516190', '516510', '516520', '517520', '518880', '520830', '560860', '561330', '561360', '561980', '562500', '562590', '562800', '563300', '588080', '588170', '588200', '588220', '588790']"
