trade_date,jq_top10_raw,is_weak,candidates_json,local_target,jq_target,target_match,local_top1
2020-01-02,"512400.XSHG:3.7378,512880.XSHG:3.6874,512980.XSHG:2.8606,159949.XSHE:1.6300,512480.XSHG:1.5811,512200.XSHG:1.4867,512100.XSHG:1.3937,510900.XSHG:1.3137,512070.XSHG:1.2236,510500.XSHG:1.0694",False,"[{""symbol"": ""512400"", ""rank"": 1, ""momentum_score"": 3.7045799863462943, ""annualized_return"": 4.196134514339369, ""r_squared"": 0.8828553931449779, ""close"": 0.736}, {""symbol"": ""512000"", ""rank"": 2, ""momentum_score"": 3.67862650306057, ""annualized_return"": 4.127660460760805, ""r_squared"": 0.8912134459777077, ""close"": 0.5021335676625659}, {""symbol"": ""512880"", ""rank"": 3, ""momentum_score"": 3.6088434951890513, ""annualized_return"": 4.039437419688577, ""r_squared"": 0.8934025014471638, ""close"": 1.049}]",512400,512400,True,512400
2020-01-03,"512400.XSHG:4.5161,512880.XSHG:3.6553,512980.XSHG:3.1600,159949.XSHE:1.5646,512100.XSHG:1.4486,512200.XSHG:1.4399,510900.XSHG:1.4229,512070.XSHG:1.2680,512480.XSHG:1.1753,510500.XSHG:1.1334",False,"[{""symbol"": ""512400"", ""rank"": 1, ""momentum_score"": 4.535504499467588, ""annualized_return"": 5.03374373034738, ""r_squared"": 0.901020143739934, ""close"": 0.748}]",512400,512400,True,512400
2020-01-06,"512880.XSHG:3.9295,512980.XSHG:3.8396,159949.XSHE:1.7197,512100.XSHG:1.6473,512200.XSHG:1.4247,512070.XSHG:1.4050,510900.XSHG:1.3821,510500.XSHG:1.3062,501018.XSHG:1.2484,512480.XSHG:1.1625",False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 3.748391962901532, ""annualized_return"": 4.247813598260681, ""r_squared"": 0.882428542635759, ""close"": 0.905}, {""symbol"": ""512000"", ""rank"": 2, ""momentum_score"": 3.7343156899410763, ""annualized_return"": 4.1530524121539765, ""r_squared"": 0.89917374483706, ""close"": 0.5006256590509667}, {""symbol"": ""512880"", ""rank"": 3, ""momentum_score"": 3.6714665275454386, ""annualized_return"": 4.071603655768866, ""r_squared"": 0.9017249314882375, ""close"": 1.045}]",512980,512880,False,512980
2020-01-07,"512980.XSHG:4.3718,512880.XSHG:3.4307,512100.XSHG:1.7286,159949.XSHE:1.6369,510500.XSHG:1.3582,512070.XSHG:1.2573,512200.XSHG:1.2533,159915.XSHE:1.1941,510900.XSHG:1.1442,161226.XSHE:1.0867",False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 4.526429972586227, ""annualized_return"": 5.21642831498327, ""r_squared"": 0.8677259034855047, ""close"": 0.933}]",512980,512980,True,512980
2020-01-08,"512880.XSHG:3.1470,512100.XSHG:1.8733,159949.XSHE:1.6333,510500.XSHG:1.4829,161226.XSHE:1.2970,159915.XSHE:1.2911,512070.XSHG:1.1696,512200.XSHG:1.1531,512710.XSHG:1.0666,510300.XSHG:0.9812",False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 4.757904644620897, ""annualized_return"": 5.437607944338256, ""r_squared"": 0.8749995757923151, ""close"": 0.906}]",512980,512880,False,512980
2020-01-09,"512980.XSHG:4.9051,512100.XSHG:1.8458,159949.XSHE:1.6160,510500.XSHG:1.4693,159915.XSHE:1.3463,161226.XSHE:1.1935,512710.XSHG:1.1215,512200.XSHG:0.9380,510300.XSHG:0.9320,512070.XSHG:0.9306",False,"[{""symbol"": ""510410"", ""rank"": 1, ""momentum_score"": 3.235449739497248, ""annualized_return"": 3.6358321407219556, ""r_squared"": 0.8898787441971385, ""close"": 0.657}]",510410,512980,False,510410
2020-01-10,"512100.XSHG:1.9056,159949.XSHE:1.6872,510500.XSHG:1.4652,159915.XSHE:1.4314,512710.XSHG:1.1326,513100.XSHG:1.0159,510300.XSHG:0.9127,512670.XSHG:0.9037,512660.XSHG:0.8635,512070.XSHG:0.8022",False,"[{""symbol"": ""510410"", ""rank"": 1, ""momentum_score"": 2.9977632167014026, ""annualized_return"": 3.394350943752591, ""r_squared"": 0.8831624267428445, ""close"": 0.651}]",510410,512100,False,510410
2020-01-13,"512100.XSHG:1.9912,512880.XSHG:1.8006,159949.XSHE:1.7904,159915.XSHE:1.6129,510500.XSHG:1.5215,512710.XSHG:1.1745,513100.XSHG:1.1449,512670.XSHG:0.9868,512660.XSHG:0.9606,510300.XSHG:0.9156",False,"[{""symbol"": ""512580"", ""rank"": 1, ""momentum_score"": 2.7816785329858926, ""annualized_return"": 3.0399287208091623, ""r_squared"": 0.9150472884263783, ""close"": 0.845}, {""symbol"": ""510410"", ""rank"": 2, ""momentum_score"": 2.7398658207162825, ""annualized_return"": 3.1419343746131334, ""r_squared"": 0.8720315239091021, ""close"": 0.653}]",512580,512100,False,512580
2020-01-14,"512100.XSHG:2.1147,159949.XSHE:2.0117,159915.XSHE:1.8197,512880.XSHG:1.7524,510500.XSHG:1.6614,513100.XSHG:1.2794,512710.XSHG:1.2121,512670.XSHG:1.0732,512660.XSHG:1.0693,512480.XSHG:1.0360",False,"[{""symbol"": ""510410"", ""rank"": 1, ""momentum_score"": 2.5485232095795243, ""annualized_return"": 2.949181299563782, ""r_squared"": 0.8641459953501266, ""close"": 0.658}, {""symbol"": ""513050"", ""rank"": 2, ""momentum_score"": 2.4074972251266233, ""annualized_return"": 2.6437881929648013, ""r_squared"": 0.9106240929334071, ""close"": 1.524}]",510410,512100,False,510410
2020-01-15,"512980.XSHG:4.8152,512100.XSHG:2.0317,159949.XSHE:1.9116,159915.XSHE:1.8153,510500.XSHG:1.5952,513100.XSHG:1.4409,512880.XSHG:1.2892,512480.XSHG:1.2878,512710.XSHG:1.0468,159928.XSHE:0.9838",False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 4.987458313767517, ""annualized_return"": 5.605333248747871, ""r_squared"": 0.889770169308243, ""close"": 0.922}]",512980,512980,True,512980
