trade_date,liquidity_threshold,source,lookback_days,daily_total_mean
2019-10-08,10000000.0,fallback_insufficient_history,0,0.0
2019-10-09,10000000.0,fallback_insufficient_history,1,11414547306.986197
2019-10-10,10000000.0,fallback_insufficient_history,2,11187949108.340136
2019-10-11,572303.2826979056,joinquant_formula,3,11446065653.95811
2019-10-14,591583.4510243221,joinquant_formula,3,11831669020.48644
2019-10-15,653738.9091304647,joinquant_formula,3,13074778182.609293
2019-10-16,657356.022715774,joinquant_formula,3,13147120454.315481
2019-10-17,636179.8325245167,joinquant_formula,3,12723596650.490335
2019-10-18,563762.2462452663,joinquant_formula,3,11275244924.905327
2019-10-21,588682.9849816004,joinquant_formula,3,11773659699.63201
2019-10-22,622427.5669340225,joinquant_formula,3,12448551338.680449
2019-10-23,635875.7900251545,joinquant_formula,3,12717515800.50309
2019-10-24,582300.4111398311,joinquant_formula,3,11646008222.796621
2019-10-25,557145.2010953069,joinquant_formula,3,11142904021.906137
2019-10-28,578132.2487968376,joinquant_formula,3,11562644975.936752
2019-10-29,634546.8872346119,joinquant_formula,3,12690937744.692238
2019-10-30,634460.959857349,joinquant_formula,3,12689219197.14698
2019-10-31,595016.2157645259,joinquant_formula,3,11900324315.290518
2019-11-01,548509.3930633487,joinquant_formula,3,10970187861.266973
2019-11-04,538165.6219182631,joinquant_formula,3,10763312438.365263
2019-11-05,560401.0443317719,joinquant_formula,3,11208020886.635437
2019-11-06,617296.0943250655,joinquant_formula,3,12345921886.50131
2019-11-07,655811.7167385727,joinquant_formula,3,13116234334.771454
2019-11-08,668855.0027907246,joinquant_formula,3,13377100055.814493
2019-11-11,662849.4663083447,joinquant_formula,3,13256989326.166895
2019-11-12,662508.2324258651,joinquant_formula,3,13250164648.517303
2019-11-13,659725.9839796002,joinquant_formula,3,13194519679.592005
2019-11-14,611260.7480940088,joinquant_formula,3,12225214961.880175
2019-11-15,573856.0926451366,joinquant_formula,3,11477121852.902733
2019-11-18,547718.9441483357,joinquant_formula,3,10954378882.966715
