date,weak,pool,passed,target,top10,items,top10_raw
2021-07-21,True,9,0,511880,[],[],
2021-08-31,False,67,17,512400,"['512400', '515790', '510880', '512670', '512660', '512890', '159766', '512880', '512710', '512100']","[{'code': '512400', 'score': 2.2635, 'annualized': 3.6485, 'r2': 0.6204, 'price': 1.63, 'today_volume': 582400.0}, {'code': '515790', 'score': 2.2473, 'annualized': 4.1181, 'r2': 0.5457, 'price': 1.858, 'today_volume': 1149900.0}, {'code': '510880', 'score': 1.7747, 'annualized': 2.055, 'r2': 0.8636, 'price': 3.078, 'today_volume': 50900.0}, {'code': '512670', 'score': 1.6421, 'annualized': 2.5835, 'r2': 0.6356, 'price': 1.149, 'today_volume': 974000.0}, {'code': '512660', 'score': 1.5002, 'annualized': 2.3062, 'r2': 0.6505, 'price': 1.388, 'today_volume': 624100.0}, {'code': '512890', 'score': 1.4826, 'annualized': 1.7003, 'r2': 0.8719, 'price': 1.558, 'today_volume': nan}, {'code': '159766', 'score': 1.0206, 'annualized': 1.5229, 'r2': 0.6702, 'price': 0.917, 'today_volume': 3100.0}, {'code': '512880', 'score': 0.8836, 'annualized': 1.352, 'r2': 0.6536, 'price': 1.104, 'today_volume': 19392800.0}, {'code': '512710', 'score': 0.8529, 'annualized': 1.56, 'r2': 0.5467, 'price': 0.991, 'today_volume': 106200.0}, {'code': '512100', 'score': 0.6183, 'annualized': 0.9507, 'r2': 0.6504, 'price': 1.114, 'today_volume': 146300.0}]",512400.SH:2.2635:3.6485:0.6204:1.6300:582400|515790.SH:2.2473:4.1181:0.5457:1.8580:1149900|510880.SH:1.7747:2.0550:0.8636:3.0780:50900|512670.SH:1.6421:2.5835:0.6356:1.1490:974000|512660.SH:1.5002:2.3062:0.6505:1.3880:624100|512890.SH:1.4826:1.7003:0.8719:1.5580:nan|159766.SZ:1.0206:1.5229:0.6702:0.9170:3100|512880.SH:0.8836:1.3520:0.6536:1.1040:19392800|512710.SH:0.8529:1.5600:0.5467:0.9910:106200|512100.SH:0.6183:0.9507:0.6504:1.1140:146300
2021-09-10,False,67,18,512890,"['512890', '159766', '512880', '512400', '513090', '510500', '159981', '513520', '512070', '512980']","[{'code': '512890', 'score': 4.825, 'annualized': 5.5205, 'r2': 0.874, 'price': 1.733, 'today_volume': nan}, {'code': '159766', 'score': 3.8612, 'annualized': 4.1321, 'r2': 0.9344, 'price': 1.012, 'today_volume': 87000.0}, {'code': '512880', 'score': 3.2298, 'annualized': 3.9311, 'r2': 0.8216, 'price': 1.254, 'today_volume': 4261000.0}, {'code': '512400', 'score': 2.7499, 'annualized': 3.8962, 'r2': 0.7058, 'price': 1.664, 'today_volume': 130200.0}, {'code': '513090', 'score': 1.7348, 'annualized': 2.3125, 'r2': 0.7502, 'price': 1.399, 'today_volume': 1179800.0}, {'code': '510500', 'score': 1.3325, 'annualized': 1.6967, 'r2': 0.7854, 'price': 8.553, 'today_volume': 3365700.0}, {'code': '159981', 'score': 1.2251, 'annualized': 1.6873, 'r2': 0.7261, 'price': 1.447, 'today_volume': 800.0}, {'code': '513520', 'score': 1.0993, 'annualized': 1.7145, 'r2': 0.6412, 'price': 1.305, 'today_volume': nan}, {'code': '512070', 'score': 1.0478, 'annualized': 1.6152, 'r2': 0.6487, 'price': 2.318, 'today_volume': 212400.0}, {'code': '512980', 'score': 0.9874, 'annualized': 1.7291, 'r2': 0.571, 'price': 0.739, 'today_volume': 66000.0}]",512890.SH:4.8250:5.5205:0.8740:1.7330:nan|159766.SZ:3.8612:4.1321:0.9344:1.0120:87000|512880.SH:3.2298:3.9311:0.8216:1.2540:4261000|512400.SH:2.7499:3.8962:0.7058:1.6640:130200|513090.SH:1.7348:2.3125:0.7502:1.3990:1179800|510500.SH:1.3325:1.6967:0.7854:8.5530:3365700|159981.SZ:1.2251:1.6873:0.7261:1.4470:800|513520.SH:1.0993:1.7145:0.6412:1.3050:nan|512070.SH:1.0478:1.6152:0.6487:2.3180:212400|512980.SH:0.9874:1.7291:0.5710:0.7390:66000
2021-11-30,False,70,27,516520,"['516520', '515880', '512670', '562800', '512660', '512100', '159732', '515050', '159851', '512480']","[{'code': '516520', 'score': 2.2729, 'annualized': 2.4696, 'r2': 0.9204, 'price': 1.237, 'today_volume': nan}, {'code': '515880', 'score': 2.12, 'annualized': 2.452, 'r2': 0.8646, 'price': 1.108, 'today_volume': 26000.0}, {'code': '512670', 'score': 2.0207, 'annualized': 2.5863, 'r2': 0.7813, 'price': 1.227, 'today_volume': 57700.0}, {'code': '562800', 'score': 1.7258, 'annualized': 3.5803, 'r2': 0.482, 'price': 1.007, 'today_volume': 1500.0}, {'code': '512660', 'score': 1.6034, 'annualized': 2.0934, 'r2': 0.7659, 'price': 1.485, 'today_volume': 982400.0}, {'code': '512100', 'score': 1.5905, 'annualized': 1.7821, 'r2': 0.8925, 'price': 1.174, 'today_volume': 3270100.0}, {'code': '159732', 'score': 1.2273, 'annualized': 1.459, 'r2': 0.8412, 'price': 1.035, 'today_volume': 2000.0}, {'code': '515050', 'score': 1.1561, 'annualized': 1.4657, 'r2': 0.7888, 'price': 1.208, 'today_volume': 56900.0}, {'code': '159851', 'score': 1.1263, 'annualized': 1.4662, 'r2': 0.7682, 'price': 1.199, 'today_volume': 1200.0}, {'code': '512480', 'score': 0.9862, 'annualized': 1.3561, 'r2': 0.7272, 'price': 1.372, 'today_volume': 1022500.0}]",516520.SH:2.2729:2.4696:0.9204:1.2370:nan|515880.SH:2.1200:2.4520:0.8646:1.1080:26000|512670.SH:2.0207:2.5863:0.7813:1.2270:57700|562800.SH:1.7258:3.5803:0.4820:1.0070:1500|512660.SH:1.6034:2.0934:0.7659:1.4850:982400|512100.SH:1.5905:1.7821:0.8925:1.1740:3270100|159732.SZ:1.2273:1.4590:0.8412:1.0350:2000|515050.SH:1.1561:1.4657:0.7888:1.2080:56900|159851.SZ:1.1263:1.4662:0.7682:1.1990:1200|512480.SH:0.9862:1.3561:0.7272:1.3720:1022500
2021-12-01,False,70,29,562800,"['562800', '516520', '515880', '512670', '512100', '159851', '512660', '159732', '515050', '512480']","[{'code': '562800', 'score': 2.6308, 'annualized': 4.2578, 'r2': 0.6179, 'price': 0.988, 'today_volume': 35000.0}, {'code': '516520', 'score': 1.9672, 'annualized': 2.1955, 'r2': 0.896, 'price': 1.22, 'today_volume': 1400.0}, {'code': '515880', 'score': 1.8475, 'annualized': 2.1958, 'r2': 0.8414, 'price': 1.112, 'today_volume': 577100.0}, {'code': '512670', 'score': 1.7536, 'annualized': 2.2798, 'r2': 0.7692, 'price': 1.198, 'today_volume': 22900.0}, {'code': '512100', 'score': 1.7064, 'annualized': 1.8348, 'r2': 0.93, 'price': 1.166, 'today_volume': 700.0}, {'code': '159851', 'score': 1.4902, 'annualized': 1.7744, 'r2': 0.8399, 'price': 1.199, 'today_volume': 123500.0}, {'code': '512660', 'score': 1.3304, 'annualized': 1.7931, 'r2': 0.7419, 'price': 1.452, 'today_volume': 1110600.0}, {'code': '159732', 'score': 0.9851, 'annualized': 1.2479, 'r2': 0.7894, 'price': 1.029, 'today_volume': nan}, {'code': '515050', 'score': 0.8968, 'annualized': 1.2252, 'r2': 0.732, 'price': 1.207, 'today_volume': 463500.0}, {'code': '512480', 'score': 0.8588, 'annualized': 1.2236, 'r2': 0.7018, 'price': 1.363, 'today_volume': 1273200.0}]",562800.SH:2.6308:4.2578:0.6179:0.9880:35000|516520.SH:1.9672:2.1955:0.8960:1.2200:1400|515880.SH:1.8475:2.1958:0.8414:1.1120:577100|512670.SH:1.7536:2.2798:0.7692:1.1980:22900|512100.SH:1.7064:1.8348:0.9300:1.1660:700|159851.SZ:1.4902:1.7744:0.8399:1.1990:123500|512660.SH:1.3304:1.7931:0.7419:1.4520:1110600|159732.SZ:0.9851:1.2479:0.7894:1.0290:nan|515050.SH:0.8968:1.2252:0.7320:1.2070:463500|512480.SH:0.8588:1.2236:0.7018:1.3630:1273200
2021-12-09,True,9,2,159985,"['159985', '159980']","[{'code': '159985', 'score': 0.2376, 'annualized': 0.4124, 'r2': 0.5761, 'price': 1.195, 'today_volume': 2000.0}, {'code': '159980', 'score': 0.002, 'annualized': 0.0631, 'r2': 0.0322, 'price': 1.452, 'today_volume': 8100.0}]",159985.SZ:0.2376:0.4124:0.5761:1.1950:2000|159980.SZ:0.0020:0.0631:0.0322:1.4520:8100
2021-12-10,False,70,23,512690,"['512690', '562800', '515210', '159851', '515220', '515170', '159732', '512400', '516520', '512890']","[{'code': '512690', 'score': 2.1219, 'annualized': 2.6759, 'r2': 0.793, 'price': 1.392, 'today_volume': 1344400.0}, {'code': '562800', 'score': 1.8819, 'annualized': 2.8522, 'r2': 0.6598, 'price': 0.981, 'today_volume': 30800.0}, {'code': '515210', 'score': 1.7942, 'annualized': 2.0928, 'r2': 0.8573, 'price': 1.723, 'today_volume': 64100.0}, {'code': '159851', 'score': 1.2505, 'annualized': 1.5034, 'r2': 0.8318, 'price': 1.189, 'today_volume': nan}, {'code': '515220', 'score': 1.1883, 'annualized': 2.0158, 'r2': 0.5895, 'price': 1.968, 'today_volume': 62600.0}, {'code': '515170', 'score': 0.8732, 'annualized': 1.3543, 'r2': 0.6447, 'price': 0.926, 'today_volume': 758700.0}, {'code': '159732', 'score': 0.7776, 'annualized': 1.0577, 'r2': 0.7352, 'price': 1.08, 'today_volume': 1000.0}, {'code': '512400', 'score': 0.7169, 'annualized': 1.1407, 'r2': 0.6285, 'price': 1.456, 'today_volume': 44500.0}, {'code': '516520', 'score': 0.63, 'annualized': 0.9212, 'r2': 0.6839, 'price': 1.237, 'today_volume': nan}, {'code': '512890', 'score': 0.6269, 'annualized': 0.8537, 'r2': 0.7343, 'price': 0.782, 'today_volume': nan}]",512690.SH:2.1219:2.6759:0.7930:1.3920:1344400|562800.SH:1.8819:2.8522:0.6598:0.9810:30800|515210.SH:1.7942:2.0928:0.8573:1.7230:64100|159851.SZ:1.2505:1.5034:0.8318:1.1890:nan|515220.SH:1.1883:2.0158:0.5895:1.9680:62600|515170.SH:0.8732:1.3543:0.6447:0.9260:758700|159732.SZ:0.7776:1.0577:0.7352:1.0800:1000|512400.SH:0.7169:1.1407:0.6285:1.4560:44500|516520.SH:0.6300:0.9212:0.6839:1.2370:nan|512890.SH:0.6269:0.8537:0.7343:0.7820:nan
2022-03-29,True,9,4,513500,"['513500', '513100', '159980', '513030']","[{'code': '513500', 'score': 0.8784, 'annualized': 1.5001, 'r2': 0.5855, 'price': 2.735, 'today_volume': 1500400.0}, {'code': '513100', 'score': 0.7007, 'annualized': 1.7337, 'r2': 0.4041, 'price': 0.974, 'today_volume': 58500.0}, {'code': '159980', 'score': 0.3885, 'annualized': 1.0175, 'r2': 0.3818, 'price': 1.72, 'today_volume': 3100.0}, {'code': '513030', 'score': 0.0047, 'annualized': 0.4967, 'r2': 0.0095, 'price': 1.037, 'today_volume': 31000.0}]",513500.SH:0.8784:1.5001:0.5855:2.7350:1500400|513100.SH:0.7007:1.7337:0.4041:0.9740:58500|159980.SZ:0.3885:1.0175:0.3818:1.7200:3100|513030.SH:0.0047:0.4967:0.0095:1.0370:31000
2024-11-25,True,17,4,159529,"['159529', '513500', '513400', '513100']","[{'code': '159529', 'score': 2.2954, 'annualized': 2.7286, 'r2': 0.8413, 'price': 1.305, 'today_volume': 957200.0}, {'code': '513500', 'score': 1.0848, 'annualized': 1.4397, 'r2': 0.7535, 'price': 2.169, 'today_volume': 431000.0}, {'code': '513400', 'score': 0.6879, 'annualized': 1.0862, 'r2': 0.6333, 'price': 1.171, 'today_volume': 2146000.0}, {'code': '513100', 'score': 0.4349, 'annualized': 0.7389, 'r2': 0.5887, 'price': 1.534, 'today_volume': 232100.0}]",159529.SZ:2.2954:2.7286:0.8413:1.3050:957200|513500.SH:1.0848:1.4397:0.7535:2.1690:431000|513400.SH:0.6879:1.0862:0.6333:1.1710:2146000|513100.SH:0.4349:0.7389:0.5887:1.5340:232100
2025-07-22,False,109,84,515210,"['515210', '562800', '515790', '159949', '159509', '516510', '560860', '515120', '159992', '159915']","[{'code': '515210', 'score': 3.9306, 'annualized': 4.3425, 'r2': 0.9051, 'price': 1.407, 'today_volume': 2106800.0}, {'code': '562800', 'score': 3.3494, 'annualized': 3.8981, 'r2': 0.8592, 'price': 0.615, 'today_volume': 109100.0}, {'code': '515790', 'score': 3.3237, 'annualized': 3.6565, 'r2': 0.909, 'price': 0.743, 'today_volume': 2115300.0}, {'code': '159949', 'score': 2.9899, 'annualized': 3.1944, 'r2': 0.936, 'price': 1.044, 'today_volume': 270400.0}, {'code': '159509', 'score': 2.7419, 'annualized': 2.9037, 'r2': 0.9443, 'price': 1.759, 'today_volume': 3130800.0}, {'code': '516510', 'score': 2.6727, 'annualized': 3.2596, 'r2': 0.82, 'price': 1.266, 'today_volume': 146000.0}, {'code': '560860', 'score': 2.4976, 'annualized': 3.0064, 'r2': 0.8308, 'price': 1.0, 'today_volume': 841500.0}, {'code': '515120', 'score': 2.4832, 'annualized': 2.9219, 'r2': 0.8499, 'price': 0.66, 'today_volume': 191700.0}, {'code': '159992', 'score': 2.4328, 'annualized': 2.8619, 'r2': 0.8501, 'price': 0.881, 'today_volume': 282200.0}, {'code': '159915', 'score': 2.3503, 'annualized': 2.5305, 'r2': 0.9288, 'price': 2.287, 'today_volume': 2538900.0}]",515210.SH:3.9306:4.3425:0.9051:1.4070:2106800|562800.SH:3.3494:3.8981:0.8592:0.6150:109100|515790.SH:3.3237:3.6565:0.9090:0.7430:2115300|159949.SZ:2.9899:3.1944:0.9360:1.0440:270400|159509.SZ:2.7419:2.9037:0.9443:1.7590:3130800|516510.SH:2.6727:3.2596:0.8200:1.2660:146000|560860.SH:2.4976:3.0064:0.8308:1.0000:841500|515120.SH:2.4832:2.9219:0.8499:0.6600:191700|159992.SZ:2.4328:2.8619:0.8501:0.8810:282200|159915.SZ:2.3503:2.5305:0.9288:2.2870:2538900
2025-09-04,False,111,37,515790,"['515790', '515030', '516520', '512980', '512050', '159870', '510500', '510300', '562500', '159869']","[{'code': '515790', 'score': 4.8425, 'annualized': 5.1055, 'r2': 0.9485, 'price': 0.864, 'today_volume': 9736700.0}, {'code': '515030', 'score': 4.4418, 'annualized': 4.6599, 'r2': 0.9532, 'price': 1.505, 'today_volume': 140300.0}, {'code': '516520', 'score': 3.891, 'annualized': 4.6844, 'r2': 0.8306, 'price': 1.209, 'today_volume': 84100.0}, {'code': '512980', 'score': 2.4569, 'annualized': 2.8553, 'r2': 0.8605, 'price': 0.972, 'today_volume': 203600.0}, {'code': '512050', 'score': 2.2712, 'annualized': 2.5696, 'r2': 0.8839, 'price': 1.091, 'today_volume': 24873900.0}, {'code': '159870', 'score': 2.1288, 'annualized': 2.5466, 'r2': 0.836, 'price': 0.662, 'today_volume': 3760700.0}, {'code': '510500', 'score': 2.0927, 'annualized': 2.4856, 'r2': 0.8419, 'price': 6.831, 'today_volume': 1296332.0}, {'code': '510300', 'score': 1.94, 'annualized': 2.2029, 'r2': 0.8807, 'price': 4.463, 'today_volume': 5837600.0}, {'code': '562500', 'score': 1.8101, 'annualized': 2.3063, 'r2': 0.7848, 'price': 0.98, 'today_volume': 5146600.0}, {'code': '159869', 'score': 1.3493, 'annualized': 1.8442, 'r2': 0.7316, 'price': 1.422, 'today_volume': 1087000.0}]",515790.SH:4.8425:5.1055:0.9485:0.8640:9736700|515030.SH:4.4418:4.6599:0.9532:1.5050:140300|516520.SH:3.8910:4.6844:0.8306:1.2090:84100|512980.SH:2.4569:2.8553:0.8605:0.9720:203600|512050.SH:2.2712:2.5696:0.8839:1.0910:24873900|159870.SZ:2.1288:2.5466:0.8360:0.6620:3760700|510500.SH:2.0927:2.4856:0.8419:6.8310:1296332|510300.SH:1.9400:2.2029:0.8807:4.4630:5837600|562500.SH:1.8101:2.3063:0.7848:0.9800:5146600|159869.SZ:1.3493:1.8442:0.7316:1.4220:1087000
2025-09-09,False,111,45,562800,"['562800', '512480', '159732', '159967', '516510', '159870', '588220', '516520', '159667', '513310']","[{'code': '562800', 'score': 4.6751, 'annualized': 5.5655, 'r2': 0.84, 'price': 0.762, 'today_volume': 106300.0}, {'code': '512480', 'score': 4.0629, 'annualized': 6.6052, 'r2': 0.6151, 'price': 1.259, 'today_volume': 822400.0}, {'code': '159732', 'score': 3.9763, 'annualized': 5.1962, 'r2': 0.7652, 'price': 1.015, 'today_volume': 1809900.0}, {'code': '159967', 'score': 3.8535, 'annualized': 4.7992, 'r2': 0.8029, 'price': 0.566, 'today_volume': 178600.0}, {'code': '516510', 'score': 3.3042, 'annualized': 5.3389, 'r2': 0.6189, 'price': 1.506, 'today_volume': 239900.0}, {'code': '159870', 'score': 2.3995, 'annualized': 2.812, 'r2': 0.8533, 'price': 0.706, 'today_volume': 1813300.0}, {'code': '588220', 'score': 2.3791, 'annualized': 3.2305, 'r2': 0.7364, 'price': 1.277, 'today_volume': 245600.0}, {'code': '516520', 'score': 2.3071, 'annualized': 3.1167, 'r2': 0.7402, 'price': 1.259, 'today_volume': 1279300.0}, {'code': '159667', 'score': 2.2732, 'annualized': 2.8982, 'r2': 0.7843, 'price': 1.427, 'today_volume': 800.0}, {'code': '513310', 'score': 2.253, 'annualized': 3.2274, 'r2': 0.6981, 'price': 1.894, 'today_volume': 1000100.0}]",562800.SH:4.6751:5.5655:0.8400:0.7620:106300|512480.SH:4.0629:6.6052:0.6151:1.2590:822400|159732.SZ:3.9763:5.1962:0.7652:1.0150:1809900|159967.SZ:3.8535:4.7992:0.8029:0.5660:178600|516510.SH:3.3042:5.3389:0.6189:1.5060:239900|159870.SZ:2.3995:2.8120:0.8533:0.7060:1813300|588220.SH:2.3791:3.2305:0.7364:1.2770:245600|516520.SH:2.3071:3.1167:0.7402:1.2590:1279300|159667.SZ:2.2732:2.8982:0.7843:1.4270:800|513310.SH:2.2530:3.2274:0.6981:1.8940:1000100
2025-11-14,False,112,31,159766,"['159766', '159326', '513310', '513290', '159566', '159870', '513190', '561360', '513920', '513630']","[{'code': '159766', 'score': 2.9445, 'annualized': 3.4986, 'r2': 0.8416, 'price': 0.801, 'today_volume': 1554100.0}, {'code': '159326', 'score': 2.5051, 'annualized': 3.5758, 'r2': 0.7006, 'price': 1.504, 'today_volume': 180700.0}, {'code': '513310', 'score': 2.0516, 'annualized': 3.1589, 'r2': 0.6495, 'price': 2.595, 'today_volume': 1432000.0}, {'code': '513290', 'score': 1.884, 'annualized': 2.1805, 'r2': 0.864, 'price': 1.475, 'today_volume': 461700.0}, {'code': '159566', 'score': 1.6194, 'annualized': 2.3318, 'r2': 0.6945, 'price': 2.216, 'today_volume': 351600.0}, {'code': '159870', 'score': 1.5716, 'annualized': 2.6416, 'r2': 0.595, 'price': 0.784, 'today_volume': 1491700.0}, {'code': '513190', 'score': 1.5454, 'annualized': 1.7516, 'r2': 0.8823, 'price': 1.845, 'today_volume': 240100.0}, {'code': '561360', 'score': 1.3303, 'annualized': 1.512, 'r2': 0.8798, 'price': 1.213, 'today_volume': 2900.0}, {'code': '513920', 'score': 1.1685, 'annualized': 1.2989, 'r2': 0.8996, 'price': 1.713, 'today_volume': 182100.0}, {'code': '513630', 'score': 1.0791, 'annualized': 1.2651, 'r2': 0.853, 'price': 1.698, 'today_volume': 3575400.0}]",159766.SZ:2.9445:3.4986:0.8416:0.8010:1554100|159326.SZ:2.5051:3.5758:0.7006:1.5040:180700|513310.SH:2.0516:3.1589:0.6495:2.5950:1432000|513290.SH:1.8840:2.1805:0.8640:1.4750:461700|159566.SZ:1.6194:2.3318:0.6945:2.2160:351600|159870.SZ:1.5716:2.6416:0.5950:0.7840:1491700|513190.SH:1.5454:1.7516:0.8823:1.8450:240100|561360.SH:1.3303:1.5120:0.8798:1.2130:2900|513920.SH:1.1685:1.2989:0.8996:1.7130:182100|513630.SH:1.0791:1.2651:0.8530:1.6980:3575400
2026-07-02,False,112,9,513290,"['513290', '512880', '513520', '510500', '562800', '159870', '512070', '512100', '513400']","[{'code': '513290', 'score': 3.0654, 'annualized': 4.5367, 'r2': 0.6757, 'price': 1.644, 'today_volume': 3517700.0}, {'code': '512880', 'score': 2.8015, 'annualized': 3.7138, 'r2': 0.7543, 'price': 1.155, 'today_volume': 18948200.0}, {'code': '513520', 'score': 1.5339, 'annualized': 2.4893, 'r2': 0.6162, 'price': 2.427, 'today_volume': 389100.0}, {'code': '510500', 'score': 1.2811, 'annualized': 2.1016, 'r2': 0.6096, 'price': 9.01, 'today_volume': 269200.0}, {'code': '562800', 'score': 1.233, 'annualized': 2.4821, 'r2': 0.4968, 'price': 1.155, 'today_volume': 229800.0}, {'code': '159870', 'score': 0.9209, 'annualized': 1.606, 'r2': 0.5734, 'price': 0.891, 'today_volume': 1072700.0}, {'code': '512070', 'score': 0.7621, 'annualized': 1.2186, 'r2': 0.6253, 'price': 0.807, 'today_volume': 2960600.0}, {'code': '512100', 'score': 0.6026, 'annualized': 1.1598, 'r2': 0.5195, 'price': 3.563, 'today_volume': 668900.0}, {'code': '513400', 'score': 0.2303, 'annualized': 0.4613, 'r2': 0.4992, 'price': 1.301, 'today_volume': 94600.0}]",513290.SH:3.0654:4.5367:0.6757:1.6440:3517700|512880.SH:2.8015:3.7138:0.7543:1.1550:18948200|513520.SH:1.5339:2.4893:0.6162:2.4270:389100|510500.SH:1.2811:2.1016:0.6096:9.0100:269200|562800.SH:1.2330:2.4821:0.4968:1.1550:229800|159870.SZ:0.9209:1.6060:0.5734:0.8910:1072700|512070.SH:0.7621:1.2186:0.6253:0.8070:2960600|512100.SH:0.6026:1.1598:0.5195:3.5630:668900|513400.SH:0.2303:0.4613:0.4992:1.3010:94600
