date,ths_input,ths_output,ths_threshold,ths_selected,jq_input,jq_output,jq_threshold,jq_selected,output_diff,selected_overlap
2021-07-21,17,9,873495.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030']",17,9,886234.0,"['159980', '159985', '161226', '501018', '513030', '513100', '513500', '513520', '518880']",0,9
2021-08-31,114,67,956084.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030', '513090', '513180', '513330', '510900', '511380', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '510760', '515880', '159981', '512880', '512480', '159870', '512400', '159755', '159992', '159995', '512890', '515220', '159819', '512800', '512690', '515050', '512170', '159869', '512070', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '515030', '159766', '159852', '159865', '512980', '159851', '512200', '159732', '516510', '159840', '159998', '159825', '512670', '159883', '515210', '515400', '515170', '516520', '513360']",114,69,972838.0,"['159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']",-2,67
2021-09-10,114,67,1011177.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030', '513090', '513180', '513330', '510900', '511380', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '510760', '515880', '159981', '512880', '512480', '159870', '512400', '159755', '159992', '159995', '512890', '515220', '159819', '512800', '512690', '515050', '512170', '159869', '512070', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '515030', '159766', '159852', '159865', '512980', '159851', '512200', '159732', '516510', '159840', '159998', '159825', '512670', '159883', '515210', '515400', '515170', '516520', '513360']",114,69,1021064.0,"['159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']",-2,67
2021-11-30,114,70,809197.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030', '513090', '513180', '513330', '159892', '510900', '511380', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '510760', '515880', '159981', '512880', '512480', '159870', '512400', '159755', '159992', '159995', '512890', '515220', '159819', '512800', '512690', '515050', '512170', '159869', '512070', '562800', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '515030', '159766', '159852', '159865', '512980', '159851', '512200', '159732', '516510', '159840', '159998', '159825', '512670', '159883', '515210', '515400', '515170', '516520', '513360', '516190']",114,72,827397.0,"['159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516190', '516510', '516520', '518880', '562800', '588080']",-2,70
2021-12-01,114,70,864737.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030', '513090', '513180', '513330', '159892', '510900', '511380', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '510760', '515880', '159981', '512880', '512480', '159870', '512400', '159755', '159992', '159995', '512890', '515220', '159819', '512800', '512690', '515050', '512170', '159869', '512070', '562800', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '515030', '159766', '159852', '159865', '512980', '159851', '512200', '159732', '516510', '159840', '159998', '159825', '512670', '159883', '515210', '515400', '515170', '516520', '513360', '516190']",114,72,881546.0,"['159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516190', '516510', '516520', '518880', '562800', '588080']",-2,70
2021-12-09,114,70,1022844.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030', '513090', '513180', '513330', '159892', '159605', '510900', '511380', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '510760', '515880', '159981', '512880', '512480', '159870', '512400', '159755', '159992', '159995', '512890', '515220', '159819', '512800', '512690', '515050', '512170', '159869', '512070', '562800', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '515030', '159766', '159852', '159865', '512980', '159851', '512200', '159732', '516510', '159840', '159998', '159825', '512670', '159883', '515210', '515400', '515170', '516520', '513360']",114,72,1037596.0,"['159605', '159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '562800', '588080']",-2,70
2021-12-10,114,70,1023755.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030', '513090', '513180', '513330', '159892', '159605', '510900', '511380', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '510760', '515880', '159981', '512880', '512480', '159870', '512400', '159755', '159992', '159995', '512890', '515220', '159819', '512800', '512690', '515050', '512170', '159869', '512070', '562800', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '515030', '159766', '159852', '159865', '512980', '159851', '512200', '159732', '516510', '159840', '159998', '159825', '512670', '159883', '515210', '515400', '515170', '516520', '513360']",114,72,1033144.0,"['159605', '159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '562800', '588080']",-2,70
2022-03-29,17,9,1114805.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030']",17,9,1132417.0,"['159980', '159985', '161226', '501018', '513030', '513100', '513500', '513520', '518880']",0,9
2024-11-25,17,17,3487717.0,"['518880', '501018', '161226', '159985', '159980', '513310', '159518', '159509', '513100', '513520', '513500', '159502', '513400', '513030', '513290', '520830', '159529']",17,17,3516000.0,"['159502', '159509', '159518', '159529', '159980', '159985', '161226', '501018', '513030', '513100', '513290', '513310', '513400', '513500', '513520', '518880', '520830']",0,17
2025-07-22,114,109,4185960.0,"['518880', '501018', '161226', '159985', '159980', '513310', '159518', '159509', '513100', '513520', '513500', '159502', '513400', '513030', '513290', '520830', '159529', '513090', '513120', '513180', '513330', '513750', '159892', '513190', '159605', '513630', '159323', '510900', '513920', '513970', '511380', '512050', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '588220', '563300', '510760', '588200', '515880', '159981', '512880', '513350', '159326', '159516', '159206', '512480', '159363', '159870', '512400', '159755', '588170', '159992', '159995', '512890', '515220', '159566', '159819', '512800', '512690', '515050', '562500', '512170', '517520', '159869', '512070', '159611', '562800', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '560860', '515030', '159766', '159218', '159852', '159227', '159583', '588790', '159865', '512980', '159851', '561360', '561980', '562590', '512200', '159732', '159667', '516510', '159840', '159998', '159825', '512670', '159883', '515210', '515400', '515170', '159638', '516520', '513360']",114,111,4194188.0,"['159206', '159218', '159227', '159323', '159326', '159363', '159502', '159509', '159516', '159518', '159529', '159566', '159583', '159605', '159611', '159638', '159667', '159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512050', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513120', '513180', '513190', '513290', '513310', '513330', '513350', '513360', '513400', '513500', '513520', '513630', '513750', '513920', '513970', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '517520', '518880', '520830', '560860', '561360', '561980', '562500', '562590', '562800', '563300', '588080', '588170', '588200', '588220', '588790']",-2,109
2025-09-04,114,111,7524315.0,"['518880', '501018', '161226', '159985', '159980', '513310', '159518', '159509', '513100', '513520', '513500', '159502', '513400', '513030', '513290', '520830', '159529', '513090', '513120', '513180', '513330', '513750', '159892', '513190', '159605', '513630', '159323', '510900', '513920', '513970', '511380', '512050', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '588220', '563300', '510760', '588200', '515880', '159981', '512880', '513350', '159326', '159516', '159206', '512480', '159363', '159870', '512400', '159755', '588170', '159992', '159995', '512890', '515220', '159566', '159819', '512800', '512690', '515050', '562500', '512170', '517520', '159869', '512070', '159611', '562800', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '560860', '515030', '159766', '159218', '159852', '159227', '159583', '588790', '159865', '512980', '159851', '561360', '561980', '562590', '512200', '159732', '159667', '516510', '159840', '159998', '159825', '512670', '159883', '515210', '515400', '159256', '561330', '515170', '159638', '516520', '513360']",114,113,7589501.0,"['159206', '159218', '159227', '159256', '159323', '159326', '159363', '159502', '159509', '159516', '159518', '159529', '159566', '159583', '159605', '159611', '159638', '159667', '159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512050', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513120', '513180', '513190', '513290', '513310', '513330', '513350', '513360', '513400', '513500', '513520', '513630', '513750', '513920', '513970', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '517520', '518880', '520830', '560860', '561330', '561360', '561980', '562500', '562590', '562800', '563300', '588080', '588170', '588200', '588220', '588790']",-2,111
2025-09-09,114,111,7323927.0,"['518880', '501018', '161226', '159985', '159980', '513310', '159518', '159509', '513100', '513520', '513500', '159502', '513400', '513030', '513290', '520830', '159529', '513090', '513120', '513180', '513330', '513750', '159892', '513190', '159605', '513630', '159323', '510900', '513920', '513970', '511380', '512050', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '588220', '563300', '510760', '588200', '515880', '159981', '512880', '513350', '159326', '159516', '159206', '512480', '159363', '159870', '512400', '159755', '588170', '159992', '159995', '512890', '515220', '159566', '159819', '512800', '512690', '515050', '562500', '512170', '517520', '159869', '512070', '159611', '562800', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '560860', '515030', '159766', '159218', '159852', '159227', '159583', '588790', '159865', '512980', '159851', '561360', '561980', '562590', '512200', '159732', '159667', '516510', '159840', '159998', '159825', '512670', '159883', '515210', '515400', '159256', '561330', '515170', '159638', '516520', '513360']",114,113,7361206.0,"['159206', '159218', '159227', '159256', '159323', '159326', '159363', '159502', '159509', '159516', '159518', '159529', '159566', '159583', '159605', '159611', '159638', '159667', '159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512050', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513120', '513180', '513190', '513290', '513310', '513330', '513350', '513360', '513400', '513500', '513520', '513630', '513750', '513920', '513970', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '517520', '518880', '520830', '560860', '561330', '561360', '561980', '562500', '562590', '562800', '563300', '588080', '588170', '588200', '588220', '588790']",-2,111
2025-11-14,114,112,5010614.0,"['518880', '501018', '161226', '159985', '159980', '513310', '159518', '159509', '513100', '513520', '513500', '159502', '513400', '513030', '513290', '520830', '159529', '513090', '513120', '513180', '513330', '513750', '159892', '513190', '159605', '513630', '159323', '510900', '513920', '513970', '511380', '512050', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '588220', '563300', '510760', '588200', '515880', '159981', '512880', '513350', '159326', '159516', '159206', '512480', '159363', '159870', '512400', '159755', '588170', '159992', '159995', '512890', '515220', '159566', '159819', '512800', '512690', '515050', '562500', '512170', '517520', '159869', '512070', '159611', '562800', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '560860', '515030', '159766', '159218', '159852', '159227', '159583', '588790', '159865', '512980', '159851', '561360', '561980', '562590', '512200', '159732', '159667', '516510', '159840', '159998', '159825', '512670', '159883', '515210', '515400', '159256', '561330', '515170', '159638', '516520', '513360', '516190']",114,114,5033440.0,"['159206', '159218', '159227', '159256', '159323', '159326', '159363', '159502', '159509', '159516', '159518', '159529', '159566', '159583', '159605', '159611', '159638', '159667', '159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512050', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513120', '513180', '513190', '513290', '513310', '513330', '513350', '513360', '513400', '513500', '513520', '513630', '513750', '513920', '513970', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516190', '516510', '516520', '517520', '518880', '520830', '560860', '561330', '561360', '561980', '562500', '562590', '562800', '563300', '588080', '588170', '588200', '588220', '588790']",-2,112
2026-07-02,114,112,7668418.0,"['518880', '501018', '161226', '159985', '159980', '513310', '159518', '159509', '513100', '513520', '513500', '159502', '513400', '513030', '513290', '520830', '159529', '513090', '513120', '513180', '513330', '513750', '159892', '513190', '159605', '513630', '159323', '510900', '513920', '513970', '511380', '512050', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '588220', '563300', '510760', '588200', '515880', '159981', '512880', '513350', '159326', '159516', '159206', '512480', '159363', '159870', '512400', '159755', '588170', '159992', '159995', '512890', '515220', '159566', '159819', '512800', '512690', '515050', '562500', '512170', '517520', '159869', '512070', '159611', '562800', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '560860', '515030', '159766', '159218', '159852', '159227', '159583', '588790', '159865', '512980', '159851', '561360', '561980', '562590', '512200', '159732', '159667', '516510', '159840', '159998', '159825', '512670', '159883', '515210', '515400', '159256', '561330', '515170', '159638', '516520', '513360', '516190']",114,114,7649119.0,"['159206', '159218', '159227', '159256', '159323', '159326', '159363', '159502', '159509', '159516', '159518', '159529', '159566', '159583', '159605', '159611', '159638', '159667', '159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512050', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513120', '513180', '513190', '513290', '513310', '513330', '513350', '513360', '513400', '513500', '513520', '513630', '513750', '513920', '513970', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516190', '516510', '516520', '517520', '518880', '520830', '560860', '561330', '561360', '561980', '562500', '562590', '562800', '563300', '588080', '588170', '588200', '588220', '588790']",-2,112
