date,time,value,positions,symbol
2020-01-02,15:30:00,998496.53,512400.SH:1353800:996396.80,512400
2020-01-03,15:30:00,1014742.13,512400.SH:1353800:1012642.40,512400
2020-01-06,15:30:00,1030815.6,512880.SH:983400:1027653.00,512880
2020-01-07,15:30:00,1036679.68,512980.SH:1108800:1034510.40,512980
2020-01-08,15:30:00,1010960.68,512880.SH:989000:1009769.00,512880
2020-01-09,15:30:00,1032735.68,512980.SH:1120200:1030584.00,512980
2020-01-10,15:30:00,1026195.04,512100.SH:1363600:1022700.00,512100
2020-01-13,15:30:00,1039832.78,512100.SH:1365300:1037628.00,512100
2020-01-14,15:30:00,1037102.18,512100.SH:1365300:1034897.40,512100
2020-01-15,15:30:00,1039214.02,512980.SH:1126000:1038172.00,512980
2020-01-16,15:30:00,1022471.9,512400.SH:1349600:1018948.00,512400
2020-01-17,15:30:00,1019773.03,512400.SH:1351400:1017604.20,512400
2020-01-20,15:30:00,1033521.98,512480.SH:588300:1030701.60,512480
2020-01-21,15:30:00,1023947.13,159915.SZ:540000:1021680.00,159915
2020-01-22,15:30:00,1047022.9,515050.SH:899200:1045769.60,515050
2020-01-23,15:30:00,998342.84,159949.SZ:1403100:997604.10,159949
2020-02-03,15:30:00,931853.81,518880.SH:264100:929632.00,518880
2020-02-04,15:30:00,924459.01,518880.SH:264100:922237.20,518880
2020-02-05,15:30:00,918384.71,518880.SH:264100:916162.90,518880
2020-02-06,15:30:00,910470.6,513100.SH:246700:908349.40,513100
2020-02-07,15:30:00,917131.5,513100.SH:246700:915010.30,513100
2020-02-10,15:30:00,922805.6,513100.SH:246700:920684.40,513100
2020-02-11,15:30:00,957096.9,513100.SH:246700:954975.70,513100
2020-02-12,15:30:00,981766.9,513100.SH:246700:979645.70,513100
2020-02-13,15:30:00,1016363.57,512170.SH:698000:1014892.00,512170
2020-02-14,15:30:00,1012173.55,512170.SH:697700:1010269.60,512170
2020-02-17,15:30:00,1045657.84,512170.SH:697600:1043609.60,512170
2020-02-18,15:30:00,1050541.04,512170.SH:697600:1048492.80,512170
2020-02-19,15:30:00,1027520.24,512170.SH:697600:1025472.00,512170
2020-02-20,15:30:00,1047589.98,159949.SZ:1285900:1045436.70,159949
2020-02-21,15:30:00,1066878.48,159949.SZ:1285900:1064725.20,159949
2020-02-24,15:30:00,1086173.4,159915.SZ:497600:1083772.80,159915
2020-02-25,15:30:00,1094632.6,159915.SZ:497600:1092232.00,159915
2020-02-26,15:30:00,1046804.2,159967.SZ:713900:1043721.80,159967
2020-02-27,15:30:00,1052648.45,512670.SH:843700:1051250.20,512670
2020-02-28,15:30:00,992095.56,518880.SH:273100:989441.30,518880
2020-03-02,15:30:00,968180.72,511880.SH:9500:955367.50,511880
2020-03-03,15:30:00,966847.21,159985.SZ:997700:965773.60,159985
2020-03-04,15:30:00,966845.37,159985.SZ:996900:964999.20,159985
2020-03-05,15:30:00,967842.27,159985.SZ:996900:965996.10,159985
2020-03-06,15:30:00,960019.14,515050.SH:776900:957917.70,515050
2020-03-09,15:30:00,915276.55,512170.SH:582100:915061.20,512170
2020-03-10,15:30:00,913267.87,511880.SH:8900:895215.40,511880
2020-03-11,15:30:00,915186.2,518880.SH:250300:913094.40,518880
2020-03-12,15:30:00,903852.06,511880.SH:8800:885464.80,511880
2020-03-13,15:30:00,903887.26,511880.SH:8800:885500.00,511880
2020-03-16,15:30:00,892568.21,159985.SZ:929700:891582.30,159985
2020-03-17,15:30:00,893493.67,159985.SZ:928900:891744.00,159985
2020-03-18,15:30:00,891635.87,159985.SZ:928900:889886.20,159985
2020-03-19,15:30:00,883056.69,511880.SH:8600:865676.00,511880
2020-03-20,15:30:00,883826.37,159985.SZ:902700:881937.90,159985
2020-03-23,15:30:00,930766.77,159985.SZ:902700:928878.30,159985
2020-03-24,15:30:00,918128.97,159985.SZ:902700:916240.50,159985
2020-03-25,15:30:00,933474.87,159985.SZ:902700:931586.40,159985
2020-03-26,15:30:00,909101.97,159985.SZ:902700:907213.50,159985
2020-03-27,15:30:00,919934.37,159985.SZ:902700:918045.90,159985
2020-03-30,15:30:00,928058.67,159985.SZ:902700:926170.20,159985
2020-03-31,15:30:00,925350.57,159985.SZ:902700:923462.10,159985
2020-04-01,15:30:00,907027.81,511880.SH:8800:886318.40,511880
2020-04-02,15:30:00,907036.61,511880.SH:8800:886327.20,511880
2020-04-03,15:30:00,903249.88,159985.SZ:923500:901336.00,159985
2020-04-07,15:30:00,904863.62,511880.SH:8800:886564.80,511880
2020-04-08,15:30:00,904934.02,511880.SH:8800:886635.20,511880
2020-04-09,15:30:00,904995.62,511880.SH:8800:886696.80,511880
2020-04-10,15:30:00,905171.62,511880.SH:8800:886872.80,511880
2020-04-13,15:30:00,905215.62,511880.SH:8800:886916.80,511880
2020-04-14,15:30:00,910640.85,512010.SH:434600:909183.20,512010
2020-04-15,15:30:00,905855.54,512010.SH:434500:904194.50,512010
2020-04-16,15:30:00,907593.54,512010.SH:434500:905932.50,512010
2020-04-17,15:30:00,901510.54,512010.SH:434500:899849.50,512010
2020-04-20,15:30:00,906724.54,512010.SH:434500:905063.50,512010
2020-04-21,15:30:00,905536.75,512170.SH:562300:903616.10,512170
2020-04-22,15:30:00,912284.35,512170.SH:562300:910363.70,512170
2020-04-23,15:30:00,913971.25,512170.SH:562300:912050.60,512170
2020-04-24,15:30:00,893166.15,512170.SH:562300:891245.50,512170
2020-04-27,15:30:00,909136.25,513100.SH:254500:907801.50,513100
2020-04-28,15:30:00,931780.23,513100.SH:254400:930086.40,513100
2020-04-29,15:30:00,948570.63,513100.SH:254400:946876.80,513100
2020-04-30,15:30:00,984046.64,512690.SH:829300:981891.20,512690
2020-05-06,15:30:00,996486.14,512690.SH:829300:994330.70,512690
2020-05-07,15:30:00,1006437.74,512690.SH:829300:1004282.30,512690
2020-05-08,15:30:00,1016389.34,512690.SH:829300:1014233.90,512690
2020-05-11,15:30:00,1018877.24,512690.SH:829300:1016721.80,512690
2020-05-12,15:30:00,1026340.94,512690.SH:829300:1024185.50,512690
2020-05-13,15:30:00,1057854.34,512690.SH:829300:1055698.90,512690
2020-05-14,15:30:00,1056195.74,512690.SH:829300:1054040.30,512690
2020-05-15,15:30:00,1031785.55,159995.SZ:896800:1028629.60,159995
2020-05-18,15:30:00,990446.59,512480.SH:507300:988220.40,512480
2020-05-19,15:30:00,1023046.96,513100.SH:272300:1020580.40,513100
2020-05-20,15:30:00,1012831.99,512690.SH:784000:1010576.00,512690
2020-05-21,15:30:00,1019224.5,513100.SH:273200:1016304.00,513100
2020-05-22,15:30:00,999920.47,161226.SZ:1248900:997871.10,161226
