date,time,weak,threshold,pool
2020-08-05,09:40:00,False,1156749.0,44
2020-08-06,09:40:00,False,1098974.0,44
2020-08-07,09:40:00,False,1135179.0,43
2020-08-10,09:40:00,False,1179844.0,43
2020-08-11,09:40:00,False,1176505.0,43
2020-08-12,09:40:00,True,1095061.0,9
2020-08-13,09:40:00,True,1039865.0,9
2020-08-14,09:40:00,True,947985.0,9
2020-08-17,09:40:00,True,913966.0,9
2020-08-18,09:40:00,False,979012.0,44
2020-08-19,09:40:00,False,1013271.0,44
2020-08-20,09:40:00,True,994872.0,9
2020-08-21,09:40:00,True,829640.0,9
2020-08-24,09:40:00,True,800656.0,9
2020-08-25,09:40:00,False,778445.0,44
2020-08-26,09:40:00,False,751632.0,44
2020-08-27,09:40:00,True,776492.0,9
2020-08-28,09:40:00,True,769241.0,9
2020-08-31,09:40:00,False,827256.0,44
2020-09-01,09:40:00,False,858635.0,44
2020-09-02,09:40:00,False,848232.0,44
2020-09-03,09:40:00,False,822799.0,44
2020-09-04,09:40:00,False,745329.0,44
2020-09-07,09:40:00,True,752825.0,9
2020-09-08,09:40:00,True,761646.0,9
2020-09-09,09:40:00,True,809234.0,9
2020-09-10,09:40:00,True,865839.0,9
2020-09-11,09:40:00,True,849259.0,9
2020-09-14,09:40:00,True,786911.0,9
2020-09-15,09:40:00,True,700528.0,9
2020-09-16,09:40:00,True,643709.0,9
2020-09-17,09:40:00,True,594340.0,9
2020-09-18,09:40:00,True,605420.0,9
2020-09-21,09:40:00,False,701573.0,45
2020-09-22,09:40:00,False,780612.0,45
2020-09-23,09:40:00,True,793379.0,9
2020-09-24,09:40:00,False,699076.0,44
2020-09-25,09:40:00,True,657680.0,9
2020-09-28,09:40:00,True,615755.0,9
2020-09-29,09:40:00,True,573293.0,9
2020-09-30,09:40:00,True,554980.0,9
2020-10-09,09:40:00,True,553051.0,9
2020-10-12,09:40:00,False,595283.0,46
2020-10-13,09:40:00,False,713674.0,45
2020-10-14,09:40:00,False,757200.0,46
2020-10-15,09:40:00,False,759096.0,46
2020-10-16,09:40:00,False,653702.0,46
2020-10-19,09:40:00,False,625639.0,46
2020-10-20,09:40:00,False,684427.0,46
2020-10-21,09:40:00,False,686975.0,46
2020-10-22,09:40:00,True,705727.0,9
2020-10-23,09:40:00,True,637652.0,9
2020-10-26,09:40:00,True,706663.0,9
2020-10-27,09:40:00,True,707307.0,9
2020-10-28,09:40:00,True,683177.0,9
2020-10-29,09:40:00,True,615994.0,9
2020-10-30,09:40:00,False,628938.0,45
2020-11-02,09:40:00,True,714985.0,9
2020-11-03,09:40:00,True,718518.0,9
2020-11-04,09:40:00,False,739686.0,45
2020-11-05,09:40:00,False,723547.0,45
2020-11-06,09:40:00,False,788952.0,45
2020-11-09,09:40:00,False,817683.0,45
2020-11-10,09:40:00,False,1017782.0,45
2020-11-11,09:40:00,False,1066596.0,45
2020-11-12,09:40:00,True,1050022.0,9
2020-11-13,09:40:00,True,809257.0,9
2020-11-16,09:40:00,True,720169.0,9
2020-11-17,09:40:00,True,648627.0,9
2020-11-18,09:40:00,True,716165.0,9
2020-11-19,09:40:00,True,769384.0,9
2020-11-20,09:40:00,True,797746.0,9
2020-11-23,09:40:00,False,750225.0,47
2020-11-24,09:40:00,False,807558.0,47
2020-11-25,09:40:00,False,805894.0,47
2020-11-26,09:40:00,True,854888.0,9
2020-11-27,09:40:00,True,777649.0,9
2020-11-30,09:40:00,True,778123.0,9
2020-12-01,09:40:00,True,872519.0,9
2020-12-02,09:40:00,False,964507.0,46
2020-12-03,09:40:00,False,1016300.0,46
2020-12-04,09:40:00,False,899537.0,46
2020-12-07,09:40:00,False,818412.0,46
2020-12-08,09:40:00,False,775435.0,46
2020-12-09,09:40:00,False,730458.0,46
2020-12-10,09:40:00,True,764229.0,9
2020-12-11,09:40:00,True,746811.0,9
2020-12-14,09:40:00,True,785757.0,9
2020-12-15,09:40:00,True,710659.0,9
2020-12-16,09:40:00,True,689319.0,9
2020-12-17,09:40:00,True,627085.0,9
2020-12-18,09:40:00,True,720457.0,9
2020-12-21,09:40:00,True,769432.0,9
2020-12-22,09:40:00,False,901270.0,46
2020-12-23,09:40:00,False,978690.0,47
2020-12-24,09:40:00,False,1042716.0,47
2020-12-25,09:40:00,False,981707.0,47
2020-12-28,09:40:00,False,936729.0,47
2020-12-29,09:40:00,False,906671.0,47
2020-12-30,09:40:00,True,964734.0,9
2020-12-31,09:40:00,False,964415.0,47
2021-01-04,09:40:00,False,1103372.0,48
2021-01-05,09:40:00,False,1206221.0,48
2021-01-06,09:40:00,False,1403439.0,48
2021-01-07,09:40:00,False,1396290.0,49
2021-01-08,09:40:00,False,1368188.0,50
2021-01-11,09:40:00,False,1303181.0,50
2021-01-12,09:40:00,False,1379964.0,50
2021-01-13,09:40:00,False,1439926.0,50
2021-01-14,09:40:00,False,1456441.0,49
2021-01-15,09:40:00,True,1410845.0,9
2021-01-18,09:40:00,True,1396628.0,9
2021-01-19,09:40:00,False,1352339.0,51
2021-01-20,09:40:00,True,1300380.0,9
2021-01-21,09:40:00,False,1260196.0,51
2021-01-22,09:40:00,False,1259398.0,51
2021-01-25,09:40:00,False,1272623.0,52
2021-01-26,09:40:00,False,1311145.0,52
2021-01-27,09:40:00,False,1305223.0,51
2021-01-28,09:40:00,False,1233996.0,51
2021-01-29,09:40:00,True,1173217.0,9
2021-02-01,09:40:00,True,1167567.0,9
2021-02-02,09:40:00,True,1116478.0,9
2021-02-03,09:40:00,True,1076761.0,9
2021-02-04,09:40:00,True,979233.0,9
2021-02-05,09:40:00,True,1063574.0,9
2021-02-08,09:40:00,True,1061915.0,9
2021-02-09,09:40:00,True,1049564.0,9
2021-02-10,09:40:00,False,1034026.0,52
2021-02-18,09:40:00,False,1073999.0,52
2021-02-19,09:40:00,False,1196161.0,54
2021-02-22,09:40:00,False,1242532.0,54
2021-02-23,09:40:00,False,1395456.0,54
2021-02-24,09:40:00,False,1341801.0,54
2021-02-25,09:40:00,True,1473110.0,9
2021-02-26,09:40:00,True,1372003.0,9
2021-03-01,09:40:00,True,1417227.0,9
2021-03-02,09:40:00,True,1231026.0,9
2021-03-03,09:40:00,True,1188618.0,9
2021-03-04,09:40:00,True,1063911.0,9
2021-03-05,09:40:00,True,1139248.0,9
2021-03-08,09:40:00,True,1172961.0,9
2021-03-09,09:40:00,True,1287044.0,9
2021-03-10,09:40:00,True,1340265.0,9
2021-03-11,09:40:00,True,1290822.0,9
2021-03-12,09:40:00,True,1240665.0,9
2021-03-15,09:40:00,True,1045865.0,9
2021-03-16,09:40:00,True,1030231.0,9
2021-03-17,09:40:00,True,892438.0,9
2021-03-18,09:40:00,True,839766.0,9
2021-03-19,09:40:00,False,743649.0,57
2021-03-22,09:40:00,True,742220.0,9
2021-03-23,09:40:00,False,729933.0,58
2021-03-24,09:40:00,True,752724.0,9
2021-03-25,09:40:00,True,823757.0,9
2021-03-26,09:40:00,True,815338.0,9
2021-03-29,09:40:00,False,870231.0,58
2021-03-30,09:40:00,False,856835.0,58
2021-03-31,09:40:00,False,850087.0,58
2021-04-01,09:40:00,False,734695.0,58
2021-04-02,09:40:00,False,682395.0,58
2021-04-06,09:40:00,False,722942.0,58
2021-04-07,09:40:00,False,724655.0,58
2021-04-08,09:40:00,False,685013.0,58
2021-04-09,09:40:00,False,625415.0,58
2021-04-12,09:40:00,True,605878.0,9
2021-04-13,09:40:00,True,665375.0,9
2021-04-14,09:40:00,True,675158.0,9
2021-04-15,09:40:00,True,719315.0,9
2021-04-16,09:40:00,True,673007.0,9
2021-04-19,09:40:00,True,688914.0,9
2021-04-20,09:40:00,False,761572.0,60
2021-04-21,09:40:00,False,775431.0,60
2021-04-22,09:40:00,False,758100.0,60
2021-04-23,09:40:00,False,678723.0,60
2021-04-26,09:40:00,False,644997.0,60
2021-04-27,09:40:00,False,719188.0,60
2021-04-28,09:40:00,False,709110.0,60
2021-04-29,09:40:00,False,712861.0,60
2021-04-30,09:40:00,False,688480.0,60
2021-05-06,09:40:00,False,748243.0,60
2021-05-07,09:40:00,True,795461.0,9
2021-05-10,09:40:00,True,802851.0,9
2021-05-11,09:40:00,True,785778.0,9
2021-05-12,09:40:00,True,794007.0,9
2021-05-13,09:40:00,True,736505.0,9
2021-05-14,09:40:00,True,709798.0,9
2021-05-17,09:40:00,False,833065.0,61
2021-05-18,09:40:00,False,952429.0,61
2021-05-19,09:40:00,False,955921.0,60
2021-05-20,09:40:00,False,795249.0,60
2021-05-21,09:40:00,False,698453.0,60
2021-05-24,09:40:00,False,705695.0,60
2021-05-25,09:40:00,False,720393.0,60
2021-05-26,09:40:00,False,944319.0,60
2021-05-27,09:40:00,False,1017032.0,61
2021-05-28,09:40:00,False,1091569.0,62
2021-05-31,09:40:00,False,952208.0,62
2021-06-01,09:40:00,False,922169.0,62
2021-06-02,09:40:00,False,950817.0,62
2021-06-03,09:40:00,False,931646.0,62
2021-06-04,09:40:00,False,909227.0,61
2021-06-07,09:40:00,False,879598.0,61
2021-06-08,09:40:00,False,829277.0,61
2021-06-09,09:40:00,False,857905.0,62
2021-06-10,09:40:00,False,789705.0,62
2021-06-11,09:40:00,False,821687.0,62
2021-06-15,09:40:00,False,798405.0,61
2021-06-16,09:40:00,True,818808.0,9
2021-06-17,09:40:00,True,823858.0,9
2021-06-18,09:40:00,True,829847.0,9
2021-06-21,09:40:00,True,902233.0,9
2021-06-22,09:40:00,False,899607.0,62
2021-06-23,09:40:00,False,903294.0,62
2021-06-24,09:40:00,False,894764.0,63
2021-06-25,09:40:00,False,872651.0,63
2021-06-28,09:40:00,False,952675.0,63
2021-06-29,09:40:00,False,937868.0,64
2021-06-30,09:40:00,False,920003.0,64
2021-07-01,09:40:00,False,837637.0,64
2021-07-02,09:40:00,False,855257.0,64
2021-07-05,09:40:00,True,908967.0,9
2021-07-06,09:40:00,True,889259.0,9
2021-07-07,09:40:00,True,920871.0,9
2021-07-08,09:40:00,False,965806.0,64
2021-07-09,09:40:00,False,1055701.0,64
2021-07-12,09:40:00,False,1046875.0,64
2021-07-13,09:40:00,False,1058375.0,64
2021-07-14,09:40:00,False,1045069.0,64
2021-07-15,09:40:00,False,1015277.0,64
2021-07-16,09:40:00,False,954924.0,64
2021-07-19,09:40:00,False,951321.0,64
2021-07-20,09:40:00,False,916336.0,64
2021-07-21,09:40:00,True,873495.0,9
2021-07-22,09:40:00,False,920487.0,64
2021-07-23,09:40:00,False,980871.0,64
