date,weak,pool,passed,target,target_raw,top10_raw,top10
2021-08-31,False,67,17,512400,512400.SH,512400.SH:2.2635:3.6485:0.6204:1.6300:582400|515790.SH:2.2473:4.1181:0.5457:1.8580:1149900|510880.SH:1.7747:2.0550:0.8636:3.0780:50900|512670.SH:1.6421:2.5835:0.6356:1.1490:974000|512660.SH:1.5002:2.3062:0.6505:1.3880:624100|512890.SH:1.4826:1.7003:0.8719:1.5580:nan|159766.SZ:1.0206:1.5229:0.6702:0.9170:3100|512880.SH:0.8836:1.3520:0.6536:1.1040:19392800|512710.SH:0.8529:1.5600:0.5467:0.9910:106200|512100.SH:0.6183:0.9507:0.6504:1.1140:146300,"['512400', '515790', '510880', '512670', '512660', '512890', '159766', '512880', '512710', '512100']"
2021-09-10,False,67,18,512890,512890.SH,512890.SH:4.8250:5.5205:0.8740:1.7330:nan|159766.SZ:3.8612:4.1321:0.9344:1.0120:87000|512880.SH:3.2298:3.9311:0.8216:1.2540:4261000|512400.SH:2.7499:3.8962:0.7058:1.6640:130200|513090.SH:1.7348:2.3125:0.7502:1.3990:1179800|510500.SH:1.3325:1.6967:0.7854:8.5530:3365700|159981.SZ:1.2251:1.6873:0.7261:1.4470:800|513520.SH:1.0993:1.7145:0.6412:1.3050:nan|512070.SH:1.0478:1.6152:0.6487:2.3180:212400|512980.SH:0.9874:1.7291:0.5710:0.7390:66000,"['512890', '159766', '512880', '512400', '513090', '510500', '159981', '513520', '512070', '512980']"
2021-11-30,False,70,27,516520,516520.SH,516520.SH:2.2729:2.4696:0.9204:1.2370:nan|515880.SH:2.1200:2.4520:0.8646:1.1080:26000|512670.SH:2.0207:2.5863:0.7813:1.2270:57700|562800.SH:1.7258:3.5803:0.4820:1.0070:1500|512660.SH:1.6034:2.0934:0.7659:1.4850:982400|512100.SH:1.5905:1.7821:0.8925:1.1740:3270100|159732.SZ:1.2273:1.4590:0.8412:1.0350:2000|515050.SH:1.1561:1.4657:0.7888:1.2080:56900|159851.SZ:1.1263:1.4662:0.7682:1.1990:1200|512480.SH:0.9862:1.3561:0.7272:1.3720:1022500,"['516520', '515880', '512670', '562800', '512660', '512100', '159732', '515050', '159851', '512480']"
2021-12-01,False,70,29,562800,562800.SH,562800.SH:2.6308:4.2578:0.6179:0.9880:35000|516520.SH:1.9672:2.1955:0.8960:1.2200:1400|515880.SH:1.8475:2.1958:0.8414:1.1120:577100|512670.SH:1.7536:2.2798:0.7692:1.1980:22900|512100.SH:1.7064:1.8348:0.9300:1.1660:700|159851.SZ:1.4902:1.7744:0.8399:1.1990:123500|512660.SH:1.3304:1.7931:0.7419:1.4520:1110600|159732.SZ:0.9851:1.2479:0.7894:1.0290:nan|515050.SH:0.8968:1.2252:0.7320:1.2070:463500|512480.SH:0.8588:1.2236:0.7018:1.3630:1273200,"['562800', '516520', '515880', '512670', '512100', '159851', '512660', '159732', '515050', '512480']"
2021-12-09,False,70,22,562800,562800.SH,562800.SH:2.2495:3.2608:0.6899:0.9660:532300|515210.SH:1.8461:2.1706:0.8505:1.7370:219800|512690.SH:1.6664:2.2804:0.7308:1.4090:1707900|159851.SZ:1.4071:1.6689:0.8431:1.2100:12800|512400.SH:0.7901:1.2245:0.6453:1.4470:49000|515220.SH:0.7495:1.7415:0.4304:1.9870:157700|516520.SH:0.7217:1.0173:0.7094:1.2430:3000|159732.SZ:0.6862:0.9534:0.7197:1.0840:300|512200.SH:0.5774:1.0061:0.5739:0.7950:999500|515170.SH:0.5535:1.0620:0.5212:0.9350:95200,"['562800', '515210', '512690', '159851', '512400', '515220', '516520', '159732', '512200', '515170']"
2021-12-10,False,70,23,512690,512690.SH,512690.SH:2.1219:2.6759:0.7930:1.3920:1344400|562800.SH:1.8819:2.8522:0.6598:0.9810:30800|515210.SH:1.7942:2.0928:0.8573:1.7230:64100|159851.SZ:1.2505:1.5034:0.8318:1.1890:nan|515220.SH:1.1883:2.0158:0.5895:1.9680:62600|515170.SH:0.8732:1.3543:0.6447:0.9260:758700|159732.SZ:0.7776:1.0577:0.7352:1.0800:1000|512400.SH:0.7169:1.1407:0.6285:1.4560:44500|516520.SH:0.6300:0.9212:0.6839:1.2370:nan|512890.SH:0.6269:0.8537:0.7343:0.7820:nan,"['512690', '562800', '515210', '159851', '515220', '515170', '159732', '512400', '516520', '512890']"
2022-03-29,True,9,4,513500,513500.SH,513500.SH:0.8784:1.5001:0.5855:2.7350:1500400|513100.SH:0.7007:1.7337:0.4041:0.9740:58500|159980.SZ:0.3885:1.0175:0.3818:1.7200:3100|513030.SH:0.0047:0.4967:0.0095:1.0370:31000,"['513500', '513100', '159980', '513030']"
2024-11-25,True,17,4,159529,159529.SZ,159529.SZ:2.2954:2.7286:0.8413:1.3050:957200|513500.SH:1.0848:1.4397:0.7535:2.1690:431000|513400.SH:0.6879:1.0862:0.6333:1.1710:2146000|513100.SH:0.4349:0.7389:0.5887:1.5340:232100,"['159529', '513500', '513400', '513100']"
2025-07-22,False,109,84,515210,515210.SH,515210.SH:3.9306:4.3425:0.9051:1.4070:2106800|562800.SH:3.3494:3.8981:0.8592:0.6150:109100|515790.SH:3.3237:3.6565:0.9090:0.7430:2115300|159949.SZ:2.9899:3.1944:0.9360:1.0440:270400|159509.SZ:2.7419:2.9037:0.9443:1.7590:3130800|516510.SH:2.6727:3.2596:0.8200:1.2660:146000|560860.SH:2.4976:3.0064:0.8308:1.0000:841500|515120.SH:2.4832:2.9219:0.8499:0.6600:191700|159992.SZ:2.4328:2.8619:0.8501:0.8810:282200|159915.SZ:2.3503:2.5305:0.9288:2.2870:2538900,"['515210', '562800', '515790', '159949', '159509', '516510', '560860', '515120', '159992', '159915']"
2025-09-04,False,111,37,515790,515790.SH,515790.SH:4.8425:5.1055:0.9485:0.8640:9736700|515030.SH:4.4418:4.6599:0.9532:1.5050:140300|516520.SH:3.8910:4.6844:0.8306:1.2090:84100|512980.SH:2.4569:2.8553:0.8605:0.9720:203600|512050.SH:2.2712:2.5696:0.8839:1.0910:24873900|159870.SZ:2.1288:2.5466:0.8360:0.6620:3760700|510500.SH:2.0927:2.4856:0.8419:6.8310:1296332|510300.SH:1.9400:2.2029:0.8807:4.4630:5837600|562500.SH:1.8101:2.3063:0.7848:0.9800:5146600|159869.SZ:1.3493:1.8442:0.7316:1.4220:1087000,"['515790', '515030', '516520', '512980', '512050', '159870', '510500', '510300', '562500', '159869']"
2025-09-09,False,111,45,562800,562800.SH,562800.SH:4.6751:5.5655:0.8400:0.7620:106300|512480.SH:4.0629:6.6052:0.6151:1.2590:822400|159732.SZ:3.9763:5.1962:0.7652:1.0150:1809900|159967.SZ:3.8535:4.7992:0.8029:0.5660:178600|516510.SH:3.3042:5.3389:0.6189:1.5060:239900|159870.SZ:2.3995:2.8120:0.8533:0.7060:1813300|588220.SH:2.3791:3.2305:0.7364:1.2770:245600|516520.SH:2.3071:3.1167:0.7402:1.2590:1279300|159667.SZ:2.2732:2.8982:0.7843:1.4270:800|513310.SH:2.2530:3.2274:0.6981:1.8940:1000100,"['562800', '512480', '159732', '159967', '516510', '159870', '588220', '516520', '159667', '513310']"
2025-11-14,False,112,31,159766,159766.SZ,159766.SZ:2.9445:3.4986:0.8416:0.8010:1554100|159326.SZ:2.5051:3.5758:0.7006:1.5040:180700|513310.SH:2.0516:3.1589:0.6495:2.5950:1432000|513290.SH:1.8840:2.1805:0.8640:1.4750:461700|159566.SZ:1.6194:2.3318:0.6945:2.2160:351600|159870.SZ:1.5716:2.6416:0.5950:0.7840:1491700|513190.SH:1.5454:1.7516:0.8823:1.8450:240100|561360.SH:1.3303:1.5120:0.8798:1.2130:2900|513920.SH:1.1685:1.2989:0.8996:1.7130:182100|513630.SH:1.0791:1.2651:0.8530:1.6980:3575400,"['159766', '159326', '513310', '513290', '159566', '159870', '513190', '561360', '513920', '513630']"
2026-07-02,False,112,9,513290,513290.SH,513290.SH:3.0654:4.5367:0.6757:1.6440:3517700|512880.SH:2.8015:3.7138:0.7543:1.1550:18948200|513520.SH:1.5339:2.4893:0.6162:2.4270:389100|510500.SH:1.2811:2.1016:0.6096:9.0100:269200|562800.SH:1.2330:2.4821:0.4968:1.1550:229800|159870.SZ:0.9209:1.6060:0.5734:0.8910:1072700|512070.SH:0.7621:1.2186:0.6253:0.8070:2960600|512100.SH:0.6026:1.1598:0.5195:3.5630:668900|513400.SH:0.2303:0.4613:0.4992:1.3010:94600,"['513290', '512880', '513520', '510500', '562800', '159870', '512070', '512100', '513400']"
