trade_date,target_symbol,held_symbol,shares,cash,position_value,equity,value_before_rebalance
2020-03-31,159985,159985,997500,1925.9123157697031,1020442.4999999999,1022368.4123157696,1022368.4123157696
2020-04-01,159985,159985,997500,1925.9123157697031,990517.5,992443.4123157697,992443.4123157697
2020-04-02,511880,511880,9700,10988.694986283663,976974.2999999999,987962.9949862836,988453.4123157697
2020-04-03,159985,159985,1010000,1964.0019710836932,985760.0,987724.0019710837,988215.1949862837
2020-04-07,159985,159985,1010000,1964.0019710836932,988790.0,990754.0019710837,990754.0019710837
2020-04-08,511880,511880,9800,4890.403463299619,987389.2000000001,992279.6034632997,992774.0019710837
2020-04-09,511880,511880,9800,4890.403463299619,987457.7999999999,992348.2034632995,992348.2034632995
2020-04-10,511880,511880,9800,4890.403463299619,987653.8,992544.2034632997,992544.2034632997
2020-04-13,511880,511880,9800,4890.403463299619,987702.8,992593.2034632997,992593.2034632997
2020-04-14,511880,511880,9800,4890.403463299619,987722.4,992612.8034632996,992612.8034632996
2020-04-15,511880,511880,9800,4890.403463299619,987712.6000000001,992603.0034632997,992603.0034632997
2020-04-16,159928,159928,1228800,1899.6768284472637,990247.8821052631,992147.5589337103,992642.2034632995
2020-04-17,159928,159928,1228800,1899.6768284472637,998716.9010526314,1000616.5778810787,1000616.5778810787
2020-04-20,513520,513520,1055200,1951.8446650693659,1003495.2,1005447.0446650693,1005948.9231442366
2020-04-21,513520,513520,1055200,1951.8446650693659,989777.6,991729.4446650693,991729.4446650693
2020-04-22,513520,513520,1055200,1951.8446650693659,980280.8,982232.6446650694,982232.6446650694
2020-04-23,513030,513030,1154400,1913.8731186534278,989320.7999999999,991234.6731186534,991729.4446650693
2020-04-24,513030,513030,1154400,1913.8731186534278,976622.4,978536.2731186535,978536.2731186535
2020-04-27,159980,159980,1117300,1966.1799400972668,989927.8,991893.9799400973,992389.0731186534
2020-04-28,513520,513520,1026000,1881.4118014172418,983934.0,985815.4118014172,986307.4799400973
2020-04-29,159928,159928,1199100,1978.3207610965474,1004880.5107894735,1006858.8315505701,1007361.4118014172
2020-04-30,159928,159928,1199100,1978.3207610965474,1004574.424736842,1006552.7454979386,1006552.7454979386
2020-05-06,159928,159928,1199100,1978.3207610965474,1011002.231842105,1012980.5526032016,1012980.5526032016
2020-05-07,159967,159967,2560200,1987.613435390056,1024560.4925118483,1026548.1059472384,1027060.5110242544
2020-05-08,159967,159967,2560200,1987.613435390056,1030774.1343127963,1032761.7477481863,1032761.7477481863
2020-05-11,159967,159967,2560200,1987.613435390056,1022489.2785781991,1024476.8920135892,1024476.8920135892
2020-05-12,159967,159967,2560200,1987.613435390056,1039749.3946919432,1041737.0081273332,1041737.0081273332
2020-05-13,159967,159967,2560200,1987.613435390056,1054938.296872038,1056925.9103074279,1056925.9103074279
2020-05-14,159967,159967,2560200,1987.613435390056,1045963.036492891,1047950.6499282811,1047950.6499282811
2020-05-15,159995,159995,913200,2057.603943037335,1047440.4,1049498.0039430372,1050021.8638619306
2020-05-18,159995,159995,913200,2057.603943037335,999954.0,1002011.6039430373,1002011.6039430373
2020-05-19,513520,513520,1055000,2046.8518419377506,1056055.0,1058101.8518419378,1058630.0039430375
2020-05-20,159949,159949,1322100,2018.9353141058236,1052391.6,1054410.535314106,1054936.8518419378
2020-05-21,513520,513520,1048600,2095.94290404988,1046502.8,1048598.7429040498,1049122.135314106
2020-05-22,161226,161226,1298700,2029.7009608238004,1037661.3,1039691.0009608238,1040209.9429040499
2020-05-25,161226,161226,1298700,2029.7009608238004,1046752.2000000001,1048781.900960824,1048781.900960824
2020-05-26,161226,161226,1298700,2029.7009608238004,1072726.2,1074755.9009608238,1074755.9009608238
2020-05-27,161226,161226,1298700,2029.7009608238004,1062336.5999999999,1064366.3009608237,1064366.3009608237
2020-05-28,161226,161226,1298700,2029.7009608238004,1077921.0,1079950.7009608238,1079950.7009608238
2020-05-29,161226,161226,1298700,2029.7009608238004,1080518.4,1082548.1009608237,1082548.1009608237
2020-06-01,161226,161226,1298700,2029.7009608238004,1128570.3,1130600.0009608238,1130600.0009608238
2020-06-02,513520,513520,1035900,2190.2581917936914,1123951.5,1126141.7581917937,1126703.9009608238
2020-06-03,513030,513030,1104300,2231.1695319875143,1127490.2999999998,1129721.4695319873,1130285.3581917936
2020-06-04,513030,513030,1104300,2231.1695319875143,1153993.5,1156224.6695319875,1156224.6695319875
2020-06-05,161226,161226,1416800,2256.4341964358464,1178777.5999999999,1181034.0341964357,1181623.5695319877
2020-06-08,161226,161226,1416800,2256.4341964358464,1175944.0,1178200.4341964358,1178200.4341964358
2020-06-09,513520,513520,1052500,2257.156330935657,1168275.0,1170532.1563309357,1171116.4341964358
2020-06-10,513520,513520,1052500,2257.156330935657,1177747.5,1180004.6563309357,1180004.6563309357
2020-06-11,513520,513520,1052500,2257.156330935657,1144067.5,1146324.6563309357,1146324.6563309357
2020-06-12,513520,513520,1052500,2257.156330935657,1128280.0,1130537.1563309357,1130537.1563309357
2020-06-15,513520,513520,1052500,2257.156330935657,1095652.5,1097909.6563309357,1097909.6563309357
2020-06-16,515030,515030,1213800,2272.3669330116827,1151896.2,1154168.5669330116,1154744.6563309357
2020-06-17,513030,513030,1092900,2177.834584407741,1134430.2,1136608.0345844077,1137175.3669330117
2020-06-18,513030,513030,1092900,2177.834584407741,1133337.2999999998,1135515.1345844076,1135515.1345844076
2020-06-19,513030,513030,1092900,2177.834584407741,1134430.2,1136608.0345844077,1136608.0345844077
2020-06-22,513030,513030,1092900,2177.834584407741,1119129.6,1121307.4345844078,1121307.4345844078
2020-06-23,515030,515030,1136500,2167.1341817078646,1125135.0,1127302.1341817079,1127864.8345844077
2020-06-24,159949,159949,1218500,2229.367786937626,1122238.5,1124467.8677869376,1125029.1341817079
2020-06-29,159992,159992,883000,2131.846970657585,1110814.0,1112945.8469706576,1113501.3677869376
2020-06-30,159992,159992,883000,2131.846970657585,1132006.0,1134137.8469706576,1134137.8469706576
2020-07-01,159967,159967,2387500,2162.1885821048636,1116406.3151658766,1118568.5037479815,1119126.8469706576
2020-07-02,159967,159967,2387500,2162.1885821048636,1102885.8234597158,1105048.0120418207,1105048.0120418207
2020-07-03,159915,159915,470700,2249.0494822352193,1120266.0,1122515.0494822352,1123075.334316702
2020-07-06,515050,515050,2429000,2205.2640194599517,1152682.3147147147,1154887.5787341746,1155464.0494822352
2020-07-07,159967,159967,2339200,2269.901608718792,1163840.6900473933,1166110.591656112,1166692.6646200605
2020-07-08,159967,159967,2339200,2269.901608718792,1167625.5378199052,1169895.439428624,1169895.439428624
2020-07-09,515030,515030,1073200,2420.3758769384585,1222374.8,1224795.1758769385,1225406.5400921311
2020-07-10,510500,510500,166500,2666.557648038259,1220445.0,1223111.5576480383,1223721.9758769383
2020-07-13,515880,515880,5628400,2409.632520517567,1258866.8919825882,1261276.5245031058,1261906.0576480383
2020-07-14,510880,510880,447400,2542.0527249695733,1230350.0,1232892.0527249696,1233507.4018858427
2020-07-15,510880,510880,447400,2542.0527249695733,1212454.0,1214996.0527249696,1214996.0527249696
2020-07-16,510880,510880,447400,2542.0527249695733,1180241.2,1182783.2527249695,1182783.2527249695
2020-07-17,161226,161226,1363500,2296.564609149471,1180791.0,1183087.5646091495,1183678.0527249696
2020-07-20,161226,161226,1363500,2296.564609149471,1194426.0,1196722.5646091495,1196722.5646091495
2020-07-21,161226,161226,1363500,2296.564609149471,1255783.5,1258080.0646091495,1258080.0646091495
2020-07-22,159980,159980,1330800,2728.123961589299,1377378.0,1380106.1239615893,1380795.0646091492
2020-07-23,515220,515220,2501300,2630.0346799786203,1367476.6064701378,1370106.6411501165,1370790.5239615894
2020-07-24,513090,513090,1054700,2577.4686412347946,1332086.0999999999,1334663.5686412347,1335329.7610582325
2020-07-27,161226,161226,1266600,2604.6062052904163,1319797.2,1322401.8062052904,1323061.8686412347
2020-07-28,513030,513030,1212200,2624.088547182502,1341905.4,1344529.4885471824,1345200.6062052904
2020-07-29,513030,513030,1212200,2624.088547182502,1340693.2000000002,1343317.2885471827,1343317.2885471827
2020-07-30,159967,159967,2430200,2560.0036781937815,1338875.4992417064,1341435.5029199002,1342105.0885471825
2020-07-31,159967,159967,2430200,2560.0036781937815,1366400.1056872038,1368960.1093653976,1368960.1093653976
2020-08-03,159967,159967,2430200,2560.0036781937815,1393269.3643601893,1395829.368038383,1395829.368038383
2020-08-04,159967,159967,2430200,2560.0036781937815,1372298.2356398103,1374858.239318004,1374858.239318004
2020-08-05,159967,159967,2430200,2560.0036781937815,1387371.234407583,1389931.2380857768,1389931.2380857768
2020-08-06,159967,159967,2430200,2560.0036781937815,1350016.4113744076,1352576.4150526014,1352576.4150526014
2020-08-07,518880,518880,302200,2669.207711400464,1323031.6,1325700.8077114006,1326362.5041521275
2020-08-10,159992,159992,858100,2528.902546378784,1313751.0999999999,1316280.0025463786,1316937.0077114005
2020-08-11,159992,159992,858100,2528.902546378784,1294872.9,1297401.8025463787,1297401.8025463787
2020-08-12,513030,513030,1122300,2442.671206426574,1247997.6,1250440.2712064267,1251064.4025463788
2020-08-13,513030,513030,1122300,2442.671206426574,1259220.6,1261663.2712064267,1261663.2712064267
2020-08-14,511880,511880,12300,11669.074856380466,1246002.3,1257671.3748563805,1258296.3712064265
2020-08-17,513030,513030,1127300,2410.0339926828165,1254684.9,1257094.9339926827,1257720.5748563805
2020-08-18,159981,159981,1429600,2405.6898089069873,1255188.8,1257594.489808907,1258222.233992683
2020-08-19,510880,510880,441400,2635.6713680110406,1250044.8,1252680.471368011,1253305.689808907
2020-08-20,159980,159980,1158400,2474.6727887471206,1242963.2,1245437.872788747,1246059.471368011
2020-08-21,159980,159980,1158400,2474.6727887471206,1241804.8,1244279.4727887472,1244279.4727887472
2020-08-24,159980,159980,1158400,2474.6727887471206,1234854.4000000001,1237329.0727887473,1237329.0727887473
2020-08-25,510880,510880,439200,2440.153829626972,1231956.0,1234396.153829627,1235012.2727887472
2020-08-26,510880,510880,439200,2440.153829626972,1214388.0,1216828.153829627,1216828.153829627
2020-08-27,159980,159980,1132700,2405.687784538837,1214254.4000000001,1216660.087784539,1217267.353829627
2020-08-28,159980,159980,1132700,2405.687784538837,1224448.7,1226854.3877845388,1226854.3877845388
2020-08-31,159928,159928,983600,2370.533199092606,1225003.9126315787,1227374.4458306713,1227987.087784539
2020-09-01,159928,159928,983600,2370.533199092606,1222744.2210526315,1225114.754251724,1225114.754251724
2020-09-02,159928,159928,983600,2370.533199092606,1229021.1421052627,1231391.6753043553,1231391.6753043553
2020-09-03,159928,159928,983600,2370.533199092606,1220233.452631579,1222603.9858306716,1222603.9858306716
2020-09-04,159928,159928,983600,2370.533199092606,1192363.9231578945,1194734.4563569871,1194734.4563569871
2020-09-07,159985,159985,1102300,2235.1316280290484,1153005.8,1155240.931628029,1155817.5458306714
2020-09-08,159980,159980,1064200,2248.629613605095,1155721.2000000002,1157969.8296136053,1158547.831628029
2020-09-09,159980,159980,1064200,2248.629613605095,1133373.0,1135621.629613605,1135621.629613605
2020-09-10,159985,159985,1070800,2227.1355510530993,1121127.5999999999,1123354.735551053,1123915.4296136051
2020-09-11,159985,159985,1070800,2227.1355510530993,1144685.2,1146912.335551053,1146912.335551053
2020-09-14,159985,159985,1070800,2227.1355510530993,1163959.5999999999,1166186.735551053,1166186.735551053
2020-09-15,159985,159985,1070800,2227.1355510530993,1167172.0,1169399.135551053,1169399.135551053
2020-09-16,159985,159985,1070800,2227.1355510530993,1145756.0,1147983.135551053,1147983.135551053
2020-09-17,159985,159985,1070800,2227.1355510530993,1147897.6,1150124.7355510532,1150124.7355510532
2020-09-18,159985,159985,1070800,2227.1355510530993,1182163.2000000002,1184390.3355510533,1184390.3355510533
2020-09-21,159985,159985,1070800,2227.1355510530993,1171455.2000000002,1173682.3355510533,1173682.3355510533
2020-09-22,159985,159985,1070800,2227.1355510530993,1157534.8,1159761.9355510531,1159761.9355510531
2020-09-23,159985,159985,1070800,2227.1355510530993,1152180.8,1154407.9355510531,1154407.9355510531
2020-09-24,159985,159985,1070800,2227.1355510530993,1153251.5999999999,1155478.735551053,1155478.735551053
2020-09-25,511880,511880,11300,2216.7328243693337,1147334.2,1149550.9328243693,1150124.7355510532
2020-09-28,511880,511880,11300,2216.7328243693337,1147435.9000000001,1149652.6328243695,1149652.6328243695
2020-09-29,511880,511880,11300,2216.7328243693337,1147616.7,1149833.4328243693,1149833.4328243693
2020-09-30,513520,513520,1040500,2288.544960939558,1147671.5,1149960.0449609396,1150534.0328243694
2020-10-09,513520,513520,1040500,2288.544960939558,1151833.5,1154122.0449609396,1154122.0449609396
2020-10-12,511880,511880,11300,5286.377055723686,1148260.8,1153547.1770557237,1154122.0449609396
2020-10-13,159985,159985,1019200,2284.201102187624,1150676.8,1152961.0011021877,1153535.8770557237
2020-10-14,511880,511880,11200,12039.357055947417,1138312.0,1150351.3570559474,1150922.6011021875
2020-10-15,159985,159985,1018200,2279.2160457193386,1147511.4,1149790.6160457192,1150362.5570559474
2020-10-16,515030,515030,985000,2247.7476003193296,1164270.0,1166517.7476003193,1167100.0160457192
2020-10-19,515030,515030,985000,2247.7476003193296,1153435.0,1155682.7476003193,1155682.7476003193
2020-10-20,515030,515030,985000,2247.7476003193296,1194805.0,1197052.7476003193,1197052.7476003193
2020-10-21,515030,515030,985000,2247.7476003193296,1168210.0,1170457.7476003193,1170457.7476003193
2020-10-22,515030,515030,985000,2247.7476003193296,1180030.0,1182277.7476003193,1182277.7476003193
2020-10-23,159985,159985,1026300,2236.9377954131924,1160745.3,1162982.2377954132,1163562.7476003193
2020-10-26,159980,159980,1099100,2265.0202985473443,1168343.3,1170608.3202985474,1171192.6377954131
2020-10-27,159985,159985,1031700,2340.4749089577235,1170979.5,1173319.9749089577,1173905.6202985474
2020-10-28,159980,159980,1083000,2270.695002797758,1165308.0,1167578.6950027978,1168161.4749089577
2020-10-29,159980,159980,1083000,2270.695002797758,1156644.0,1158914.6950027978,1158914.6950027978
2020-10-30,515030,515030,920500,2247.971469167853,1144181.5,1146429.4714691679,1147001.6950027978
2020-11-02,511880,511880,11600,8650.523620151682,1180450.8,1189101.3236201517,1189692.9714691679
2020-11-03,511880,511880,11600,8650.523620151682,1180323.2,1188973.7236201516,1188973.7236201516
2020-11-04,515030,515030,902900,2307.444791939808,1186410.6,1188718.04479194,1189310.1236201518
2020-11-05,515030,515030,902900,2307.444791939808,1257739.7,1260047.1447919398,1260047.1447919398
2020-11-06,159949,159949,1106700,2444.895629055798,1246144.2,1248589.0956290558,1249212.3447919397
2020-11-09,512400,512400,1435300,2535.6908897736575,1287464.1,1289999.7908897738,1290643.6956290556
2020-11-10,512400,512400,1435300,2535.6908897736575,1255887.5,1258423.1908897737,1258423.1908897737
2020-11-11,512400,512400,1435300,2535.6908897736575,1242969.8,1245505.4908897737,1245505.4908897737
2020-11-12,512400,512400,1435300,2535.6908897736575,1247275.7,1249811.3908897736,1249811.3908897736
2020-11-13,512400,512400,1435300,2535.6908897736575,1264499.3,1267034.9908897737,1267034.9908897737
2020-11-16,513520,513520,1102500,2552.8772777237464,1324102.5,1326655.3772777237,1327317.5908897738
2020-11-17,513520,513520,1102500,2552.8772777237464,1321897.5,1324450.3772777237,1324450.3772777237
2020-11-18,513520,513520,1102500,2552.8772777237464,1305360.0,1307912.8772777237,1307912.8772777237
2020-11-19,513520,513520,1102500,2552.8772777237464,1307565.0,1310117.8772777237,1310117.8772777237
2020-11-20,513520,513520,1102500,2552.8772777237464,1304257.5,1306810.3772777237,1306810.3772777237
2020-11-23,512400,512400,1368300,2544.500036899699,1319041.2,1321585.7000368997,1322245.3772777237
2020-11-24,515210,515210,998300,2610.6630523577332,1334727.0999999999,1337337.7630523576,1338005.3000368997
2020-11-25,515210,515210,998300,2610.6630523577332,1287807.0,1290417.6630523577,1290417.6630523577
2020-11-26,513520,513520,1034400,2458.267505429685,1273346.4000000001,1275804.6675054298,1276441.4630523578
2020-11-27,513520,513520,1034400,2458.267505429685,1279552.8,1282011.0675054297,1282011.0675054297
2020-11-30,513520,513520,1034400,2458.267505429685,1279552.8,1282011.0675054297,1282011.0675054297
2020-12-01,513520,513520,1034400,2458.267505429685,1295068.8,1297527.0675054297,1297527.0675054297
2020-12-02,515220,515220,1944600,2498.243212551577,1287144.2896630932,1289642.5328756447,1290286.2675054297
2020-12-03,513520,513520,996200,2466.6714107713196,1238276.6,1240743.2714107714,1241362.5520180643
2020-12-04,513520,513520,996200,2466.6714107713196,1230307.0,1232773.6714107713,1232773.6714107713
2020-12-07,513520,513520,996200,2466.6714107713196,1227318.4,1229785.0714107712,1229785.0714107712
2020-12-08,513520,513520,996200,2466.6714107713196,1214367.8,1216834.4714107714,1216834.4714107714
2020-12-09,159981,159981,1259100,2428.9827468656003,1237695.3,1240124.2827468656,1240743.2714107714
2020-12-10,159980,159980,1079400,2503.2656047856435,1252104.0,1254607.2656047856,1255233.4827468656
2020-12-11,159980,159980,1079400,2503.2656047856435,1262898.0,1265401.2656047856,1265401.2656047856
2020-12-14,501018,501018,2245800,2454.207792161731,1266631.2,1269085.4077921617,1269718.8656047855
2020-12-15,159980,159980,1075400,2518.7213832777925,1261444.2,1263962.9213832777,1264593.8077921618
2020-12-16,159980,159980,1075400,2518.7213832777925,1266821.2,1269339.9213832777,1269339.9213832777
2020-12-17,159980,159980,1075400,2518.7213832777925,1280801.4000000001,1283320.121383278,1283320.121383278
2020-12-18,159981,159981,1253800,2552.57145976997,1295175.4,1297727.9714597699,1298375.7213832778
2020-12-21,159981,159981,1253800,2552.57145976997,1298936.8,1301489.37145977,1301489.37145977
2020-12-22,159981,159981,1253800,2552.57145976997,1266338.0,1268890.57145977,1268890.57145977
2020-12-23,159981,159981,1253800,2552.57145976997,1256307.6,1258860.17145977,1258860.17145977
2020-12-24,159967,159967,2052300,2442.4805533420295,1268321.4,1270763.880553342,1271398.17145977
2020-12-25,159967,159967,2052300,2442.4805533420295,1280635.2,1283077.680553342,1283077.680553342
2020-12-28,159967,159967,2052300,2442.4805533420295,1282687.5,1285129.980553342,1285129.980553342
2020-12-29,159967,159967,2052300,2442.4805533420295,1256007.5999999999,1258450.080553342,1258450.080553342
2020-12-30,159967,159967,2052300,2442.4805533420295,1303210.5,1305652.980553342,1305652.980553342
2020-12-31,159967,159967,2052300,2442.4805533420295,1350413.4000000001,1352855.8805533422,1352855.8805533422
2021-01-04,159967,159967,2052300,2442.4805533420295,1391459.4000000001,1393901.8805533422,1393901.8805533422
2021-01-05,159967,159967,2052300,2442.4805533420295,1397616.3,1400058.780553342,1400058.780553342
2021-01-06,512660,512660,1012900,2825.91022239998,1417047.1,1419873.0102224,1420581.7805533418
2021-01-07,159949,159949,1089700,2808.8193056159653,1455839.2000000002,1458648.0193056162,1459376.1102224
2021-01-08,512400,512400,1275500,2790.040957276011,1446416.9999999998,1449207.0409572758,1449930.419305616
2021-01-11,159928,159928,994700,2739.1886400221847,1389650.8702631576,1392390.0589031798,1393085.040957276
2021-01-12,159985,159985,1072300,2817.471895415336,1421869.8,1424687.2718954154,1425398.3931137063
2021-01-13,159915,159915,490700,2843.104858065257,1484367.5,1487210.6048580653,1487952.9718954153
2021-01-14,159915,159915,490700,2843.104858065257,1465720.9000000001,1468564.0048580654,1468564.0048580654
2021-01-15,159915,159915,490700,2843.104858065257,1467193.0,1470036.1048580653,1470036.1048580653
2021-01-18,501018,501018,2437000,2887.1762404451147,1493881.0,1496768.176240445,1497515.3048580652
2021-01-19,159995,159995,1060400,2978.2572195811663,1493043.2,1496021.4572195811,1496768.176240445
2021-01-20,501018,501018,2428300,2890.2922315292526,1510402.6,1513292.8922315293,1514048.2572195812
2021-01-21,501018,501018,2428300,2890.2922315292526,1500689.4,1503579.6922315292,1503579.6922315292
2021-01-22,159949,159949,1034800,2971.563794161193,1482868.4000000001,1485839.9637941613,1486581.5922315293
2021-01-25,159915,159915,456200,2995.4812941530254,1479000.4,1481995.881294153,1482735.5637941612
2021-01-26,159915,159915,456200,2995.4812941530254,1437942.4000000001,1440937.8812941532,1440937.8812941532
2021-01-27,159915,159915,456200,2995.4812941530254,1444329.2,1447324.681294153,1447324.681294153
2021-01-28,159995,159995,1076600,2704.673630213132,1394197.0,1396901.6736302131,1397598.881294153
2021-01-29,511880,511880,13600,4079.5608672527596,1364148.0,1368227.5608672528,1368910.073630213
2021-02-01,511880,511880,13600,4079.5608672527596,1364270.4,1368349.9608672527,1368349.9608672527
2021-02-02,511880,511880,13600,4079.5608672527596,1364447.2,1368526.7608672527,1368526.7608672527
2021-02-03,511880,511880,13600,4079.5608672527596,1364746.4000000001,1368825.960867253,1368825.960867253
2021-02-04,501018,501018,2120400,2646.5148365008645,1365537.6,1368184.114836501,1368866.7608672527
2021-02-05,511880,511880,13600,8693.357373141218,1365168.0,1373861.3573731412,1374545.314836501
2021-02-08,501018,501018,2092300,2679.8675740112085,1370456.5,1373136.3675740112,1373820.5573731412
2021-02-09,512800,512800,2147500,2684.642719893018,1396952.9797411365,1399637.6224610296,1400336.2675740113
2021-02-10,512800,512800,2147500,2684.642719893018,1382907.8221722003,1385592.4648920933,1385592.4648920933
2021-02-18,512800,512800,2147500,2684.642719893018,1409917.7405740009,1412602.383293894,1412602.383293894
2021-02-19,512800,512800,2147500,2684.642719893018,1399113.7732132806,1401798.4159331736,1401798.4159331736
2021-02-22,159825,159825,1138900,2630.834511486115,1375791.2,1378422.034511486,1379110.0844756612
2021-02-23,159825,159825,1138900,2630.834511486115,1343902.0,1346532.834511486,1346532.834511486
2021-02-24,501018,501018,1888100,2562.754498086404,1321670.0,1324232.7544980864,1324893.7345114863
2021-02-25,501018,501018,1888100,2562.754498086404,1349991.5,1352554.2544980864,1352554.2544980864
2021-02-26,501018,501018,1888100,2562.754498086404,1340551.0,1343113.7544980864,1343113.7544980864
2021-03-01,159980,159980,1031800,2637.9443687424064,1345467.2,1348105.1443687424,1348778.0544980865
2021-03-02,159980,159980,1031800,2637.9443687424064,1325863.0,1328500.9443687424,1328500.9443687424
2021-03-03,513030,513030,1179100,2667.3313909345306,1348890.4,1351557.7313909344,1352232.3443687425
2021-03-04,513030,513030,1179100,2667.3313909345306,1337099.4,1339766.7313909344,1339766.7313909344
