trade_date,ths_top10_raw,is_weak,candidates_json,local_target,ths_target,target_match,local_top1
2020-01-17,"512480.SH:3.2602,512980.SH:2.9062,512400.SH:2.8595,513100.SH:2.0221,159915.SZ:1.8316,159949.SZ:1.7994,512100.SH:1.6573,510500.SH:1.2471,159967.SZ:1.1832,515050.SH:1.1662",False,"[{""symbol"": ""512400"", ""rank"": 1, ""momentum_score"": 3.8538087016592635, ""annualized_return"": 4.534511263845612, ""r_squared"": 0.8498840288227533, ""close"": 0.753}, {""symbol"": ""512980"", ""rank"": 2, ""momentum_score"": 3.6599579389239953, ""annualized_return"": 4.322815213602001, ""r_squared"": 0.8466607426122946, ""close"": 0.912}]",512400,512480,False,512400
2020-01-20,"512980.SH:2.4430,512400.SH:2.3866,159915.SZ:2.2653,159949.SZ:2.2446,513100.SH:1.9134,515050.SH:1.7913,159967.SZ:1.7884,512100.SH:1.6667,515880.SH:1.4510,510500.SH:1.3160",False,"[{""symbol"": ""512400"", ""rank"": 1, ""momentum_score"": 3.0483197889400544, ""annualized_return"": 3.7490050926599423, ""r_squared"": 0.8131009997581126, ""close"": 0.757}, {""symbol"": ""512980"", ""rank"": 2, ""momentum_score"": 3.0182530590117556, ""annualized_return"": 3.6723772730239954, ""r_squared"": 0.8218798981201608, ""close"": 0.916}]",512400,512980,False,512400
2020-01-21,"159915.SZ:2.3286,159967.SZ:2.2851,515050.SH:2.2778,159949.SZ:2.2584,513100.SH:1.6632,515880.SH:1.6380,512170.SH:1.6121,512100.SH:1.5213,512400.SH:1.3428,510500.SH:1.1418",False,"[{""symbol"": ""515000"", ""rank"": 1, ""momentum_score"": 2.8411632817292385, ""annualized_return"": 3.5269584599260178, ""r_squared"": 0.8055562077101512, ""close"": 0.7006692098092643}, {""symbol"": ""512930"", ""rank"": 2, ""momentum_score"": 2.743182394620164, ""annualized_return"": 3.459238130983932, ""r_squared"": 0.7930018954317851, ""close"": 0.34198144104803485}]",515000,159915,False,515000
2020-01-22,"159949.SZ:2.6275,159915.SZ:2.6154,515880.SH:2.0699,512170.SH:1.9701,513100.SH:1.8205,512100.SH:1.4238,512010.SH:1.2469,510500.SH:1.1294,512980.SH:1.1292,512670.SH:1.0677",False,"[{""symbol"": ""515000"", ""rank"": 1, ""momentum_score"": 3.683146939775765, ""annualized_return"": 4.347705576916289, ""r_squared"": 0.84714727679148, ""close"": 0.7209569482288829}, {""symbol"": ""512930"", ""rank"": 2, ""momentum_score"": 3.4655161709766085, ""annualized_return"": 4.127227648466248, ""r_squared"": 0.8396716794297635, ""close"": 0.3514737991266375}]",515000,159949,False,515000
2020-01-23,"513100.SH:1.7917,512170.SH:1.7374,512010.SH:0.8465,512670.SH:0.8404,512660.SH:0.7004,512980.SH:0.6137,512710.SH:0.2520,513500.SH:0.1306",False,"[{""symbol"": ""512930"", ""rank"": 1, ""momentum_score"": 3.7774127951855205, ""annualized_return"": 4.294471401383446, ""r_squared"": 0.8795990104785988, ""close"": 0.3430076419213973}]",512930,513100,False,512930
2020-02-03,518880.SH:0.1763,True,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.14873657252804295, ""annualized_return"": 0.37821878087756367, ""r_squared"": 0.3932553856340405, ""close"": 3.52}]",518880,518880,True,518880
2020-02-04,518880.SH:0.1654,True,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.15470068780760116, ""annualized_return"": 0.38870133924148, ""r_squared"": 0.39799370928200906, ""close"": 3.492}]",518880,518880,True,518880
2020-02-05,"513100.SH:1.5163,518880.SH:0.1152,513500.SH:0.0326",True,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.13643068571507022, ""annualized_return"": 0.3626481460265134, ""r_squared"": 0.37620676462825675, ""close"": 3.469}]",518880,513100,False,518880
2020-02-06,"513100.SH:2.1366,513500.SH:0.0937",True,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.10362543908856767, ""annualized_return"": 0.3146682438820596, ""r_squared"": 0.32931648205151387, ""close"": 3.452}]",518880,513100,False,518880
2020-02-07,"513100.SH:2.6859,513500.SH:0.1251,518880.SH:0.0843",True,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.08935297033132636, ""annualized_return"": 0.2925683198825131, ""r_squared"": 0.30540890540441257, ""close"": 3.468}]",518880,513100,False,518880
