trade_date,jq_weak,local_weak,below_count,above_count,weak_days_count,match,000300_close,000300_ma10,000300_relation,399101_close,399101_ma10,399101_relation,399006_close,399006_ma10,399006_relation,000510_close,000510_ma10,000510_relation
2020-01-02,False,False,0,4,0,True,4152.241,4037.3796,above,9890.104,9574.224600000001,above,1832.742,1783.5349,above,4571.48,4444.6917,above
2020-01-03,False,False,0,4,0,True,4144.965,4049.1611000000003,above,9933.885,9608.3936,above,1836.012,1788.0923000000003,above,4568.615,4457.562199999999,above
2020-01-06,False,False,0,4,0,True,4129.295,4060.3653,above,10016.667,9657.9315,above,1859.921,1796.9136999999998,above,4564.161,4472.5254,above
2020-01-07,False,False,0,4,0,True,4160.227,4079.6784,above,10140.325,9737.449400000001,above,1893.214,1812.5727,above,4604.037,4497.0235,above
2020-01-08,False,False,0,4,0,True,4112.317,4091.6143,above,10004.07,9789.5946,above,1862.699,1821.8557,above,4554.89,4512.45,above
2020-01-09,False,False,0,4,0,True,4164.37,4108.964600000001,above,10172.542,9854.938900000001,above,1913.142,1834.7304,above,4616.929,4533.460499999999,above
2020-01-10,False,False,0,4,0,True,4163.185,4122.6843,above,10153.328,9912.282299999999,above,1904.194,1845.7862999999998,above,4614.161,4551.0533000000005,above
2020-01-13,False,False,0,4,0,True,4203.988,4140.8803,above,10315.253,9990.648599999999,above,1935.072,1862.5353,above,4664.773,4574.6348,above
2020-01-14,False,False,0,4,0,True,4189.886,4151.705599999999,above,10306.27,10060.7994,above,1922.557,1875.7670999999998,above,4650.236,4591.1173,above
2020-01-15,False,False,0,4,0,True,4166.734,4158.7208,above,10298.806,10123.125,above,1924.238,1888.3791,above,4631.123,4604.0405,above
2020-01-16,False,False,1,3,0,True,4149.043,4158.401,below,10276.58,10161.7726,above,1929.961,1898.1009999999999,above,4617.909,4608.6834,above
2020-01-17,False,False,1,3,0,True,4154.853,4159.389800000001,below,10226.66,10191.0501,above,1932.511,1907.7508999999998,above,4621.531,4613.975,above
2020-01-20,False,False,0,4,0,True,4185.83,4165.0433,above,10376.384,10227.0218,above,1982.176,1919.9764,above,4668.431,4624.402,above
2020-01-21,False,False,2,2,0,True,4114.309,4160.451500000001,below,10255.321,10238.5214,above,1967.027,1927.3576999999998,above,4594.169,4623.4151999999995,below
2020-01-22,False,False,2,2,0,True,4131.931,4162.412899999999,below,10347.133,10272.8277,above,1993.899,1940.4777000000001,above,4623.692,4630.295400000001,below
2020-01-23,False,True,4,0,0,False,4003.901,4146.366,below,10006.169,10256.1904,below,1927.742,1941.9376999999997,below,4478.956,4616.4981,below
2020-02-03,True,True,4,0,0,True,3688.358,4098.8832999999995,below,9161.788,10157.0364,below,1795.774,1931.0956999999999,below,4132.445,4568.3265,below
2020-02-04,True,True,4,0,0,True,3785.638,4057.0483,below,9331.426,10058.6537,below,1882.691,1925.8575999999998,below,4251.512,4527.0004,below
2020-02-05,True,True,3,1,0,True,3828.527,4020.9124,below,9574.648,9985.4915,below,1939.62,1927.5638999999999,above,4316.922,4493.669,below
2020-02-06,True,True,3,1,0,True,3899.775,3994.2165,below,9863.877,9941.9986,below,2012.249,1936.3649999999998,above,4414.65,4472.021699999999,below
2020-02-07,True,True,3,1,0,True,3899.869,3969.2991,below,9893.113,9903.6519,below,2015.799,1944.9487999999997,above,4423.361,4452.5669,below
2020-02-10,True,False,1,3,0,False,3916.005,3945.4142999999995,below,9993.521,9880.338,above,2042.177,1955.9153999999999,above,4445.847,4434.9985,above
2020-02-11,False,False,0,4,0,True,3952.464,3922.0777000000003,above,9994.733,9842.172900000001,above,2028.444,1960.5421999999999,above,4470.358,4415.1912,above
2020-02-12,False,False,0,4,0,True,3984.433,3909.0901,above,10150.053,9831.6461,above,2085.278,1972.3673,above,4523.974,4408.1717,above
