symbol,entry_date,exit_date,entry_price,exit_price,return_pct
512400,2020-01-03,2020-01-07,0.748,0.765,0.022727272727272707
512980,2020-01-07,2020-01-10,0.933,0.916,-0.018220793140407254
513050,2020-01-10,2020-01-16,1.528,1.511,-0.011125654450261813
512980,2020-01-16,2020-01-17,0.912,0.912,0.0
512400,2020-01-17,2020-01-21,0.753,0.739,-0.01859229747675961
512480,2020-01-21,2020-01-22,0.4415509628775257,0.4679986817036183,0.05989731888191696
515000,2020-01-22,2020-02-03,0.7209569482288829,0.6279302452316077,-0.12903225806451613
513100,2020-02-03,2020-02-04,0.645713597842835,0.6689772727272726,0.03602785346654547
518880,2020-02-04,2020-02-07,3.492,3.468,-0.0068728522336769515
513100,2020-02-07,2020-02-11,0.7250837827426809,0.756753659476117,0.04367754111620381
512170,2020-02-11,2020-02-12,0.4574929797191887,0.4654687987519501,0.01743375174337536
513100,2020-02-12,2020-02-14,0.7763029661016948,0.78392719568567,0.009821203727020666
512170,2020-02-14,2020-02-21,0.46195943837753506,0.4826965678627144,0.044889502762430755
515070,2020-02-21,2020-02-24,0.654876547987616,0.6796636996904024,0.03785011355034085
159949,2020-02-24,2020-02-25,0.842,0.854,0.014251781472684133
159966,2020-02-25,2020-02-26,0.4960370942812983,0.47128284389489955,-0.04990403071017269
159915,2020-02-26,2020-02-27,2.102,2.111,0.00428163653663205
512670,2020-02-27,2020-03-02,0.6498224589436308,0.6388703950288505,-0.016853932584269704
518880,2020-03-02,2020-03-03,3.542,3.536,-0.0016939582156972888
511880,2020-03-03,2020-03-04,100.569,100.571,1.9886843858341052e-05
159985,2020-03-04,2020-03-06,0.968,0.964,-0.004132231404958664
512720,2020-03-06,2020-03-09,1.414,1.328,-0.0608203677510607
515050,2020-03-09,2020-03-10,0.4075507507507507,0.43323963963963963,0.06303236797274292
518880,2020-03-10,2020-03-11,3.612,3.648,0.009966777408637828
159985,2020-03-11,2020-03-12,0.95,0.946,-0.004210526315789442
518880,2020-03-12,2020-03-13,3.608,3.502,-0.029379157427937952
511880,2020-03-13,2020-03-18,100.625,100.656,0.00030807453416148434
159985,2020-03-18,2020-03-20,0.958,0.977,0.019832985386221358
511880,2020-03-20,2020-03-23,100.679,100.692,0.00012912325311131845
159985,2020-03-23,2020-03-24,1.029,1.015,-0.013605442176870763
511880,2020-03-24,2020-03-26,100.681,100.684,2.9797081872340314e-05
159985,2020-03-26,2020-04-02,1.005,0.989,-0.015920398009950154
511880,2020-04-02,2020-04-03,100.719,100.745,0.00025814394503531624
159985,2020-04-03,2020-04-08,0.976,0.981,0.0051229508196721785
511880,2020-04-08,2020-04-15,100.754,100.787,0.0003275304206284968
512290,2020-04-15,2020-04-21,1.496,1.537,0.027406417112299408
512010,2020-04-21,2020-04-22,0.5392538989394885,0.550727386150967,0.02127659574468077
512170,2020-04-22,2020-04-27,0.5165140405616224,0.5110904836193447,-0.01050030883261277
513100,2020-04-27,2020-04-29,0.6973237673343605,0.727625192604006,0.04345388281468998
512170,2020-04-29,2020-04-30,0.5085382215288611,0.5034336973478939,-0.010037641154328591
512290,2020-04-30,2020-05-06,1.5,1.528,0.01866666666666661
513100,2020-05-06,2020-05-07,0.7327080123266563,0.7358359013867487,0.004268943436499528
512690,2020-05-07,2020-05-18,0.45935966629045294,0.4908434419321603,0.06853839801816686
159995,2020-05-18,2020-05-19,1.095,1.157,0.05662100456621011
513520,2020-05-19,2020-05-20,1.001,0.998,-0.0029970029970028955
