rank,grid_id,trend_lookback_minutes,trend_slope_threshold,fixed_stop_loss_threshold,force_buy_minute,cash_buffer,total_return,annualized_return,max_drawdown,trade_count,buy_count,sell_count,stop_loss_count,win_rate,final_equity,daily_volatility,score_return_drawdown,entry_mode_breakdown,execution_mode_breakdown
24,14,30,0.001,0.0,1455,0.998,0.6279122946955951,2.275831032170475,-0.5885248261710678,111,56,55,0,0.43636363636363634,1627912.294695595,0.17986328314442318,1.0669257553343696,"{""trend_real"": 34, ""force_real"": 12, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9}"
25,18,30,0.001,0.97,1455,0.998,0.6224768657583504,2.2492616097663696,-0.5842797728590388,117,59,47,11,0.41379310344827586,1622476.8657583504,0.17985403363427993,1.0653746624025728,"{""trend_real"": 36, ""force_real"": 13, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
26,9,20,0.002,0.95,1440,0.998,0.6133073956768091,2.204728175411675,-0.5876913282360936,113,57,55,1,0.44642857142857145,1613307.3956768091,0.1794800398753165,1.043587621953858,"{""trend_real"": 39, ""force_real"": 8, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9, ""stop_real"": 1}"
27,5,20,0.001,0.97,1440,0.998,0.6085858249304146,2.1819380345007193,-0.5833932104917755,117,59,48,10,0.41379310344827586,1608585.8249304146,0.17965158050043442,1.0431829064609832,"{""trend_real"": 41, ""force_real"": 8, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
28,7,20,0.002,0.0,1440,0.998,0.5961401994813833,2.1223240319685033,-0.5876913282360936,111,56,55,0,0.45454545454545453,1596140.1994813832,0.17950754527811763,1.0143763755552566,"{""trend_real"": 38, ""force_real"": 8, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9}"
29,12,20,0.002,0.97,1455,0.998,0.5809927349143507,2.0506630634100267,-0.5834252440958914,119,60,48,11,0.4067796610169492,1580992.7349143506,0.17957721495422557,0.9958306411898404,"{""trend_real"": 41, ""force_real"": 9, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
30,3,20,0.001,0.95,1440,0.998,0.5841573494964436,2.065553506599985,-0.5876913282360936,113,57,55,1,0.42857142857142855,1584157.3494964435,0.1797137953827713,0.9939866753687571,"{""trend_real"": 40, ""force_real"": 7, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9, ""stop_real"": 1}"
31,10,20,0.002,0.95,1455,0.998,0.5829204712413942,2.059728543645288,-0.5876829748306713,113,57,55,1,0.42857142857142855,1582920.4712413943,0.1796078411787824,0.9918961348324761,"{""trend_real"": 39, ""force_real"": 8, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9, ""stop_real"": 1}"
32,1,20,0.001,0.0,1440,0.998,0.5714946742534956,2.006228200617905,-0.5876913282360936,111,56,55,0,0.43636363636363634,1571494.6742534956,0.1797364110936139,0.9724402025273865,"{""trend_real"": 39, ""force_real"": 7, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9}"
33,6,20,0.001,0.97,1455,0.998,0.5637326568646999,1.9702000576627419,-0.5834252440958914,119,60,48,11,0.3898305084745763,1563732.6568647,0.17969722021076326,0.9662465972625024,"{""trend_real"": 42, ""force_real"": 8, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""stop_real"": 10, ""daily_close"": 8, ""stop_proxy"": 1}"
34,8,20,0.002,0.0,1455,0.998,0.5660722780228402,1.9810326842076882,-0.5876829748306713,111,56,55,0,0.43636363636363634,1566072.2780228402,0.17962207711219685,0.9632272879539214,"{""trend_real"": 38, ""force_real"": 8, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9}"
35,4,20,0.001,0.95,1455,0.998,0.5656424861531868,1.9790409720472102,-0.5876829748306713,113,57,55,1,0.4107142857142857,1565642.4861531868,0.17971747376670935,0.962495955095798,"{""trend_real"": 40, ""force_real"": 7, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9, ""stop_real"": 1}"
36,2,20,0.001,0.0,1455,0.998,0.553115290139377,1.9213325518441935,-0.5876829748306713,111,56,55,0,0.41818181818181815,1553115.290139377,0.17974420017706774,0.9411797071350343,"{""trend_real"": 39, ""force_real"": 7, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9}"
