date,ths_time,ths_target,ths_top10,jq_time,jq_target,jq_top10,signal_target_match,top1_match,top10_overlap
2020-02-27,13:10:00,512670,"['512670', '512660', '512710', '518880', '161226']",13:10:00,512670,"['512670', '512660', '512710', '518880', '161226']",True,True,5
2020-02-28,13:10:00,518880,"['518880', '161226']",13:10:00,518880,"['518880', '161226']",True,True,2
2020-03-02,13:10:00,511880,[],13:10:00,511880,[],True,True,0
2020-03-03,13:10:00,159985,['159985'],13:10:00,159985,['159985'],True,True,1
2020-03-04,13:10:00,159985,['159985'],13:10:00,159985,['159985'],True,True,1
2020-03-05,13:10:00,159985,['159985'],13:10:00,159985,['159985'],True,True,1
2020-03-06,13:10:00,515050,"['515050', '512670', '512170', '512100', '512660', '159967', '512710', '512200', '159915', '159928']",13:10:00,515050,"['515050', '512670', '512170', '512100', '512660', '159967', '512710', '512200', '159915', '159928']",True,True,10
2020-03-09,13:10:00,512170,"['512170', '512200', '159928', '512890', '510300', '510880', '518880']",13:10:00,512170,"['512170', '512200', '159928', '512890', '510300', '510880', '518880']",True,True,7
2020-03-10,13:10:00,511880,[],13:10:00,511880,[],True,True,0
2020-03-11,13:10:00,518880,['518880'],13:10:00,518880,['518880'],True,True,1
2020-03-12,13:10:00,511880,[],13:10:00,511880,[],True,True,0
2020-03-13,13:10:00,511880,[],13:10:00,511880,[],True,True,0
2020-03-16,13:10:00,159985,['159985'],13:10:00,159985,['159985'],True,True,1
2020-03-17,13:10:00,159985,['159985'],13:10:00,159985,['159985'],True,True,1
2020-03-18,13:10:00,159985,['159985'],13:10:00,159985,['159985'],True,True,1
2020-03-19,13:10:00,511880,[],13:10:00,511880,[],True,True,0
2020-03-20,13:10:00,159985,['159985'],13:10:00,159985,['159985'],True,True,1
2020-03-23,13:10:00,159985,['159985'],13:10:00,159985,['159985'],True,True,1
2020-03-24,13:10:00,159985,['159985'],13:10:00,159985,['159985'],True,True,1
2020-03-25,13:10:00,159985,['159985'],13:10:00,159985,['159985'],True,True,1
2020-03-26,13:10:00,159985,['159985'],13:10:00,159985,['159985'],True,True,1
2020-03-27,13:10:00,159985,['159985'],13:10:00,159985,['159985'],True,True,1
2020-03-30,13:10:00,159985,['159985'],13:10:00,159985,['159985'],True,True,1
2020-03-31,13:10:00,159985,['159985'],13:10:00,159985,['159985'],True,True,1
2020-04-01,13:10:00,511880,[],13:10:00,511880,[],True,True,0
2020-04-02,13:10:00,511880,[],13:10:00,511880,[],True,True,0
2020-04-03,13:10:00,159985,['159985'],13:10:00,159985,['159985'],True,True,1
2020-04-07,13:10:00,511880,[],13:10:00,511880,[],True,True,0
2020-04-08,13:10:00,511880,[],13:10:00,511880,[],True,True,0
2020-04-09,13:10:00,511880,[],13:10:00,511880,[],True,True,0
2020-04-10,13:10:00,511880,[],13:10:00,511880,[],True,True,0
2020-04-13,13:10:00,511880,[],13:10:00,511880,[],True,True,0
2020-04-14,13:10:00,512010,['512010'],13:10:00,512010,['512010'],True,True,1
2020-04-15,13:10:00,512010,"['512010', '159928', '518880']",13:10:00,512010,"['512010', '159928', '518880']",True,True,3
2020-04-16,13:10:00,512010,"['512010', '159928', '512170', '518880']",13:10:00,512010,"['512010', '159928', '512170', '518880']",True,True,4
2020-04-17,13:10:00,512010,"['512010', '512170', '159928', '513520', '512690', '518880', '159967', '510900', '513500', '501018']",13:10:00,512010,"['512010', '512170', '159928', '513520', '512690', '518880', '159967', '510900', '513500', '501018']",True,True,10
2020-04-20,13:10:00,512010,"['512010', '512170', '513520', '159928', '513030', '512690', '159967', '518880', '513500', '510900']",13:10:00,512010,"['512010', '512170', '513520', '159928', '513030', '512690', '159967', '518880', '513500', '510900']",True,True,10
2020-04-21,13:10:00,512170,"['512170', '513520', '512010', '513030', '159928', '512690', '159967', '513500', '518880', '161226']",13:10:00,512170,"['512170', '513520', '512010', '513030', '159928', '512690', '159967', '513500', '518880', '161226']",True,True,10
2020-04-22,13:10:00,512170,"['512170', '512010', '513030', '513520', '159928', '512690', '159967', '513500', '159949', '518880']",13:10:00,512170,"['512170', '512010', '513030', '513520', '159928', '512690', '159967', '513500', '159949', '518880']",True,True,10
2020-04-23,13:10:00,512170,"['512170', '512010', '513030', '512690', '159928', '159967', '513520', '513500', '159949', '159915']",13:10:00,512170,"['512170', '512010', '513030', '512690', '159928', '159967', '513520', '513500', '159949', '159915']",True,True,10
2020-04-24,13:10:00,512170,"['512170', '512690', '159928', '512010', '159967', '513030', '513520', '159949', '513500', '513100']",13:10:00,512170,"['512170', '512690', '159928', '512010', '159967', '513030', '513520', '159949', '513500', '513100']",True,True,10
2020-04-27,13:10:00,513100,"['513100', '513500', '513520', '159980', '161226', '518880']",13:10:00,513100,"['513100', '513500', '513520', '159980', '161226', '518880']",True,True,6
2020-04-28,13:10:00,513100,"['513100', '513500', '513520', '159980', '513030']",13:10:00,513100,"['513100', '513500', '513520', '159980', '513030']",True,True,5
2020-04-29,13:10:00,513100,"['513100', '512170', '512690', '159928', '512010', '159949', '513500', '513520', '159980', '159915']",13:10:00,513100,"['513100', '512170', '512690', '159928', '159967', '512010', '159949', '513500', '513520', '159980']",True,True,9
2020-04-30,13:10:00,512690,"['512690', '159967', '512170', '513500', '159928', '159949', '513520', '512010', '159915', '513030']",13:10:00,512690,"['512690', '159967', '512170', '513500', '159928', '159949', '513520', '512010', '159915', '513030']",True,True,10
2020-05-06,13:10:00,512690,"['512690', '159967', '159949', '513500', '512170', '159928', '513520', '159915', '513030', '159980']",13:10:00,512690,"['512690', '159967', '159949', '513500', '512170', '159928', '513520', '159915', '513030', '159980']",True,True,10
2020-05-07,13:10:00,512690,"['512690', '159967', '159949', '513500', '512170', '159915', '159928', '513520', '512010', '159980']",13:10:00,512690,"['512690', '159967', '159949', '513500', '512170', '159915', '159928', '513520', '512010', '159980']",True,True,10
2020-05-08,13:10:00,512690,"['512690', '159967', '159949', '159915', '513500', '512170', '159928', '513520', '515050', '512010']",13:10:00,512690,"['512690', '159967', '159949', '159915', '513500', '512170', '159928', '513520', '515050', '512010']",True,True,10
2020-05-11,13:10:00,512690,"['512690', '159967', '159949', '159915', '513520', '513500', '515050', '159995', '512170', '159928']",13:10:00,512690,"['512690', '159967', '159949', '159915', '513520', '513500', '515050', '159995', '512170', '159928']",True,True,10
2020-05-12,13:10:00,512690,"['512690', '159967', '159949', '513520', '515050', '159915', '513500', '159995', '159928', '512480']",13:10:00,512690,"['512690', '159967', '159949', '513520', '515050', '159915', '513500', '159995', '159928', '512480']",True,True,10
