trade_date,target_symbol,is_weak,candidates_json,local_target,jq_target,target_match
2020-02-03,518880,True,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.14873657252804295, ""annualized_return"": 0.37821878087756367, ""r_squared"": 0.3932553856340405, ""close"": 3.52}]",518880,518880,True
2020-02-04,518880,True,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.15470068780760116, ""annualized_return"": 0.38870133924148, ""r_squared"": 0.39799370928200906, ""close"": 3.492}]",518880,518880,True
2020-02-05,518880,True,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.13643068571507022, ""annualized_return"": 0.3626481460265134, ""r_squared"": 0.37620676462825675, ""close"": 3.469}]",518880,518880,True
2020-02-06,518880,True,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.10362543908856767, ""annualized_return"": 0.3146682438820596, ""r_squared"": 0.32931648205151387, ""close"": 3.452}]",518880,513100,False
2020-02-07,518880,True,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.08935297033132636, ""annualized_return"": 0.2925683198825131, ""r_squared"": 0.30540890540441257, ""close"": 3.468}]",518880,513100,False
2020-02-10,518880,True,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.08769818893144253, ""annualized_return"": 0.2906770376058194, ""r_squared"": 0.3017031880253578, ""close"": 3.481}]",518880,513100,False
2020-02-11,159949,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 1.5591293323954072, ""annualized_return"": 2.3705366375326347, ""r_squared"": 0.6577115526120794, ""close"": 0.753}]",159949,513100,False
2020-02-12,159949,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 1.834867202508359, ""annualized_return"": 2.7432144120169664, ""r_squared"": 0.6688748770313075, ""close"": 0.778}]",159949,513100,False
2020-02-13,159949,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 2.0198077562591674, ""annualized_return"": 2.953362596839008, ""r_squared"": 0.6839010416198043, ""close"": 0.77}]",159949,512170,False
2020-02-14,159949,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 2.1061600527660564, ""annualized_return"": 3.0397217001325574, ""r_squared"": 0.6928792371598393, ""close"": 0.769}]",159949,512170,False
2020-02-17,159949,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 2.6246291582353716, ""annualized_return"": 3.6775364702850935, ""r_squared"": 0.7136922174511848, ""close"": 0.801}]",159949,512170,False
2020-02-18,159949,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 3.1399646660094067, ""annualized_return"": 4.292329290374818, ""r_squared"": 0.7315293057898679, ""close"": 0.807}]",159949,512170,False
2020-02-19,159949,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 3.2877409909850375, ""annualized_return"": 4.409986703733594, ""r_squared"": 0.7455217468573232, ""close"": 0.789}]",159949,512170,False
2020-02-20,159949,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 3.84956455556995, ""annualized_return"": 4.995914251791902, ""r_squared"": 0.7705425596904938, ""close"": 0.813}]",159949,159949,True
2020-02-21,159949,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 4.42558418896183, ""annualized_return"": 5.644614282751021, ""r_squared"": 0.7840365997169481, ""close"": 0.828}]",159949,159949,True
2020-02-24,159915,False,"[{""symbol"": ""159915"", ""rank"": 1, ""momentum_score"": 3.9734742991257845, ""annualized_return"": 5.328260885492478, ""r_squared"": 0.7457356883452463, ""close"": 2.178}]",159915,159915,True
2020-02-25,159915,False,"[{""symbol"": ""159915"", ""rank"": 1, ""momentum_score"": 4.87663960052715, ""annualized_return"": 6.280404666805835, ""r_squared"": 0.7764849335747295, ""close"": 2.195}, {""symbol"": ""159967"", ""rank"": 2, ""momentum_score"": 4.396798039077141, ""annualized_return"": 5.856161700838627, ""r_squared"": 0.7507986055862326, ""close"": 0.4142104265402844}]",159915,159915,True
2020-02-26,512660,False,"[{""symbol"": ""512660"", ""rank"": 1, ""momentum_score"": 2.7401831007979034, ""annualized_return"": 5.105815048810595, ""r_squared"": 0.5366788797875144, ""close"": 0.879}]",512660,159967,False
2020-02-27,512660,False,"[{""symbol"": ""512660"", ""rank"": 1, ""momentum_score"": 3.1614519504357244, ""annualized_return"": 5.385771332651927, ""r_squared"": 0.5870007757791382, ""close"": 0.871}]",512660,512670,False
2020-02-28,518880,False,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 1.0640936773282057, ""annualized_return"": 1.315957864998199, ""r_squared"": 0.8086077112580364, ""close"": 3.623}]",518880,518880,True
2020-03-02,511880,True,[],511880,511880,True
2020-03-03,159985,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.00194238462328329, ""annualized_return"": 0.08253360624160466, ""r_squared"": 0.023534469311776496, ""close"": 0.968}]",159985,159985,True
2020-03-04,159985,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.015202683747591459, ""annualized_return"": 0.15985419807125845, ""r_squared"": 0.0951034375763753, ""close"": 0.968}]",159985,159985,True
2020-03-05,159985,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.05972803933165542, ""annualized_return"": 0.25009454437200884, ""r_squared"": 0.23882184028297548, ""close"": 0.969}]",159985,159985,True
2020-03-06,515050,False,"[{""symbol"": ""515050"", ""rank"": 1, ""momentum_score"": 4.772271640384091, ""annualized_return"": 7.618912142429835, ""r_squared"": 0.6263717905089414, ""close"": 0.42803243243243244}]",515050,515050,True
2020-03-09,518880,False,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.42700471614073116, ""annualized_return"": 0.7497512230236281, ""r_squared"": 0.569528535637046, ""close"": 3.659}, {""symbol"": ""510880"", ""rank"": 2, ""momentum_score"": 0.4192762542485694, ""annualized_return"": 0.7211795589496313, ""r_squared"": 0.5813756768969274, ""close"": 2.596}]",518880,512170,False
2020-03-10,159985,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.039139579576153515, ""annualized_return"": 0.19384888861257332, ""r_squared"": 0.20190768106170542, ""close"": 0.957}]",159985,511880,False
2020-03-11,518880,True,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.37407474494592796, ""annualized_return"": 0.6730048249477589, ""r_squared"": 0.555827731212722, ""close"": 3.648}]",518880,518880,True
2020-03-12,511880,True,[],511880,511880,True
2020-03-13,511880,True,[],511880,511880,True
2020-03-16,511880,True,[],511880,159985,False
2020-03-17,159985,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.01082719947638374, ""annualized_return"": 0.11488975080221775, ""r_squared"": 0.09423990739628918, ""close"": 0.96}]",159985,159985,True
2020-03-18,159985,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.010451679895189914, ""annualized_return"": 0.11209823945581943, ""r_squared"": 0.09323678896232057, ""close"": 0.958}]",159985,159985,True
2020-03-19,511880,True,[],511880,511880,True
2020-03-20,159985,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.020655992424772188, ""annualized_return"": 0.1533087715285235, ""r_squared"": 0.13473457662485466, ""close"": 0.977}]",159985,159985,True
2020-03-23,511880,True,[],511880,159985,False
2020-03-24,511880,True,[],511880,159985,False
2020-03-25,159985,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.42705143747918817, ""annualized_return"": 0.9926132909496901, ""r_squared"": 0.43022941700750705, ""close"": 1.032}]",159985,159985,True
2020-03-26,159985,False,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.5429703591216264, ""annualized_return"": 1.1098366504997474, ""r_squared"": 0.4892344822791108, ""close"": 1.005}]",159985,159985,True
2020-03-27,159985,False,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.7087319821178508, ""annualized_return"": 1.2825426078223847, ""r_squared"": 0.5525991712050793, ""close"": 1.017}]",159985,159985,True
2020-03-30,159985,False,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.9118836354934035, ""annualized_return"": 1.4887760158043841, ""r_squared"": 0.6125055923880622, ""close"": 1.026}]",159985,159985,True
2020-03-31,159985,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 1.0087997072529316, ""annualized_return"": 1.580302549688564, ""r_squared"": 0.6383585899116213, ""close"": 1.023}]",159985,159985,True
2020-04-01,511880,True,[],511880,511880,True
2020-04-02,511880,True,[],511880,511880,True
2020-04-03,159985,False,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.4187140709270276, ""annualized_return"": 0.9400885756165642, ""r_squared"": 0.44539853135903795, ""close"": 0.976}]",159985,159985,True
2020-04-07,511880,False,[],511880,511880,True
2020-04-08,511880,False,[],511880,511880,True
2020-04-09,511880,False,[],511880,511880,True
2020-04-10,511880,False,[],511880,511880,True
2020-04-13,511880,False,[],511880,511880,True
2020-04-14,511880,False,[],511880,512010,False
2020-04-15,159928,False,"[{""symbol"": ""159928"", ""rank"": 1, ""momentum_score"": 0.8595710698939935, ""annualized_return"": 2.00714551938365, ""r_squared"": 0.42825548102658184, ""close"": 0.807907894736842}]",159928,512010,False
2020-04-16,159928,False,"[{""symbol"": ""159928"", ""rank"": 1, ""momentum_score"": 1.3301645568686145, ""annualized_return"": 2.308599177429186, ""r_squared"": 0.5761782165884082, ""close"": 0.8058657894736841}]",159928,512010,False
2020-04-17,513520,False,"[{""symbol"": ""513520"", ""rank"": 1, ""momentum_score"": 1.9436737535277833, ""annualized_return"": 3.047501829647528, ""r_squared"": 0.6377924812444123, ""close"": 0.954}, {""symbol"": ""159928"", ""rank"": 2, ""momentum_score"": 1.9330512887657707, ""annualized_return"": 2.6532863868906293, ""r_squared"": 0.7285498083872891, ""close"": 0.812757894736842}]",513520,512010,False
2020-04-20,513520,False,"[{""symbol"": ""513520"", ""rank"": 1, ""momentum_score"": 2.867766423454581, ""annualized_return"": 3.6341463247647745, ""r_squared"": 0.789116938938941, ""close"": 0.951}]",513520,512010,False
2020-04-21,513520,False,"[{""symbol"": ""513520"", ""rank"": 1, ""momentum_score"": 3.167078626330311, ""annualized_return"": 3.7265199359994527, ""r_squared"": 0.8498756697194215, ""close"": 0.938}, {""symbol"": ""513030"", ""rank"": 2, ""momentum_score"": 2.9990426302607425, ""annualized_return"": 4.225430834740447, ""r_squared"": 0.709760199031861, ""close"": 0.86}]",513520,512170,False
2020-04-22,513030,False,"[{""symbol"": ""513030"", ""rank"": 1, ""momentum_score"": 2.9956598414588544, ""annualized_return"": 4.026938331351941, ""r_squared"": 0.7439050700468857, ""close"": 0.852}]",513030,512170,False
2020-04-23,513030,False,"[{""symbol"": ""513030"", ""rank"": 1, ""momentum_score"": 2.8477219908935116, ""annualized_return"": 3.7669212575572715, ""r_squared"": 0.755981289808051, ""close"": 0.857}]",513030,512170,False
2020-04-24,159928,False,"[{""symbol"": ""159928"", ""rank"": 1, ""momentum_score"": 2.3426665641110898, ""annualized_return"": 2.7178594369786984, ""r_squared"": 0.8619528045627368, ""close"": 0.8380289473684209}]",159928,512170,False
2020-04-27,513520,True,"[{""symbol"": ""513520"", ""rank"": 1, ""momentum_score"": 1.4164506138032502, ""annualized_return"": 1.931198258401539, ""r_squared"": 0.733456861635559, ""close"": 0.953}]",513520,513100,False
2020-04-28,513520,True,"[{""symbol"": ""513520"", ""rank"": 1, ""momentum_score"": 1.2974173918100236, ""annualized_return"": 1.7848343356555696, ""r_squared"": 0.7269119412886476, ""close"": 0.959}]",513520,513100,False
2020-04-29,159928,False,"[{""symbol"": ""159928"", ""rank"": 1, ""momentum_score"": 1.904316071313604, ""annualized_return"": 2.17607223053794, ""r_squared"": 0.8751162045953061, ""close"": 0.8380289473684209}]",159928,513100,False
2020-04-30,159928,False,"[{""symbol"": ""159928"", ""rank"": 1, ""momentum_score"": 1.6277301072183228, ""annualized_return"": 1.8869176550321543, ""r_squared"": 0.8626397144980793, ""close"": 0.8377736842105262}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 1.5427486273314979, ""annualized_return"": 1.8786910296351902, ""r_squared"": 0.8211827293554882, ""close"": 0.782}]",159928,512690,False
2020-05-06,159967,False,"[{""symbol"": ""159967"", ""rank"": 1, ""momentum_score"": 2.041859874206929, ""annualized_return"": 2.343821291440046, ""r_squared"": 0.8711670474468676, ""close"": 0.39883933649289105}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 1.9107432778119453, ""annualized_return"": 2.2265789016194075, ""r_squared"": 0.8581520629797792, ""close"": 0.796}]",159967,512690,False
